host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout,class_label,lens,lsb
,1536485+394821,234.20216,39.80577,UDG,7.31,,"(359, 260)",6763.387206079739,1237.1763618966042,ugri,4,1,,,
,1053510+495400,163.46258,49.89986,UDG,6.54,,"(210, 280)",3607.2247432599706,3060.4259463460176,ugriz,5,1,,,
PGC38524,120654+644005,181.728,64.6683,dE,3.05,,"(156, 309)",456.2897216969923,8281.128865459219,griz,4,1,2.0,,1.0
,1204440+644417,181.18324,64.73819,UDG,5.7,,"(156, 309)",4973.1947487374655,9615.902641919847,griz,4,1,,,
,0006418+180541,1.67435,18.0947,UDG,5.86,,"(3, 216)",3210.31528354533,6835.660817935532,u,1,1,,,
,1535347+333043,233.89448,33.51184,UDG,8.41,,"(390, 247)",4199.937744249883,5229.637805547342,ugri,4,1,,,
,1426558+534822,216.73235,53.80606,UDG,6.84,,"(255, 288)",7101.140464651657,1244.3463540486468,ugri,4,1,,,
,1752119+464438,268.0494,46.74385,UDG,8.74,,"(369, 273)",4748.605243691979,9725.619078817268,ugriz,5,1,,,
,0014182+024636,3.57604,2.77671,UDG,7.97,,"(7, 186)",3621.1144957538863,672.8908136810478,u,1,1,,,
,1330500+324456,202.70837,32.74875,UDG,7.0,,"(340, 246)",4892.261050374464,131.0075215674933,ugri,4,1,,,
,0118435+150038,19.68112,15.01062,UDG,9.97,,"(38, 210)",4796.49032403276,5205.80959796206,u,1,1,,,
,1223128+484856,185.80341,48.81557,UDG,5.36,,"(244, 278)",6983.882116072679,1427.951025260466,gri,3,1,,,
,2342059+151401,355.52472,15.23352,UDG,5.53,,"(687, 210)",6732.351569505744,9525.768682508857,u,1,1,,,
,0123096+000856,20.78996,0.14877,UDG,5.59,,"(42, 180)",9070.375770341601,7883.034281706044,u,1,1,,,
,1106033+212507,166.51379,21.41868,UDG,5.37,,"(310, 223)",6408.562353398631,3424.452087426499,u,1,1,,,
,1107084+213522,166.78483,21.58937,UDG,5.87,,"(310, 223)",1522.9074387024225,6734.05380511166,u,1,1,2.0,,1.0
,0107159+321517,16.81632,32.25485,UDG,5.48,,"(28, 245)",1449.0169890600646,252.80142797425378,ugr,3,1,,,
,1130490+465452,172.70398,46.91449,UDG,6.19,,"(236, 274)",9195.84151237733,3351.379759741036,ugi,3,1,2.0,,1.0
,0819451+495124,124.93782,49.85679,UDG,5.6,,"(161, 280)",8722.466784097713,2232.13163873286,ugriz,5,1,,,
NGC7280,MATLAS-2153,336.239,16.6636,dI  ,0.0,,"(645, 213)",7079.758902795455,8170.990095333679,u,1,1,2.0,,1.0
PGC25999,091306+791228,138.2776,79.2079,dE,1.44,,"(53, 338)",7194.360735003573,9040.28003168301,gri,3,1,2.0,,1.0
PGC25999,091427+790820,138.6164,79.1391,dE,3.23,,"(53, 338)",5971.080533905486,7697.832448544092,gri,3,1,2.0,,1.0
,0913561+791448,138.48371,79.24671,UDG,7.59,,"(53, 338)",6441.348060250623,9785.939738182788,gri,3,1,2.0,,1.0
,2259380+305245,344.90849,30.87915,UDG,6.69,,"(591, 242)",2200.467103410982,2660.1592566026384,ugr,3,1,,,
,1650452+623638,252.68831,62.61052,UDG,6.48,,"(233, 305)",1554.1315909270502,7152.085934064524,ugriz,5,1,,,
,1650540+624002,252.72499,62.66718,UDG,6.88,,"(233, 305)",1234.324365975754,8252.138974468504,ugriz,5,1,,,
NGC6547,MATLAS-2120,270.7961,25.2896,dE  ,3.42,,"(489, 231)",6619.524334874137,923.2057562884979,u,1,1,2.0,,1.0
,1133532+330651,173.47156,33.11406,UDG,9.91,,"(291, 246)",5280.7914270092815,7210.390677718008,ugri,4,1,,,
,1134506+331225,173.71091,33.20705,UDG,5.65,,"(291, 246)",1399.5624222096903,9016.25287872198,ugri,4,1,,,
NGC3796,MATLAS-1074,174.5984,59.8,dE  ,5.0,,"(175, 300)",8914.814905900706,1136.0494388689299,giz,3,1,2.0,,1.0
NGC3796,MATLAS-1076,174.7673,59.7574,dE  ,2.62,,"(175, 300)",7271.276819010391,302.61988491417924,giz,3,1,2.0,,1.0
NGC3796,MATLAS-1078,174.7864,59.9216,dE  ,4.63,,"(175, 300)",7074.577324288131,3484.0346070718224,giz,3,1,2.0,,1.0
NGC3796,MATLAS-1079,174.873,60.0929,dEN ,3.72,,"(175, 300)",6227.108064291942,6801.486189917268,giz,3,1,2.0,,1.0
NGC3796,MATLAS-1085,175.2565,59.9265,dEN ,3.88,,"(175, 300)",2509.1277535791396,3580.4703692237317,giz,3,1,2.0,,1.0
PGC36025,114109+595023,175.2912,59.8399,dE,3.6,,"(175, 300)",2164.7699270951152,1903.6493963407547,giz,3,1,2.0,,1.0
,1138440+600155,174.68345,60.03207,UDG,6.1,,"(175, 300)",8064.22799031365,5628.816450190032,giz,3,1,2.0,,1.0
,1139318+595219,174.88261,59.87205,UDG,5.78,,"(175, 300)",6141.847651676725,2521.469184575555,giz,3,1,2.0,,1.0
,1139592+600057,174.99674,60.01596,UDG,6.87,,"(175, 300)",5031.572470692921,5309.289046731866,giz,3,1,2.0,,1.0
,1714308+453144,258.62832,45.529,UDG,8.49,,"(363, 271)",9358.312716923001,5570.703113894414,ugri,4,1,,,
PGC35616,113207+532751,173.0328,53.4644,dE,10.38,,"(206, 287)",6476.902779289255,4311.434510704238,ugiz,4,1,2.0,,1.0
,1133044+531454,173.26831,53.24832,UDG,5.58,,"(206, 287)",3753.5726263841943,123.60786769513834,ugiz,4,1,2.0,,1.0
,1747180+512954,266.82491,51.49831,UDG,5.51,,"(332, 283)",3015.289576116699,4969.479422815884,ugriz,5,1,,,
,1030310+693149,157.62913,69.53028,UDG,5.54,,"(110, 319)",1073.9020626162865,5605.390663248076,griz,4,1,,,
NGC3945,MATLAS-1126,179.1023,60.388,dE  ,4.36,,"(176, 301)",1223.7624937489154,2840.851715383338,giz,3,1,2.0,,1.0
,1213061+294550,183.27521,29.76382,UDG,10.21,,"(317, 240)",707.2766778081805,427.7958703116119,ugri,4,1,2.0,,1.0
,0917465+473210,139.44394,47.536,UDG,9.53,,"(188, 275)",992.0654435535453,5705.5469091567875,gri,3,1,,,
,1626569+633249,246.73702,63.5469,UDG,5.34,,"(220, 307)",3190.6807998678005,5911.836402834864,ugriz,5,1,,,
PGC38795,120934+502559,182.3932,50.4331,dE,8.12,,"(232, 281)",4682.859490363227,3703.6015518269105,griz,4,1,2.0,,1.0
,1427478+785346,216.94903,78.89608,UDG,11.56,,"(83, 338)",7037.5848130436625,2995.6620540377003,ugri,4,1,,,
NGC5457,[MVA2014] DF 6,212.07792,55.19183,UDG,22.0,,"(243, 290)",2244.0341953593047,8722.400178895885,ugriz,5,1,2.0,,1.0
NGC5457,[MVA2014] DF 7,211.44792,55.13258,UDG,20.0,,"(243, 290)",9219.451933662118,7580.774125962493,ugriz,5,1,2.0,,1.0
NGC5485,MATLAS-1712,211.4119,55.1363,dE  ,3.85,,"(243, 290)",9618.072711981342,7655.142976169788,ugriz,5,1,2.0,,1.0
NGC5485,MATLAS-1725,211.7217,54.7774,dI  ,3.1,,"(243, 290)",6196.89550011995,687.1347021695701,ugriz,5,1,2.0,,1.0
NGC5485,MATLAS-1727,211.777,54.9774,dEN ,0.0,0.0082496153190732,"(243, 290)",5575.938369345199,4562.248543715865,ugriz,5,1,2.0,,1.0
NGC5485,MATLAS-1730,211.8376,55.0641,dE  ,5.33,,"(243, 290)",4902.182443876153,6242.198259979788,ugriz,5,1,2.0,,1.0
NGC5485,MATLAS-1732,211.8655,55.2046,dE  ,3.73,,"(243, 290)",4593.989771849078,8965.059651471434,ugriz,5,1,2.0,,1.0
NGC5485,MATLAS-1734,211.869,55.0837,dI  ,0.0,,"(243, 290)",4553.9375192251655,6622.148776810536,ugriz,5,1,2.0,,1.0
NGC5485,MATLAS-1748,212.0389,55.1857,dE  ,5.25,,"(243, 290)",2675.323091323029,8602.18573473614,ugriz,5,1,2.0,,1.0
NGC5485,MATLAS-1750,212.111,54.9092,dI  ,0.0,,"(243, 290)",1855.9987283010182,3246.724289714584,ugriz,5,1,2.0,,1.0
PGC50191,140609+551326,211.5375,55.2241,dE,6.09,0.006420167163014412,"(243, 290)",8219.646550459103,9349.570367668233,ugriz,5,1,2.0,,1.0
PGC50191,140648+550147,211.7009,55.0299,dE,4.8,0.00676901638507843,"(243, 290)",6420.430301983091,5580.730077538838,ugriz,5,1,2.0,,1.0
PGC50191,140715+544950,211.8138,54.8307,dE,3.93,,"(243, 290)",5167.273370384815,1719.1497780664495,ugriz,5,1,2.0,,1.0
PGC50191,140716+544802,211.8197,54.8007,dE,3.33,0.005794723518192768,"(243, 290)",5101.491772393413,1137.763531982776,ugriz,5,1,2.0,,1.0
PGC50191,140736+545227,211.9006,54.8744,dE,4.01,,"(243, 290)",4199.261896513865,2566.4086966747295,ugriz,5,1,2.0,,1.0
PGC50191,140739+544740,211.9136,54.7946,dE,5.98,0.007724985480308533,"(243, 290)",4052.4351911899757,1020.1168611926082,ugriz,5,1,2.0,,1.0
PGC50191,140830+545248,212.1276,54.8801,dE,4.61,,"(243, 290)",1668.6577011496006,2683.564393984348,ugriz,5,1,2.0,,1.0
PGC50191,140846+550459,212.1934,55.0832,dE,3.24,,"(243, 290)",955.601396076444,6622.883098736768,ugriz,5,1,2.0,,1.0
PGC50191,140849+545121,212.2052,54.856,dE,4.5,0.006671728566288948,"(243, 290)",801.0180338054388,2220.7020408145704,ugriz,5,1,2.0,,1.0
PGC50191,140855+550119,212.2325,55.0221,dE,5.19,0.006885753944516182,"(243, 290)",515.0596945384468,5441.221900140278,ugriz,5,1,2.0,,1.0
PGC50191,140902+545145,212.2585,54.8627,dE,6.01,,"(243, 290)",207.24298119165996,2353.9609060277958,ugriz,5,1,2.0,,1.0
,1408436+551001,212.18173,55.16705,UDG,6.44,0.006381080951541662,"(243, 290)",1093.2475814400782,8247.141969519264,ugriz,5,1,2.0,,1.0
,2211384+175424,332.91018,17.90672,UDG,5.98,,"(633, 216)",2743.1694221366106,3193.0697724320703,u,1,1,,,
,1717263+604514,259.35971,60.75379,UDG,7.88,,"(255, 301)",869.3888067800644,9931.941042205955,ugriz,5,1,,,
,1408224+493933,212.09329,49.65926,UDG,5.64,,"(275, 279)",295.155919313338,8098.038642139921,ugriz,5,1,,,
,2148,187.8195,0.994,,9.8,0.007636950351297855,"(376, 182)",9052.279483989507,4883.854515812917,u,1,1,2.0,,
,1427317+332024,216.88207,33.33998,UDG,7.58,,"(362, 247)",7817.415840102109,1901.3217611059908,ugri,4,1,,,
,1215351+215135,183.89642,21.85977,UDG,16.75,,"(341, 224)",4887.655039303178,2282.4847736111324,u,1,1,,,
NGC3941,MATLAS-1114,178.598,36.5864,dEN ,0.0,,"(287, 253)",3698.652204098069,6674.909817992209,ugri,4,1,2.0,,1.0
,1153093+363919,178.28878,36.65526,UDG,7.73,,"(287, 253)",8507.163128389671,8012.907159134985,ugri,4,1,2.0,,1.0
,1341195+370519,205.33146,37.08866,UDG,6.7,,"(328, 254)",5290.43675434329,6718.1690100258975,ugi,3,1,,,
,0100207+011146,15.08633,1.19602,UDG,16.22,,"(30, 182)",3371.6375977448224,8798.704214822827,u,1,1,,,
,1308459+405404,197.19109,40.90111,UDG,13.7,,"(298, 262)",8454.545542173713,3088.267671279975,ugri,4,1,2.0,,1.0
,1417304+393250,214.37665,39.54708,UDG,10.28,,"(331, 259)",6582.320436496803,5913.2927895476705,ugri,4,1,,,
,1417328+392235,214.38654,39.37626,UDG,5.55,,"(331, 259)",6438.060422543086,2602.807602641987,ugri,4,1,,,
NGC0502,MATLAS-52,20.7998,8.7176,dE  ,2.48,,"(41, 197)",3618.440665336604,9217.014571722328,u,1,1,2.0,,1.0
,0122562+084025,20.73404,8.67371,UDG,8.91,,"(41, 197)",4878.074933549543,8366.33112084607,u,1,1,2.0,,1.0
NGC4826,dw1255p1912,193.921,19.2096,,34.4306554880766,,"(367, 218)",7788.847659932387,9063.069234883067,u,1,1,2.0,,1.0
,1049345+325238,162.39389,32.8773,UDG,5.46,,"(272, 246)",1216.3017024657588,2626.3645650906324,ugri,4,1,,,
,1709190+313530,257.32935,31.59176,UDG,5.93,,"(439, 243)",6755.187795847753,6779.068414699117,ugri,4,1,,,
,0918163+342342,139.56776,34.39508,UDG,6.31,,"(230, 249)",4583.87366994968,2966.8102375285985,ugri,4,1,,,
,1252470+265344,193.19576,26.89555,UDG,20.78,,"(344, 234)",2309.9738964684025,2977.517856057686,u,1,1,,,
,0855086+490400,133.78594,49.06667,UDG,7.06,,"(176, 278)",9422.679055771043,6302.152638010756,griz,4,1,,,
,1128480+552352,172.20013,55.39786,UDG,7.26,,"(195, 291)",4315.5542828069065,3020.9363261375543,ugiz,4,1,,,
,1550125+184045,237.552,18.67905,UDG,10.12,,"(451, 217)",9332.86693857478,8472.672847902144,u,1,1,,,
PGC68442,221601+192045,334.0063,19.3459,dE,8.29,,"(630, 219)",7944.599593302604,2015.0653514074193,ur,2,1,2.0,,1.0
PGC68442,221620+191436,334.0843,19.2435,dE,7.0,,"(630, 219)",6519.338616526827,29.625480928453726,ur,2,1,2.0,,1.0
,2215551+192308,333.97951,19.38551,UDG,5.95,,"(630, 219)",8433.613542243087,2783.1676032044675,ur,2,1,2.0,,1.0
PGC34426,111257+184541,168.2389,18.7615,dE,11.98,0.002833916340023279,"(318, 218)",3583.208524914252,378.39750186371384,u,1,1,2.0,,1.0
,1251013+274753,192.75557,27.79809,UDG,9.1,,"(340, 236)",1251.5477759930363,1090.512989554485,ui,2,1,,,
,1234048+645530,188.51983,64.92499,UDG,6.03,,"(159, 310)",1658.9723505441434,3557.1260910237183,griz,4,1,,,
,1412582+565531,213.24262,56.92527,UDG,6.11,,"(232, 294)",2276.5498062045995,3556.937833061531,ugriz,5,1,,,
PGC26246,091531+520243,138.8826,52.0455,dE,3.69,0.02519509755074978,"(171, 284)",4909.661666925552,5881.747745493093,griz,4,1,2.0,,1.0
NGC6798,MATLAS-2149,291.103,53.2081,dI  ,0.0,,"(350, 286)",1332.68190533303,9040.878230334849,i,1,1,,,
,1421470+353825,215.44564,35.64018,UDG,5.85,,"(351, 251)",6980.192107219956,7717.814585387453,ugri,4,1,,,
NGC3530,MATLAS-859,167.788,57.1225,dEN ,0.0,,"(183, 294)",7242.597836095581,7377.430457608538,giz,3,1,2.0,,1.0
,1703150+262232,255.81231,26.37544,UDG,5.87,,"(458, 233)",6256.607453112279,2586.505079370283,u,1,1,,,
,1629537+243756,247.47361,24.6323,UDG,5.44,,"(450, 229)",1294.7443061747317,7566.676163762304,u,1,1,,,
M81,KK77,147.5417,67.5067,,54.5201878451466,,"(113, 315)",5740.761309316326,5130.435808180733,giz,3,1,2.0,,1.0
PGC28120,095012+673037,147.5518,67.5104,dE,25.26,,"(113, 315)",5665.776985971784,5202.023364861235,giz,3,1,2.0,,1.0
,1028160+340827,157.06677,34.14072,UDG,7.31,,"(260, 248)",854.848156749531,7732.25991522163,ugri,4,1,,,
,0129041+000303,22.26713,0.05089,UDG,6.94,,"(45, 180)",9512.804127064821,5986.203867821168,u,1,1,,,
,1142064+470021,175.52662,47.00591,UDG,11.24,,"(239, 274)",952.8143399099199,5122.44114692519,ugi,3,1,,,
NGC0680,MATLAS-124,27.2047,21.5792,dI  ,0.0,,"(51, 223)",8646.487263716343,6537.183115458423,u,1,1,2.0,,1.0
,1615332+425525,243.88817,42.92372,UDG,10.39,,"(357, 266)",7551.191290390625,3524.497608775625,ugri,4,1,,,
NGC5198,MATLAS-1546,202.991,46.2187,dI  ,0.0,0.008170937187969685,"(282, 272)",4818.610312653356,9238.215406107207,gri,3,1,2.0,,1.0
,1041557+372600,160.48213,37.43341,UDG,7.94,,"(255, 255)",8510.071361797804,3713.8012361370834,ugri,4,1,,,
,0031082+063138,7.78436,6.5273,UDG,6.18,,"(15, 193)",459.32300818174645,5530.108060299827,u,1,1,,,
,0014178+042137,3.57406,4.36018,UDG,6.52,,"(7, 189)",3778.0691534281978,2290.479182235797,u,1,1,,,
NGC4111,MATLAS-1166,181.179,42.5788,dE  ,0.0,,"(267, 265)",3467.688666998569,6528.03484640424,ugri,4,1,2.0,,1.0
,1204158+423720,181.06582,42.62219,UDG,7.26,,"(267, 265)",5082.672403309009,7367.9219973784175,ugri,4,1,,,
,1253078+320822,193.2823,32.13951,UDG,6.07,,"(328, 244)",6689.471053943512,7704.372097743512,ugri,4,1,,,
NGC3998,MATLAS-1117,178.6986,55.1589,dE  ,3.97,,"(205, 290)",5051.99688996031,8079.326976644639,ugiz,4,1,2.0,,1.0
PGC37642,115356+551017,178.4873,55.1715,dE,3.1,0.003989551216363907,"(205, 290)",7390.606782498804,8327.201135755316,ugiz,4,1,2.0,,1.0
PGC37642,115439+545557,178.6651,54.9326,dE,3.43,,"(205, 290)",5425.280046406451,3693.973269186413,ugiz,4,1,2.0,,1.0
NGC4278,MATLAS-1271,184.5344,29.818,dE  ,2.91,,"(320, 240)",8660.06686964535,1476.4740795853763,ugri,4,1,2.0,,1.0
PGC39724,121831+300340,184.6314,30.0612,dE,10.99,0.002563999965786934,"(320, 240)",7024.189058695378,6187.060925303268,ugri,4,1,2.0,,1.0
PGC39724,121938+295259,184.9115,29.8831,BC,12.68,0.000744794902857393,"(320, 240)",2321.453187524396,2736.452544450767,ugri,4,1,2.0,,1.0
,1219029+301122,184.76199,30.18943,UDG,6.31,,"(320, 240)",4834.104020779148,8670.977680374457,ugri,4,1,,,
,1219301+295703,184.87524,29.95087,UDG,7.55,,"(320, 240)",2932.1235991826,4049.0208241070095,ugri,4,1,2.0,,1.0
,0039060+294156,9.77497,29.69899,UDG,5.57,,"(17, 239)",4851.0593810303135,8856.241190039385,ugr,3,1,,,
,1403527+485150,210.96975,48.86394,UDG,5.67,,"(277, 278)",6775.895101343702,2364.9191884394045,gri,3,1,,,
NGC5448,NSA-339134,210.87,48.9655,,,,"(277, 278)",8041.360236608933,4336.21154965927,gri,3,1,,,
PGC61128,175413+181051,268.5543,18.1811,dE,1.92,,"(511, 216)",6736.180157058287,8509.98780716073,u,1,1,2.0,,1.0
PGC61128,175420+180905,268.5846,18.1516,dE,2.14,,"(511, 216)",6178.506248887756,7938.062800146108,u,1,1,2.0,,1.0
PGC61128,175425+181309,268.6078,18.2194,dE,3.99,,"(511, 216)",5750.997066993239,9251.849016980017,u,1,1,2.0,,1.0
PGC61128,175448+181402,268.7015,18.2342,dE,2.92,,"(511, 216)",4026.2903334932935,9538.719233039294,u,1,1,2.0,,1.0
PGC61128,175453+180442,268.7238,18.0785,dE,4.83,,"(511, 216)",3614.6120333883473,6521.531737352232,u,1,1,2.0,,1.0
PGC61128,175455+181208,268.7328,18.2024,BC,2.35,,"(511, 216)",3449.9015931670356,8922.674369635693,u,1,1,2.0,,1.0
PGC61128,175500+180335,268.7504,18.06,dE,4.2,,"(511, 216)",3124.3813998559754,6163.254814654416,u,1,1,2.0,,1.0
PGC61128,175507+175410,268.7793,17.903,dE,2.16,,"(511, 216)",2589.7748617326024,3121.0838089312524,u,1,1,2.0,,1.0
PGC61128,175536+181008,268.9041,18.1691,dE,3.64,,"(511, 216)",295.4674788147049,8280.26318121461,u,1,1,2.0,,1.0
,1540465+235000,235.19395,23.83347,UDG,5.43,,"(430, 228)",7709.494204332259,1774.2724799326006,u,1,1,,,
PGC4801,012132+034016,20.385,3.6713,dE,4.75,,"(41, 187)",7964.8751593055185,8319.880366323356,u,1,1,2.0,,1.0
PGC4801,012135+033348,20.3963,3.5634,dE,3.05,,"(41, 187)",7746.656230028706,6228.838357284116,u,1,1,2.0,,1.0
,1050488+643848,162.70341,64.64657,UDG,6.76,,"(140, 309)",4120.606032939496,7841.11584807738,giz,3,1,,,
,1051162+641642,162.81735,64.27823,UDG,7.94,,"(140, 309)",3150.391939540602,705.5036837678954,giz,3,1,,,
NGC6181,LS-442983-1849,248.5809,19.7198,,,,"(469, 219)",8431.808966034061,9261.418111793455,u,1,1,,,
NGC2880,MATLAS-536,142.786,62.4536,dIN ,0.0,0.025346023961901665,"(132, 305)",6334.618665964707,4102.353676432591,giz,3,1,2.0,,1.0
NGC2880,MATLAS-537,143.12,62.4058,dE  ,3.88,,"(132, 305)",3338.6146008528117,3176.878129621715,giz,3,1,2.0,,1.0
NGC2880,MATLAS-538,143.1963,62.2968,dE  ,2.23,,"(132, 305)",2645.164191936058,1066.9337322903702,giz,3,1,2.0,,1.0
,0930121+623056,142.55039,62.51548,UDG,5.92,,"(132, 305)",8439.038743109279,5310.224094396751,giz,3,1,2.0,,1.0
,1554583+475953,238.74292,47.99797,UDG,8.67,,"(320, 276)",9841.16769598929,4972.38128564111,ugri,4,1,,,
,1555311+474851,238.8796,47.81404,UDG,5.9,,"(320, 276)",8079.692321742665,1400.9878550433277,ugri,4,1,,,
,1556314+480233,239.13083,48.04257,UDG,5.65,,"(320, 276)",4811.070110613693,5824.980515194785,ugri,4,1,,,
PGC40692,122519+304144,186.3313,30.6956,dE,3.15,,"(321, 241)",4062.3662910121875,8790.775052270701,ugri,4,1,2.0,,1.0
,0224231-031059,36.09609,-3.18301,UDG,15.16,,"(72, 174)",4096.673460636108,1453.423356305018,ur,2,1,2.0,,1.0
NGC2481,MATLAS-335,119.1202,23.9351,dI  ,2.81,,"(218, 228)",8456.680148644153,3744.693036036554,u,1,1,2.0,,1.0
NGC2481,MATLAS-341,119.5059,23.8068,dEN ,8.13,0.006688960827887058,"(218, 228)",1621.589166707167,1258.2376449292087,u,1,1,2.0,,1.0
NGC2481,MATLAS-343,119.571,23.8273,dE  ,0.0,0.007168292533606291,"(218, 228)",468.06457158225476,1657.3272802447113,u,1,1,2.0,,1.0
,0758114+235705,119.54766,23.9515,UDG,9.64,,"(218, 228)",885.7951934101893,4063.5059850886573,u,1,1,2.0,,1.0
,1329490+344609,202.45399,34.76918,UDG,9.07,,"(332, 250)",8097.730722841321,529.9232608177044,ugri,4,1,,,
,989,189.7603,0.8497,,4.23,0.00531572662293911,"(379, 182)",515.5054685504965,2087.4693866610464,u,1,1,2.0,,
,983,189.5905,1.2021,,2.9,0.004151538945734501,"(379, 182)",3805.855115473564,8916.518282371315,u,1,1,2.0,,
,1221420+220357,185.42505,22.06592,UDG,9.37,,"(344, 224)",6489.306492691414,6277.86673574194,u,1,1,,,
,1202095+364501,180.53943,36.75018,UDG,7.42,,"(290, 253)",2530.219835160697,9850.311127543488,ugri,4,1,,,
,1228499+453212,187.20808,45.53672,UDG,6.27,,"(262, 271)",819.2341829730385,5719.615482271799,ugri,4,1,,,
NGC5322,MATLAS-1592,207.5437,59.9287,dE  ,4.77,,"(208, 300)",9430.828625707705,3633.547928000222,ugri,4,1,2.0,,1.0
NGC5322,MATLAS-1593,207.579,60.2301,dE  ,4.43,,"(208, 300)",9050.887313290043,9472.042198014617,ugri,4,1,2.0,,1.0
NGC5379,MATLAS-1623,208.1894,59.7553,dE  ,3.09,,"(208, 300)",3151.2374820556324,260.57852699526484,ugri,4,1,2.0,,1.0
NGC5322,MATLAS-1630,208.2604,60.173,dE  ,12.52,,"(208, 300)",2490.056653033435,8357.519027830642,ugri,4,1,2.0,,1.0
PGC49044,135051+600911,207.7166,60.1531,dE,4.5,,"(208, 300)",7733.287237300535,7972.789588369524,ugri,4,1,2.0,,1.0
PGC49044,135053+600830,207.7237,60.1417,BC,4.36,0.024159999564290047,"(208, 300)",7665.733154131305,7751.579129278702,ugri,4,1,2.0,,1.0
PGC49489,135224+594826,208.1014,59.8074,dE,5.7,,"(208, 300)",4011.7661611419544,1268.3533758086187,ugri,4,1,2.0,,1.0
,1352293+595234,208.12221,59.87608,UDG,11.89,,"(208, 300)",3811.4126880658073,2599.65148406858,ugri,4,1,2.0,,1.0
,1352340+600258,208.14163,60.04955,UDG,8.49,,"(208, 300)",3629.7346307021826,5961.695312746081,ugri,4,1,2.0,,1.0
,1353420+600302,208.4251,60.05053,UDG,13.6,,"(208, 300)",887.3026009535197,5992.438908731645,ugri,4,1,2.0,,1.0
NGC6703,MATLAS-2143,282.3955,45.2479,dE  ,3.93,,"(396, 271)",6292.093824466303,115.2900610023944,i,1,1,,,
NGC6703,MATLAS-2144,282.5157,45.4553,dE  ,8.08,,"(396, 271)",4653.395053364783,4133.815111941038,i,1,1,,,
,0107126+015740,16.80265,1.96119,UDG,5.93,,"(34, 184)",9022.908888669825,4248.15185638033,u,1,1,,,
,1133471+490934,173.44608,49.15937,UDG,5.87,,"(228, 278)",9039.822078690137,8096.935378255562,ugi,3,1,,,
,1426398+255226,216.66566,25.87395,UDG,9.07,,"(389, 232)",386.6125284987629,2561.9261311724704,u,1,1,,,
,1328467+295951,202.19467,29.9974,UDG,5.62,,"(350, 240)",2951.1862002264997,4950.705922116633,ugri,4,1,,,
NGC4631,dw1236p3336,189.2059,33.6131,,11.8044791142764,0.0021497204434126616,"(316, 247)",9332.960188383087,7197.383550877236,ugri,4,1,2.0,,1.0
,1237276+333048,189.36506,33.51347,UDG,6.77,,"(316, 247)",6766.337231443261,5261.965043642305,ugri,4,1,,,
,1140249+201914,175.1039,20.32046,UDG,7.09,,"(328, 221)",4709.879888191295,1520.7035043285455,u,1,1,,,
NGC2859,MATLAS-517,141.0711,34.6907,dI  ,5.43,,"(233, 249)",9632.831491011133,8702.272175171443,ugri,4,1,2.0,,1.0
NGC2859,MATLAS-521,141.1063,34.5474,dEN ,4.62,,"(233, 249)",9078.957330984977,5923.721526277268,ugri,4,1,2.0,,1.0
NGC2859,MATLAS-523,141.3129,34.278,dI  ,3.39,,"(233, 249)",5783.796622070212,698.037087386193,ugri,4,1,2.0,,1.0
NGC2859,MATLAS-525,141.377,34.572,dI  ,0.0,,"(233, 249)",4758.2012400712065,6395.3042650429,ugri,4,1,2.0,,1.0
,0925250+342358,141.35431,34.39942,UDG,10.04,,"(233, 249)",5120.512896451627,3050.866306316303,ugri,4,1,2.0,,1.0
,1054325+243628,163.63549,24.6079,UDG,7.21,,"(298, 229)",6898.314885737079,7091.735881852379,u,1,1,,,
,1300279+283730,195.11624,28.62504,UDG,7.7,,"(343, 237)",5551.826655365739,7423.224310354409,ui,2,1,,,
,1301303+282229,195.37642,28.37467,UDG,5.51,0.02351960353553295,"(343, 237)",1116.8489555105016,2574.89818982386,ui,2,1,2.0,,
,0041087+030822,10.2862,3.13944,UDG,8.0,,"(21, 186)",9415.865322088292,7702.68966149317,u,1,1,,,
,1208181+320049,182.07532,32.01362,UDG,9.62,,"(309, 244)",6770.423500001771,5264.823940238742,ugri,4,1,,,
NGC5481,MATLAS-1705,211.1208,50.9266,dE  ,4.3,,"(266, 282)",7666.409281440092,3581.5266264555494,ugriz,5,1,2.0,,1.0
NGC5481,MATLAS-1706,211.135,51.235,dI  ,0.0,,"(266, 282)",7476.413386763996,9557.521066178604,ugriz,5,1,2.0,,1.0
NGC5481,MATLAS-1713,211.484,50.7846,dE  ,3.57,,"(266, 282)",3224.558067680935,827.4910545308676,ugriz,5,1,2.0,,1.0
NGC5481,MATLAS-1717,211.5553,50.8211,dE  ,3.37,,"(266, 282)",2353.0500261647167,1536.9635308545849,ugriz,5,1,2.0,,1.0
NGC5481,MATLAS-1720,211.5957,51.2501,dE  ,6.48,,"(266, 282)",1887.3843697730476,9852.145598340565,ugriz,5,1,2.0,,1.0
NGC5481,MATLAS-1722,211.6769,51.038,dI  ,3.44,,"(266, 282)",883.6057858366275,5745.836368326854,ugriz,5,1,2.0,,1.0
,1406124+505354,211.55148,50.89844,UDG,5.93,,"(266, 282)",2404.134489464265,3035.604080045593,ugriz,5,1,2.0,,1.0
,1528050+430513,232.02101,43.08688,UDG,6.88,,"(339, 266)",1334.3322719110365,6689.305428494135,ugri,4,1,,,
