host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout,class_label,lens,lsb
,0919255+514004,139.85616,51.66781,UDG,10.12,,"(174, 283)",3793.146438989052,8252.822730778542,griz,4,1,2.0,,1.0
PGC51431,142415+345627,216.066,34.941,dE,2.87,,"(354, 250)",5176.367097793254,3856.6505237156903,ugri,4,1,2.0,,1.0
PGC51431,142418+345548,216.0778,34.9303,dE,8.16,0.4111020565032959,"(354, 250)",4988.913636860937,3649.2856020787267,ugri,4,1,2.0,,1.0
PGC51431,142444+345311,216.1866,34.8864,dE,5.15,1.4630552530288696,"(354, 250)",3259.3830809398255,2799.4981347789612,ugri,4,1,2.0,,1.0
,1424360+345329,216.1501,34.89133,UDG,7.08,,"(354, 250)",3839.670650168511,2894.508305240783,ugri,4,1,2.0,,1.0
,0830321+635451,127.63357,63.91425,UDG,5.96,,"(112, 308)",5954.923245113841,3339.0913560230415,ugriz,5,1,,,
,0845038+240540,131.26588,24.09447,UDG,6.4,,"(240, 228)",6600.527208886351,6831.248242050759,u,1,1,,,
NGC2577,MATLAS-362,125.196,22.0275,dIN ,0.0,,"(232, 224)",3455.604217295395,5533.356096337172,u,1,1,2.0,,1.0
NGC2577,MATLAS-364,125.2657,22.1646,dE  ,3.78,,"(232, 224)",2206.1866956870845,8191.218066061421,u,1,1,2.0,,1.0
,0819549+215657,124.97875,21.94929,UDG,6.0,,"(232, 224)",7359.670408909379,4018.302958218375,u,1,1,2.0,,1.0
,1345111+331130,206.29611,33.19168,UDG,10.5,,"(346, 246)",4720.08464067824,8714.596702458142,ugri,4,1,,,
PGC20611,071743+681336,109.4314,68.2267,dE,3.66,,"(82, 316)",5120.4319496112,9393.250349244816,griz,4,1,2.0,,1.0
,1239266+274737,189.86077,27.79361,UDG,5.94,,"(335, 236)",2337.859712683781,1002.0405492488235,ui,2,1,,,
,1249467+370602,192.44449,37.10043,UDG,11.86,,"(307, 254)",1264.7237818038438,6950.9831296679,ugri,4,1,,,
,0157334+042103,29.38917,4.35089,UDG,7.53,,"(59, 189)",8904.262117788814,2110.918455911924,u,1,1,,,
NGC2577,MATLAS-376,125.8322,22.5021,dE  ,1.97,,"(233, 225)",9771.169401197745,5044.942353540251,u,1,1,2.0,,1.0
PGC23498,082324+221600,125.8504,22.2668,dE,4.99,0.006855660118162632,"(233, 225)",9452.881587844175,484.4566727559104,u,1,1,2.0,,1.0
PGC23498,082324+224052,125.8538,22.6814,dE,3.6,,"(233, 225)",9378.763176118347,8518.964201740939,u,1,1,2.0,,1.0
PGC23498,082340+224310,125.9207,22.7197,dE,4.35,0.006952810101211071,"(233, 225)",8181.672691004336,9259.487919240533,u,1,1,2.0,,1.0
,0823359+222422,125.89969,22.40623,UDG,5.37,,"(233, 225)",8565.3121245024,3185.193003487571,u,1,1,2.0,,1.0
,1243331+545419,190.88809,54.90518,UDG,8.75,,"(219, 290)",5215.412799440644,3162.514721407004,griz,4,1,,,
UGC04906,NSA-78947,139.4972,52.7426,,,0.007848519831895828,"(170, 285)",6531.84089371232,9702.753925554882,griz,4,1,2.0,,
PGC7841,020405+241229,31.0213,24.2083,dE,17.35,0.002028736751526594,"(57, 228)",8107.856066680809,9038.611417980495,u,1,1,2.0,,1.0
,1305332+230421,196.38819,23.07257,UDG,7.93,,"(362, 226)",9333.111071606596,6409.93374046721,u,1,1,,,
,0945124+322054,146.30178,32.34844,UDG,6.37,,"(247, 245)",7141.690941401004,2064.225625657887,ugri,4,1,,,
NGC3658,MATLAS-1004,170.9076,38.7566,dE  ,4.23,,"(266, 258)",8497.282345380405,287.5533762692103,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1012,171.0837,38.8238,dE  ,3.92,,"(266, 258)",5835.243927036489,1585.668632545724,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1015,171.0988,38.8399,dE  ,2.63,,"(266, 258)",5607.129419871429,1897.5534848020416,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1023,171.2582,39.1223,dEN ,8.09,,"(266, 258)",3208.2509049092605,7371.226664700909,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1026,171.328,38.7725,dE  ,0.0,,"(266, 258)",2144.786391216463,594.2113114971344,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1028,171.374,39.0738,dE  ,0.0,,"(266, 258)",1464.8518391499742,6434.737556568419,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1029,171.3923,38.9089,dEN ,2.54,,"(266, 258)",1180.6441017949974,3239.877086403243,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1031,171.408,38.9716,dI  ,0.0,,"(266, 258)",947.4809965352388,4455.620061248742,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1034,171.4557,39.0182,dE  ,4.44,,"(266, 258)",231.95064006090615,5360.992771895929,ugri,4,1,2.0,,1.0
NGC3665,MATLAS-1035,171.456,38.8729,dE  ,0.0,,"(266, 258)",217.63017507104541,2545.232019502208,ugri,4,1,2.0,,1.0
PGC35064,112406+385123,171.027,38.8564,dE,3.98,0.006591190118342638,"(266, 258)",6690.511960671309,2218.2117867172024,ugri,4,1,2.0,,1.0
