name,host,radeg,dedeg,rproj,gmag,e_gmag,rimag,e_rimag,Mgmag,MVmag,e_MVmag,logMstar,e_logMstar,mu0V,e_mu0V,re,e_re,ETG,confirmed,Psat,filter,telescope,bad,dist,rearcsec,mueg,host_ra,host_dec,host_dist,host_alt_id,iso
dw0221p4221,NGC891,35.301,42.364,39.9,17.28,0.09,16.79,0.1,-12.52,-12.8,0.1,7.11,0.13,22.58,0.12,513.0,31.9,True,True,1.0,gr,CFHT,nan,9.12,11.6023953391623,24.6082129792444,35.637112,42.348319,9.12,NGC0891,1.0
UGC1807,NGC891,35.3058,42.7629,76.6,13.86,0.09,13.52,0.09,-15.94,-16.14,0.09,8.2,0.12,21.48,0.11,1617.4,78.5,False,True,1.0,gr,CFHT,nan,9.12,36.5803392682547,23.681713327083,35.637112,42.348319,9.12,NGC0891,1.0
dw0222p4242,NGC891,35.7298,42.7123,58.8,17.13,0.09,16.76,0.1,-12.67,-12.89,0.1,6.96,0.13,24.5,0.12,1138.2,69.6,True,True,1.0,gr,CFHT,nan,9.12,25.7423904881074,26.188719051063,35.637112,42.348319,9.12,NGC0891,1.0
dw0223p4314,NGC891,35.8921,43.2395,144.8,19.36,0.12,18.96,0.12,-10.44,-10.67,0.12,6.11,0.14,23.44,0.17,193.6,19.3,True,False,0.15,gr,CFHT,nan,9.12,4.3786037810789,24.5721529205112,35.637112,42.348319,9.12,NGC0891,1.0
dw0224p4158,NGC891,36.0968,41.9747,80.4,20.49,0.16,20.09,0.16,-9.31,-9.54,0.16,5.66,0.18,24.41,0.23,165.6,23.9,True,False,0.2,gr,CFHT,nan,9.12,3.74533463933828,25.3629278179812,35.637112,42.348319,9.12,NGC0891,1.0
dw0225p4153,NGC891,36.3192,41.8915,108.4,20.53,0.16,20.13,0.16,-9.27,-9.51,0.17,5.65,0.18,24.78,0.24,175.3,25.5,True,False,0.45,gr,CFHT,nan,9.12,3.96471716344988,25.5265357361771,35.637112,42.348319,9.12,NGC0891,1.0
dw0226p4206,NGC891,36.669,42.1111,127.2,20.44,0.16,20.04,0.16,-9.36,-9.6,0.16,5.68,0.17,24.01,0.23,150.3,21.3,True,False,0.1,gr,CFHT,nan,9.12,3.39929828685657,25.1024210587135,35.637112,42.348319,9.12,NGC0891,1.0
dw0235p3850,NGC1023,38.976,38.8362,164.0,16.82,0.15,16.21,0.14,-13.27,-13.51,0.15,7.25,0.12,21.18,0.1,532.8,86.4,False,True,1.0,gi,CFHT,nan,10.4,10.5671046800295,23.9452547300352,40.100056,39.06324,10.4,nan,1.0
IC239,NGC1023,39.1162,38.969,139.8,nan,nan,nan,nan,nan,-19.1,nan,9.32,nan,nan,nan,nan,nan,False,True,1.0,nan,nan,nan,10.4,nan,nan,40.100056,39.06324,10.4,nan,1.0
dw0237p3855,NGC1023,39.3276,38.9331,111.5,15.24,0.1,14.54,0.11,-14.84,-15.12,0.1,8.0,0.11,21.39,0.16,926.2,96.5,False,True,1.0,gi,CFHT,yes,10.4,18.3694676000953,23.5659575286723,40.100056,39.06324,10.4,nan,1.0
dw0237p3836,NGC1023,39.4144,38.6003,128.3,18.2,0.17,17.56,0.16,-11.89,-12.13,0.17,6.74,0.12,23.85,0.13,547.9,63.0,True,True,1.0,gi,CFHT,nan,10.4,10.8665853113683,25.3859401512883,40.100056,39.06324,10.4,nan,1.0
dw0239p3926,NGC1023,39.8325,39.4339,77.1,18.21,0.14,17.59,0.14,-11.87,-12.11,0.14,6.72,0.12,26.17,0.1,1129.4,103.8,True,True,1.0,gi,CFHT,nan,10.4,22.3995645442032,26.9666725595919,40.100056,39.06324,10.4,nan,1.0
dw0239p3903,NGC1023,39.8432,39.0554,36.2,20.62,0.49,20.05,0.34,-9.47,-9.69,0.49,5.69,0.16,25.06,0.28,335.5,44.0,True,True,1.0,gi,CFHT,nan,10.4,6.6540233146053,26.7408962728955,40.100056,39.06324,10.4,nan,1.0
