ID,RAdeg,DEdeg,gmag,gMag,mu,PRh,ARh,z,Nuc,Class,Env,PGC
122355+074858,185.9814,7.8161,19.91,-11.26,23.53,0.16,2.11,9.9999,2,ND,1,PGC41361
122356+060152,185.985,6.0313,18.87,-12.3,24.43,0.41,5.18,9.9999,1,ND,1,PGC41361
122357+293547,185.989,29.5966,16.41,-14.41,23.78,0.8,11.85,0.0025,1,ND,2,PGC39724
122357+084242,185.99,8.7118,18.64,-12.52,23.17,0.25,3.2,9.9999,0,ND,1,PGC41361
122357+115331,185.9905,11.892,18.02,-13.15,24.66,0.67,8.49,0.0019,1,ND,1,PGC41361
122357+125312,185.9905,12.8869,15.89,-15.28,22.82,0.77,9.74,0.0018,1,ND,1,PGC41361
122358+075429,185.993,7.9083,18.21,-12.95,24.22,0.5,6.33,9.9999,1,ND,1,PGC41361
122359+092937,185.9991,9.4938,18.9,-12.27,24.74,0.46,5.88,9.9999,1,ND,1,PGC41361
122359+173905,185.9995,17.6515,18.56,-12.61,23.33,0.28,3.59,9.9999,0,ND,1,PGC41361
122400+743202,186.001,74.5339,20.43,-12.31,26.78,1.2,7.43,9.9999,0,ND,2,PGC39791
122400+115625,186.0032,11.9405,18.44,-12.72,26.07,1.07,13.39,9.9999,0,ND,1,PGC41361
122401+165021,186.0081,16.8392,17.9,-13.27,23.79,0.48,6.03,0.0055,0,ND,1,PGC41361
122403+751949,186.0163,75.3304,19.54,-13.2,25.28,0.91,5.62,9.9999,0,ND,2,PGC39791
122404+173258,186.0167,17.5495,17.47,-13.7,23.78,0.58,7.32,0.0015,1,ND,1,PGC41361
122405+100403,186.0219,10.0676,15.99,-15.17,23.51,1.01,12.71,0.0042,1,ND,1,PGC41361
122405+073153,186.024,7.5316,18.34,-12.82,24.34,0.5,6.33,9.9999,0,ND,1,PGC41361
122406+070425,186.0251,7.0738,20.06,-11.1,24.85,0.29,3.63,9.9999,0,ND,1,PGC41361
122408+280544,186.0338,28.0956,18.68,-13.16,25.09,0.83,7.64,9.9999,0,ND,3,PGC40988
122408+110845,186.0352,11.146,19.1,-12.07,25.99,0.76,9.51,9.9999,1,ND,1,PGC41361
122408+134958,186.0358,13.8329,19.86,-11.31,26.75,0.76,9.55,9.9999,0,ND,1,PGC41361
122409+083048,186.0379,8.5136,18.79,-12.38,23.64,0.29,3.72,9.9999,1,ND,1,PGC41361
122410+071853,186.0457,7.3148,21.3,-9.87,25.76,0.24,3.12,9.9999,0,ND,1,PGC41361
122411+132223,186.0467,13.3732,18.7,-12.46,25.53,0.74,9.26,9.9999,1,ND,1,PGC41361
122411+413451,186.0469,41.5811,17.6,-11.45,22.06,0.09,3.12,0.0026,2,BC,2,PGC41333
122411+115648,186.0473,11.9469,16.81,-14.35,24.83,1.28,16.0,9.9999,0,ND,1,PGC41361
122411+470721,186.048,47.1228,17.48,-13.34,24.72,0.77,11.15,9.9999,0,ND,2,PGC40228
122412+113145,186.052,11.5294,17.37,-13.8,23.62,0.56,7.1,0.0055,1,ND,1,PGC41361
122412+142936,186.0531,14.4935,18.67,-12.5,24.76,0.52,6.6,9.9999,0,ND,1,PGC41361
122413+114541,186.0546,11.7616,18.14,-13.03,26.01,1.2,15.01,9.9999,0,ND,1,PGC41361
122413+133756,186.0555,13.6324,18.31,-12.85,24.44,0.53,6.72,9.9999,1,ND,1,PGC41361
122413+145543,186.0568,14.9289,17.82,-13.35,23.89,0.52,6.54,9.9999,1,ND,1,PGC41361
122413+071030,186.0578,7.1751,16.26,-14.9,23.89,1.06,13.35,0.005,1,ND,1,PGC41361
122414+184121,186.0586,18.6893,17.6,-13.56,23.25,0.42,5.37,0.0052,1,BC,1,PGC41361
122418+125445,186.0781,12.9125,18.57,-12.6,24.37,0.46,5.78,9.9999,1,ND,1,PGC41361
122419+121931,186.0819,12.3255,18.65,-12.52,26.27,1.06,13.33,9.9999,1,ND,1,PGC41361
122421+132506,186.0902,13.4185,18.45,-12.71,24.86,0.61,7.63,9.9999,1,ND,1,PGC41361
122421+123635,186.0907,12.6099,20.72,-10.44,25.45,0.28,3.52,9.9999,0,ND,1,PGC41361
122422+210936,186.0922,21.16,15.04,-16.13,21.75,0.7,8.78,0.0028,1,BC,1,PGC41361
122424+150427,186.1009,15.0744,15.91,-15.25,23.97,1.3,16.35,0.0051,1,ND,1,PGC41361
122424+162313,186.1014,16.387,18.15,-13.02,25.45,0.92,11.52,9.9999,1,ND,1,PGC41361
122425+121540,186.1078,12.2613,18.11,-13.06,24.64,0.64,8.11,9.9999,1,ND,1,PGC41361
122426+070648,186.1089,7.1135,18.14,-13.03,23.77,0.42,5.34,0.0097,1,ND,1,PGC41361
122426+132801,186.1096,13.4671,19.36,-11.81,26.33,0.78,9.87,9.9999,0,ND,1,PGC41361
122430+114841,186.1284,11.8114,18.55,-12.62,25.34,0.72,9.11,9.9999,0,ND,1,PGC41361
122430+184644,186.1291,18.779,20.19,-10.98,24.79,0.26,3.33,9.9999,0,ND,1,PGC41361
122432+083814,186.1335,8.6375,17.62,-13.55,22.58,0.31,3.93,0.0041,1,ND,1,PGC41361
122434+132223,186.143,13.3733,19.45,-11.71,25.52,0.52,6.54,9.9999,0,ND,1,PGC41361
122435+150950,186.1463,15.1641,18.64,-12.53,25.36,0.7,8.83,9.9999,1,ND,1,PGC41361
122435+393811,186.1467,39.6364,19.93,-12.65,26.24,1.11,7.29,9.9999,0,ND,3,PGC40396
122435+060158,186.1472,6.033,16.82,-14.35,20.76,0.19,2.45,9.9999,2,BC,1,PGC41361
122436+185614,186.1525,18.9373,18.58,-12.58,25.51,0.77,9.7,9.9999,0,ND,1,PGC41361
122440+154235,186.1683,15.7099,18.16,-13.0,25.1,0.77,9.73,9.9999,1,ND,1,PGC41361
122442+031215,186.1778,3.2044,19.3,-11.86,25.58,0.57,7.17,9.9999,0,ND,1,PGC41361
122445+124633,186.1899,12.7759,20.6,-10.57,24.8,0.22,2.76,9.9999,0,ND,1,PGC41361
122446+065535,186.1918,6.9264,19.71,-11.45,25.61,0.48,6.03,9.9999,0,ND,1,PGC41361
122447+072110,186.1959,7.353,14.59,-16.58,21.75,0.86,10.8,0.0043,1,ND,1,PGC41361
