ID,RAdeg,DEdeg,gmag,gMag,mu,PRh,ARh,z,Nuc,Class,Env,PGC
000033+165423,0.1392,16.9065,18.58,-12.75,24.58,0.52,6.33,9.9999,0,ND,2,PGC218
000044+152725,0.1855,15.4572,19.52,-11.81,26.1,0.68,8.25,9.9999,0,ND,2,PGC218
000222+160140,0.5929,16.0279,19.56,-11.77,24.16,0.27,3.31,9.9999,0,ND,2,PGC218
000248+163546,0.7041,16.5962,19.21,-12.12,25.41,0.57,6.94,9.9999,1,ND,2,PGC218
000250+163742,0.7105,16.6284,19.38,-11.94,26.52,0.88,10.67,9.9999,1,ND,2,PGC218
000306+161829,0.7791,16.3083,18.27,-13.06,26.3,1.34,16.13,9.9999,0,ND,2,PGC218
000324+161111,0.8508,16.1865,18.54,-12.79,25.79,0.93,11.23,9.9999,0,ND,2,PGC218
000417+204430,1.0715,20.7419,18.48,-14.5,24.24,0.99,5.66,9.9999,1,ND,3,PGC279
000844+143529,2.1856,14.5916,16.65,-14.68,24.04,0.99,11.97,9.9999,1,ND,2,PGC218
001746+113147,4.442,11.5299,20.37,-11.45,26.57,0.65,6.95,9.9999,0,ND,3,PGC1160
002922-332302,7.3456,-33.3839,21.22,-10.07,26.47,0.38,4.48,9.9999,0,ND,2,PGC1851
003102-331613,7.7622,-33.2705,15.97,-15.32,23.68,1.18,13.95,9.9999,1,SP,2,PGC1851
003155-331600,7.9815,-33.2668,16.65,-14.64,24.28,1.14,13.41,9.9999,0,TS,2,PGC1851
003258-324548,8.2426,-32.7636,18.15,-13.14,24.61,0.66,7.82,9.9999,1,ND,2,PGC1851
003351-275024,8.4651,-27.8401,17.33,-14.52,25.77,2.16,19.46,9.9999,0,UD,3,PGC2052
003414-081008,8.5585,-8.1691,16.66,-15.52,23.29,1.04,8.48,9.9999,0,ND,3,PGC2081
003506-280306,8.7789,-28.0518,17.53,-14.31,25.11,1.45,13.09,9.9999,0,ND,3,PGC2052
003637-082457,9.1542,-8.416,20.12,-12.06,25.94,0.71,5.82,9.9999,0,ND,3,PGC2081
004103-210808,10.2636,-21.1356,19.49,-12.38,24.17,0.38,3.44,9.9999,1,ND,3,PGC2478
004434-314204,11.1453,-31.7013,21.12,-10.51,24.98,0.23,2.36,9.9999,0,ND,2,PGC2778
004643-313058,11.6808,-31.5163,19.2,-12.44,25.14,0.61,6.15,9.9999,0,ND,2,PGC2778
005124-065818,12.8526,-6.9719,20.9,-11.38,25.65,0.45,3.55,9.9999,0,ND,3,PGC2980
005236-310921,13.1524,-31.1561,16.15,-15.22,22.68,0.71,8.09,9.9999,0,BC,2,PGC3089
005249-305753,13.2051,-30.9648,20.11,-11.25,24.95,0.32,3.7,9.9999,0,ND,2,PGC3089
005733-040804,14.3901,-4.1345,19.64,-13.43,25.23,0.97,5.25,9.9999,0,ND,3,PGC3429
005914-075715,14.8103,-7.9544,19.73,-12.63,25.49,0.68,5.67,9.9999,0,ND,3,PGC3572
005916-073511,14.8192,-7.5867,19.92,-12.44,24.77,0.45,3.72,9.9999,1,ND,3,PGC3572
005949-071341,14.9559,-7.2281,20.37,-11.99,25.37,0.48,3.99,9.9999,1,ND,3,PGC3572
010149-073750,15.4583,-7.6308,18.69,-13.67,25.45,1.08,8.95,9.9999,1,ND,3,PGC3572
010339-061053,15.9145,-6.1814,18.81,-14.35,24.99,1.18,6.85,9.9999,1,ND,3,PGC3768
010528-060513,16.3697,-6.087,20.45,-11.13,25.46,0.32,4.0,9.9999,0,ND,3,PGC3853
011231-020021,18.1301,-2.006,19.49,-13.07,24.72,0.63,4.43,9.9999,0,ND,2,PGC4524
011258-060547,18.2435,-6.0967,20.18,-12.87,25.97,0.91,5.75,9.9999,0,ND,3,PGC144017
011301-060220,18.2577,-6.039,20.47,-12.58,25.48,0.63,4.0,9.9999,0,ND,3,PGC144017
011357-014238,18.49,-1.7108,20.22,-12.34,26.97,1.28,8.92,9.9999,0,ND,2,PGC4524
011442-010550,18.6779,-1.0974,20.53,-12.03,24.54,0.36,2.52,9.9999,2,ND,2,PGC4524
011445-011430,18.6876,-1.2417,19.97,-12.59,24.19,0.4,2.78,9.9999,0,ND,2,PGC4524
011452-010543,18.7193,-1.0954,16.88,-15.68,22.36,0.71,4.98,0.0072,2,BC,2,PGC4524
011501-012850,18.7568,-1.4807,19.93,-12.63,25.57,0.77,5.37,9.9999,1,ND,2,PGC4524
011510-012818,18.795,-1.4719,17.27,-15.29,22.04,0.51,3.58,9.9999,1,ND,2,PGC4524
011516-013457,18.8185,-1.5826,16.02,-16.54,22.72,1.26,8.76,9.9999,1,HD,2,PGC4524
011638-013649,19.162,-1.6136,20.32,-12.24,25.97,0.77,5.39,9.9999,0,ND,2,PGC4524
011809-013431,19.5404,-1.5755,20.79,-11.77,25.09,0.41,2.88,9.9999,0,ND,2,PGC4524
011813+042329,19.5551,4.3914,19.63,-12.84,24.54,0.54,3.84,9.9999,0,ND,2,PGC4801
011820+032558,19.5845,3.433,20.5,-11.97,25.28,0.51,3.6,9.9999,0,ND,2,PGC4801
011923+031423,19.8488,3.2399,19.25,-13.22,24.91,0.77,5.43,9.9999,0,ND,2,PGC4801
011926+032134,19.859,3.3596,20.13,-12.34,25.06,0.55,3.86,9.9999,1,ND,2,PGC4801
011936+033129,19.9013,3.5248,20.57,-11.9,24.64,0.37,2.6,9.9999,2,ND,2,PGC4801
011943+031446,19.9305,3.2463,20.64,-11.82,25.43,0.51,3.62,9.9999,0,ND,2,PGC4801
012014+033659,20.0624,3.6166,20.1,-12.36,24.89,0.51,3.61,9.9999,0,ND,2,PGC4801
012015+031325,20.0633,3.2237,17.57,-14.89,21.21,0.3,2.14,9.9999,2,ND,2,PGC4801
012028+033632,20.1188,3.609,20.56,-11.9,26.14,0.74,5.21,9.9999,0,ND,2,PGC4801
012028+061407,20.1198,6.2354,19.52,-12.91,24.48,0.55,3.91,9.9999,1,ND,2,PGC4946
012035+051702,20.1465,5.284,17.38,-15.05,24.12,1.26,8.88,9.9999,1,ND,2,PGC4946
012101+060009,20.2582,6.0026,19.54,-12.89,24.45,0.54,3.83,9.9999,0,ND,2,PGC4946
012105+054542,20.2714,5.7618,15.71,-16.72,22.38,1.22,8.59,9.9999,2,ND,2,PGC4946
012106+083954,20.2759,8.6652,18.04,-14.28,23.59,0.64,5.14,9.9999,0,ND,2,PGC5222
012108+173607,20.2851,17.6022,17.81,-15.43,23.35,0.94,5.11,9.9999,1,ND,3,PGC4948
012127+091048,20.3639,9.18,16.18,-16.14,22.75,1.02,8.23,0.0073,1,ND,2,PGC5222
012132+034016,20.385,3.6713,20.64,-11.83,26.02,0.67,4.75,9.9999,0,ND,2,PGC4801
012134+054207,20.3926,5.7022,17.49,-14.94,23.65,0.96,6.8,9.9999,0,ND,2,PGC4946
012135+033348,20.3963,3.5634,20.07,-12.39,24.49,0.43,3.05,9.9999,2,ND,2,PGC4801
012138+173328,20.4115,17.558,18.71,-14.53,23.39,0.63,3.44,9.9999,0,ND,3,PGC4948
012158+173434,20.4941,17.5762,18.88,-14.36,26.0,1.96,10.6,9.9999,0,UD,3,PGC4948
012158+035815,20.4946,3.9711,19.99,-12.48,24.45,0.44,3.11,9.9999,0,ND,2,PGC4801
012202+052201,20.512,5.3671,14.9,-17.53,20.34,0.69,4.87,0.0079,2,ND,2,PGC4946
012204+085811,20.5175,8.9699,19.54,-12.78,24.65,0.52,4.2,9.9999,0,ND,2,PGC5222
012212+051308,20.5526,5.2191,20.33,-12.1,27.25,1.36,9.63,9.9999,0,ND,2,PGC4946
012230+084706,20.6259,8.7852,20.13,-12.19,24.36,0.34,2.8,9.9999,0,ND,2,PGC5222
012230+084539,20.6265,8.7609,17.3,-15.02,25.34,2.01,16.13,9.9999,0,UD,2,PGC5222
012231+091652,20.6325,9.2814,15.42,-16.91,21.27,0.73,5.91,0.0093,2,BC,2,PGC5222
012232+050816,20.6364,5.138,16.35,-16.08,23.25,1.35,9.56,9.9999,2,ND,2,PGC4946
012238+053707,20.6615,5.6187,20.44,-11.99,25.94,0.71,5.02,9.9999,1,ND,2,PGC4946
012243+092505,20.6799,9.4182,17.7,-14.62,23.49,0.71,5.75,9.9999,1,ND,2,PGC5222
012247+090609,20.6998,9.1027,20.8,-11.52,25.17,0.37,2.99,9.9999,0,ND,2,PGC5222
012249+094333,20.7055,9.7261,18.77,-13.55,24.84,0.81,6.51,9.9999,1,ND,2,PGC5222
012256+084024,20.7342,8.6735,18.95,-13.37,25.33,0.94,7.54,9.9999,0,ND,2,PGC5222
012257+090714,20.74,9.1207,15.59,-16.73,21.54,0.77,6.18,9.9999,1,ND,2,PGC5222
012303+090606,20.7647,9.1018,19.27,-13.05,24.89,0.66,5.3,9.9999,0,ND,2,PGC5222
012303+092101,20.7649,9.3503,21.09,-11.24,27.15,0.81,6.5,9.9999,0,ND,2,PGC5222
012312+085331,20.8015,8.892,17.47,-14.85,24.23,1.12,8.97,9.9999,1,ND,2,PGC5222
012323+090048,20.847,9.0136,19.45,-12.87,24.24,0.45,3.62,9.9999,1,ND,2,PGC5222
012325+094503,20.8546,9.751,20.89,-11.43,26.32,0.6,4.85,9.9999,0,ND,2,PGC5222
012337+045848,20.9061,4.98,20.39,-12.04,25.6,0.62,4.39,9.9999,0,ND,2,PGC4946
012350+094753,20.9595,9.7983,21.35,-10.97,25.53,0.34,2.74,9.9999,0,ND,2,PGC5222
012400+045441,21.0029,4.9115,20.32,-12.11,24.61,0.4,2.88,9.9999,0,ND,2,PGC4946
012410+091655,21.0431,9.282,19.3,-13.02,26.03,1.1,8.84,9.9999,1,ND,2,PGC5222
012412+050910,21.0541,5.1528,17.77,-14.66,25.75,2.23,15.72,9.9999,0,UD,2,PGC4946
012418+092908,21.0758,9.4857,19.73,-12.59,25.38,0.67,5.39,9.9999,0,ND,2,PGC5222
012422+092621,21.0951,9.4392,19.71,-12.61,23.89,0.34,2.74,9.9999,0,ND,2,PGC5222
012436+092813,21.1502,9.4703,16.45,-15.87,22.66,0.86,6.95,9.9999,1,ND,2,PGC5222
012453+091343,21.2223,9.2288,20.72,-11.6,25.92,0.54,4.37,9.9999,0,ND,2,PGC5222
012508+093628,21.2837,9.6078,18.47,-13.85,24.26,0.71,5.74,9.9999,1,ND,2,PGC5222
012526+093722,21.3586,9.6228,19.45,-12.87,25.49,0.8,6.45,9.9999,0,ND,2,PGC5222
012527+093109,21.3636,9.5192,15.98,-16.34,22.76,1.13,9.05,9.9999,1,ND,2,PGC5222
012527+093502,21.3663,9.5841,19.85,-12.47,24.6,0.44,3.55,9.9999,0,ND,2,PGC5222
012529+094339,21.3746,9.7277,17.1,-15.22,22.42,0.57,4.62,9.9999,1,ND,2,PGC5222
012531+093925,21.3794,9.6572,20.72,-11.6,25.78,0.51,4.1,9.9999,0,ND,2,PGC5222
012543+093318,21.4294,9.5552,20.52,-11.81,25.23,0.43,3.5,9.9999,0,ND,2,PGC5222
012543-080910,21.432,-8.1529,18.84,-12.8,26.82,1.52,15.76,9.9999,0,UD,2,PGC5663
012552+093738,21.4674,9.6274,20.65,-11.68,25.43,0.45,3.61,9.9999,1,ND,2,PGC5222
012610+093147,21.5454,9.5299,18.81,-13.51,25.41,1.04,8.35,9.9999,0,ND,2,PGC5222
012655+094605,21.7313,9.7681,21.15,-11.17,26.15,0.49,3.99,9.9999,0,ND,2,PGC5222
012851-065153,22.2126,-6.8649,19.3,-12.35,24.35,0.39,4.09,9.9999,0,ND,2,PGC5663
013014-224140,22.5616,-22.6946,19.03,-12.85,25.98,1.1,9.79,9.9999,0,ND,3,PGC5619
013022-225059,22.5939,-22.85,20.0,-11.88,24.92,0.43,3.84,9.9999,0,ND,3,PGC5619
013156-292053,22.984,-29.3482,17.55,-14.11,23.95,0.76,7.62,9.9999,0,ND,3,PGC5849
013224-070148,23.1008,-7.0301,20.01,-11.63,25.18,0.41,4.31,9.9999,1,ND,2,PGC5663
013230-070045,23.1265,-7.0127,16.05,-15.59,22.69,0.82,8.51,9.9999,2,BC,2,PGC5663
013234-065850,23.1428,-6.9806,16.41,-15.23,24.56,1.64,17.01,9.9999,0,ND,2,PGC5663
013248-064136,23.202,-6.6936,19.35,-12.29,24.16,0.35,3.66,9.9999,0,ND,2,PGC5663
013254-073221,23.2279,-7.5392,18.5,-13.14,24.2,0.53,5.51,9.9999,0,ND,2,PGC5663
013326-070544,23.3589,-7.0957,19.74,-11.9,26.06,0.7,7.34,9.9999,0,ND,2,PGC5663
013329-072035,23.3718,-7.3431,18.54,-13.1,25.05,0.77,8.02,9.9999,0,ND,2,PGC5663
013339-064128,23.4137,-6.6912,17.68,-13.96,22.46,0.34,3.6,9.9999,0,ND,2,PGC5663
013346-294127,23.4433,-29.691,16.66,-14.99,24.34,1.38,13.73,9.9999,1,ND,3,PGC5849
013351-070956,23.4653,-7.1658,19.0,-12.64,25.82,0.89,9.24,9.9999,0,ND,2,PGC5663
013412-074409,23.5506,-7.7361,14.9,-16.74,21.01,0.64,6.67,9.9999,1,BC,2,PGC5663
013423-071635,23.5969,-7.2765,18.69,-12.95,24.02,0.44,4.65,9.9999,0,ND,2,PGC5663
013446-072117,23.6948,-7.3548,17.4,-14.24,24.39,0.96,9.98,0.0064,0,ND,2,PGC5663
013451-291017,23.7139,-29.1716,18.13,-13.53,24.5,0.75,7.52,9.9999,1,ND,3,PGC5849
013507-290933,23.7828,-29.1593,20.0,-11.66,25.6,0.53,5.27,9.9999,0,ND,3,PGC5849
013556-072832,23.9873,-7.4758,19.16,-12.48,25.71,0.78,8.15,9.9999,0,ND,2,PGC5663
013717+153758,24.3235,15.6329,17.98,-12.0,23.94,0.26,6.2,9.9999,0,ND,2,PGC5974
013739+160754,24.4152,16.1318,20.79,-9.2,26.7,0.26,6.07,9.9999,0,ND,2,PGC5974
014146+132414,25.4445,13.4042,19.15,-11.71,25.15,0.41,6.33,9.9999,0,ND,2,PGC6318
014355+133805,25.9814,13.6349,21.25,-9.61,26.79,0.33,5.13,9.9999,0,ND,2,PGC6318
014432+283623,26.1342,28.6064,17.94,-11.6,23.72,0.19,5.69,9.9999,0,ND,2,PGC6595
014610+284855,26.5426,28.8155,16.74,-12.81,23.97,0.38,11.13,9.9999,0,BC,2,PGC6595
014647+221241,26.6989,22.2115,19.02,-13.87,25.33,1.18,7.29,9.9999,0,ND,2,PGC6848
014651-525156,26.7154,-52.8656,19.2,-12.07,24.16,0.32,3.92,9.9999,0,ND,3,PGC6581
014718-133555,26.8286,-13.5986,20.13,-11.83,26.19,0.75,6.51,9.9999,0,ND,2,PGC6983
014726+221023,26.8609,22.1732,19.21,-13.68,23.77,0.52,3.26,9.9999,0,ND,2,PGC6848
014734-101248,26.8928,-10.2134,17.66,-15.79,23.75,1.48,6.6,9.9999,0,ND,2,PGC6671
014757-123559,26.9909,-12.5998,18.4,-13.55,23.93,0.59,5.09,9.9999,0,BC,2,PGC6983
014828+223951,27.1174,22.6644,20.25,-12.63,27.35,1.69,10.47,9.9999,0,UD,2,PGC6848
014845+220630,27.1896,22.1084,21.0,-11.89,26.39,0.77,4.79,9.9999,0,ND,2,PGC6848
014946-124354,27.4439,-12.7318,19.15,-12.81,25.18,0.74,6.43,9.9999,0,ND,2,PGC6983
015004-103242,27.5192,-10.545,19.0,-14.44,25.39,1.69,7.56,9.9999,1,UD,2,PGC6671
015017+220209,27.5722,22.0361,19.02,-13.86,24.15,0.68,4.23,9.9999,1,ND,2,PGC6848
015017+220336,27.5736,22.06,21.36,-11.53,26.84,0.8,4.98,9.9999,0,ND,2,PGC6848
015026+215705,27.6097,21.9516,17.9,-14.98,23.94,1.03,6.42,9.9999,1,ND,2,PGC6848
015033+220236,27.641,22.0434,21.48,-11.41,25.36,0.38,2.39,9.9999,0,ND,2,PGC6848
015043+215553,27.6792,21.9315,20.45,-12.43,25.69,0.72,4.46,9.9999,0,ND,2,PGC6848
015108-141130,27.7859,-14.1917,19.33,-12.62,26.48,1.24,10.74,9.9999,1,ND,2,PGC6983
015135+221736,27.8996,22.2934,19.04,-13.84,24.85,0.93,5.8,9.9999,1,ND,2,PGC6848
015139-132007,27.9153,-13.3355,20.4,-11.55,26.55,0.78,6.76,9.9999,0,ND,2,PGC6983
015144+221957,27.9344,22.3326,17.44,-15.45,22.38,0.63,3.89,9.9999,1,ND,2,PGC6848
015233-132639,28.1402,-13.4444,18.88,-13.07,25.36,0.91,7.87,9.9999,1,ND,2,PGC6983
015239-135128,28.1663,-13.8579,19.47,-12.49,24.4,0.45,3.87,9.9999,0,ND,2,PGC6983
015257-142622,28.2392,-14.4395,16.32,-15.64,22.05,0.65,5.6,9.9999,2,BC,2,PGC6983
015304-132035,28.2671,-13.3432,16.5,-15.45,22.28,0.66,5.71,9.9999,1,BC,2,PGC6983
015310-135727,28.2925,-13.9578,19.86,-12.1,25.66,0.67,5.77,9.9999,0,ND,2,PGC6983
015315-141111,28.3152,-14.1865,21.14,-10.81,25.66,0.37,3.19,9.9999,0,ND,2,PGC6983
015319-134155,28.3328,-13.6986,21.29,-10.67,25.28,0.29,2.51,9.9999,0,ND,2,PGC6983
015322-135446,28.3423,-13.9128,19.85,-12.1,26.59,1.03,8.89,9.9999,0,ND,2,PGC6983
015328-135407,28.3698,-13.902,22.33,-9.63,25.87,0.23,2.04,9.9999,0,ND,2,PGC6983
015335-135309,28.3993,-13.886,17.35,-14.61,23.81,0.91,7.82,9.9999,1,ND,2,PGC6983
015339-135947,28.4158,-13.9966,21.25,-10.7,26.58,0.54,4.64,9.9999,0,ND,2,PGC6983
015340-135247,28.4195,-13.88,18.11,-13.85,23.7,0.6,5.23,9.9999,0,BC,2,PGC6983
015341-140003,28.4235,-14.0009,21.25,-10.7,25.74,0.36,3.15,9.9999,0,ND,2,PGC6983
015343-135425,28.4317,-13.907,19.76,-12.2,25.95,0.8,6.9,9.9999,0,ND,2,PGC6983
015350-140020,28.4609,-14.0056,19.87,-12.08,26.6,1.02,8.83,9.9999,1,ND,2,PGC6983
015354-141251,28.4762,-14.2143,20.63,-11.32,25.29,0.39,3.41,9.9999,0,ND,2,PGC6983
015356-135012,28.4847,-13.8368,14.97,-16.98,21.38,0.88,7.61,0.0051,2,ND,2,PGC6983
015406-141319,28.5256,-14.2221,19.43,-12.52,25.44,0.73,6.35,9.9999,0,ND,2,PGC6983
015412-141513,28.5521,-14.2538,19.59,-12.36,24.57,0.45,3.95,9.9999,0,ND,2,PGC6983
015419-132127,28.5827,-13.3577,20.68,-11.27,24.92,0.32,2.81,9.9999,0,ND,2,PGC6983
015426-140026,28.6105,-14.0074,18.79,-13.16,25.58,1.05,9.1,9.9999,0,ND,2,PGC6983
015427-131813,28.6157,-13.3037,21.28,-10.68,26.42,0.49,4.25,9.9999,0,ND,2,PGC6983
015429-234812,28.6218,-23.8036,19.65,-12.02,25.41,0.58,5.67,9.9999,0,ND,3,PGC7024
015433-120032,28.6401,-12.009,18.66,-13.3,24.47,0.67,5.8,9.9999,1,ND,2,PGC6983
015445-140802,28.6894,-14.1341,15.97,-15.98,23.94,1.82,15.69,9.9999,2,BC,2,PGC6983
015452-142133,28.7172,-14.3592,17.37,-14.58,23.29,0.7,6.09,9.9999,1,ND,2,PGC6983
015452-134448,28.7199,-13.7468,17.13,-14.82,23.46,0.85,7.37,9.9999,1,ND,2,PGC6983
015454-132916,28.7255,-13.4878,18.46,-13.5,25.44,1.15,9.95,9.9999,0,ND,2,PGC6983
015456+043011,28.7342,4.5033,15.89,-16.33,22.52,1.07,8.42,9.9999,1,ND,3,PGC6993
015501-134559,28.7557,-13.7666,20.66,-11.29,24.83,0.31,2.72,9.9999,0,ND,2,PGC6983
015504-140603,28.769,-14.1011,16.25,-15.7,22.57,0.85,7.33,9.9999,1,BC,2,PGC6983
015510-142211,28.7923,-14.3698,18.94,-13.01,24.9,0.72,6.2,9.9999,0,ND,2,PGC6983
015606-153235,29.0257,-15.5432,18.96,-12.99,24.46,0.58,5.03,9.9999,0,ND,2,PGC6983
015624-132308,29.1028,-13.3856,18.38,-13.58,23.5,0.49,4.22,9.9999,0,ND,2,PGC6983
015639-133627,29.1647,-13.6076,19.48,-12.48,24.27,0.42,3.63,9.9999,1,ND,2,PGC6983
015753+185145,29.4712,18.8626,19.91,-12.67,26.15,1.0,7.07,9.9999,0,ND,2,PGC7525
015915+182839,29.8146,18.4776,16.55,-16.03,21.53,0.56,3.95,9.9999,2,ND,2,PGC7525
015925+190538,29.8546,19.0939,20.9,-11.68,25.07,0.38,2.71,9.9999,0,ND,2,PGC7525
015942+190118,29.925,19.0219,16.48,-16.1,22.55,0.93,6.52,9.9999,2,BC,2,PGC7525
020311+220302,30.7973,22.0507,18.96,-14.42,26.56,2.55,13.2,9.9999,1,UD,3,PGC7825
020327+160148,30.8659,16.0301,20.35,-12.35,24.02,0.33,2.17,9.9999,0,ND,3,PGC7849
020339+220332,30.9134,22.059,19.16,-14.22,24.58,0.93,4.84,9.9999,0,ND,3,PGC7825
020405+241229,31.0213,24.2083,15.4,-17.93,22.59,3.39,17.35,9.9999,2,ND,3,PGC7841
020652+105655,31.717,10.9486,19.43,-13.04,23.91,0.4,3.15,9.9999,0,ND,3,PGC8160
020718+113357,31.8261,11.566,16.87,-15.59,21.53,0.43,3.41,9.9999,2,ND,3,PGC8160
020728+105838,31.8682,10.9772,20.45,-12.02,25.5,0.52,4.09,9.9999,1,ND,3,PGC8160
020754+111845,31.9757,11.3126,19.23,-13.23,25.62,0.96,7.55,9.9999,1,ND,3,PGC8160
020851-092956,32.2156,-9.4989,20.21,-11.89,24.91,0.42,3.47,9.9999,0,ND,2,PGC8232
020916-093826,32.3187,-9.6408,19.55,-12.56,25.89,0.91,7.38,9.9999,1,ND,2,PGC8232
021310-191558,33.2955,-19.2663,19.61,-13.22,24.8,0.74,4.37,9.9999,0,ND,3,PGC8480
022048-002754,35.2011,-0.4652,17.67,-13.65,25.52,1.25,14.83,9.9999,0,ND,2,PGC9359
022101-205913,35.2575,-20.9872,20.85,-10.22,27.88,0.78,10.19,9.9999,0,ND,2,PGC9057
022114-005312,35.3089,-0.8868,17.07,-14.24,22.38,0.38,4.59,0.0043,1,ND,2,PGC9359
022115-053221,35.3156,-5.5392,20.22,-12.47,25.85,0.85,5.34,9.9999,1,ND,3,PGC8974
022118-004755,35.329,-0.7987,17.66,-13.65,23.34,0.45,5.45,0.0047,1,BC,2,PGC9359
022122-052523,35.3434,-5.4233,20.99,-11.69,24.93,0.39,2.44,9.9999,0,ND,3,PGC8974
022123-052132,35.3498,-5.3589,21.16,-11.53,24.76,0.33,2.1,9.9999,0,ND,3,PGC8974
022124-054358,35.3538,-5.7329,19.14,-13.54,24.39,0.71,4.47,9.9999,0,ND,3,PGC8974
022152-052309,35.4705,-5.386,18.73,-13.95,23.57,0.59,3.71,9.9999,1,ND,3,PGC8974
022202-210441,35.5125,-21.0781,21.23,-9.84,25.78,0.24,3.24,9.9999,0,ND,2,PGC9057
022322-210519,35.843,-21.0887,18.33,-12.75,24.73,0.58,7.61,9.9999,0,ND,2,PGC9057
022324-211303,35.8521,-21.2175,20.22,-10.85,24.86,0.25,3.38,9.9999,1,ND,2,PGC9057
022359-211210,35.9971,-21.203,20.94,-10.13,25.32,0.22,2.99,9.9999,0,ND,2,PGC9057
022403-212352,36.0147,-21.398,17.54,-13.54,24.97,0.93,12.23,9.9999,0,ND,2,PGC9057
022423-031059,36.0962,-3.1833,17.95,-14.9,24.71,1.55,8.98,9.9999,0,UD,3,PGC9485
022446-005542,36.1927,-0.9284,19.31,-12.0,24.8,0.42,5.01,9.9999,0,ND,2,PGC9359
022506-015228,36.2791,-1.8745,19.71,-11.61,26.0,0.6,7.22,9.9999,0,ND,2,PGC9359
022510-005819,36.2918,-0.972,19.38,-11.94,25.09,0.46,5.53,9.9999,1,ND,2,PGC9359
022549-243103,36.4547,-24.5177,19.75,-11.9,23.88,0.26,2.68,9.9999,1,ND,3,PGC9273
022611-003903,36.5495,-0.651,17.96,-13.36,23.65,0.46,5.5,9.9999,1,ND,2,PGC9359
022614-241849,36.5595,-24.3138,20.9,-10.75,25.5,0.33,3.32,9.9999,0,ND,3,PGC9273
022628+010937,36.618,1.1604,14.36,-16.96,21.34,0.83,9.92,0.0054,1,BC,2,PGC9359
022657-015518,36.7383,-1.9219,19.82,-11.5,25.12,0.38,4.58,9.9999,1,ND,2,PGC9359
022721-005208,36.8381,-0.8691,19.93,-11.39,26.79,0.79,9.41,9.9999,1,ND,2,PGC9359
022725-010334,36.855,-1.0596,15.65,-15.67,22.75,0.88,10.49,0.0061,1,ND,2,PGC9359
022732-011349,36.8869,-1.2303,19.06,-12.26,24.51,0.41,4.92,9.9999,2,ND,2,PGC9359
022750-015232,36.9607,-1.8757,17.31,-14.0,23.23,0.51,6.09,9.9999,1,ND,2,PGC9359
022801+253131,37.0065,25.5255,16.77,-15.95,23.44,1.22,8.62,9.9999,0,ND,3,PGC9510
022827-013831,37.1145,-1.6422,19.16,-12.16,25.19,0.54,6.43,9.9999,1,ND,2,PGC9359
022846-011211,37.1947,-1.2033,18.98,-12.33,25.17,0.58,6.9,9.9999,1,ND,2,PGC9359
022848-004215,37.2031,-0.7044,18.75,-12.56,24.62,0.5,5.95,9.9999,1,ND,2,PGC9359
022849-011816,37.2053,-1.3045,19.51,-11.81,26.62,0.88,10.55,9.9999,0,ND,2,PGC9359
022910-103317,37.2924,-10.5549,18.32,-14.16,23.59,0.65,4.51,9.9999,2,ND,3,PGC9272
022918+252551,37.3252,25.431,19.47,-13.24,24.9,0.68,4.86,9.9999,0,ND,3,PGC9510
022926-014030,37.3621,-1.675,18.22,-13.1,23.41,0.36,4.37,9.9999,0,ND,2,PGC9359
022951-011006,37.4632,-1.1683,18.69,-12.62,25.1,0.64,7.61,9.9999,1,ND,2,PGC9359
023003-030620,37.5161,-3.1056,19.04,-13.81,25.06,1.1,6.39,9.9999,0,ND,3,PGC9485
023058-032058,37.7432,-3.3495,17.05,-15.8,22.08,0.7,4.05,9.9999,1,ND,3,PGC9485
023203-011126,38.0135,-1.1908,19.03,-12.29,24.69,0.45,5.4,9.9999,0,ND,2,PGC9359
023331-004439,38.383,-0.7443,16.29,-15.03,23.6,0.97,11.57,0.0052,2,MD,2,PGC9359
023416-085942,38.5704,-8.995,19.12,-11.93,25.37,0.53,7.12,9.9999,0,ND,2,PGC9843
023525-092759,38.8566,-9.4664,20.51,-10.54,26.42,0.45,6.08,9.9999,2,ND,2,PGC9843
023549-092813,38.9544,-9.4703,18.93,-12.12,23.98,0.3,4.08,9.9999,0,ND,2,PGC9843
023714+015250,39.3118,1.8806,19.24,-13.84,24.45,0.83,4.41,9.9999,0,ND,2,PGC10060
023759-012040,39.4967,-1.3445,19.41,-10.72,24.6,0.21,4.36,9.9999,2,ND,2,PGC10266
023807-200846,39.532,-20.1463,18.83,-12.86,23.62,0.36,3.62,9.9999,0,ND,3,PGC9987
023822-011927,39.5917,-1.3243,18.79,-11.34,25.06,0.35,7.17,9.9999,0,ND,2,PGC10266
023829-075532,39.6239,-7.9257,19.82,-11.69,26.31,0.74,7.92,9.9999,0,ND,2,PGC10175
023835-003800,39.6481,-0.6335,20.06,-10.07,25.73,0.26,5.45,9.9999,0,ND,2,PGC10266
023848-080257,39.7022,-8.0494,17.59,-13.93,23.65,0.61,6.52,0.0057,1,ND,2,PGC10175
023905-272823,39.7746,-27.4731,20.77,-10.73,25.23,0.29,3.12,9.9999,0,ND,3,PGC10041
023912-080826,39.8026,-8.1407,19.26,-12.26,26.16,0.89,9.54,9.9999,0,ND,2,PGC10175
023915-080658,39.8132,-8.1162,17.1,-14.42,24.92,1.37,14.67,9.9999,1,ND,2,PGC10175
023918-073213,39.8269,-7.537,19.23,-12.29,25.66,0.72,7.71,9.9999,0,ND,2,PGC10175
