host,ID,ra,dec,re,tile,x,y,bands,n_bands,cutout
NGC628,dw0139p1433,24.9611,14.5563,,"(48, 209)",1783.3183115107058,6092.245902424662,['u'],1,0
NGC628,dw0140p1556,25.0395,15.9394,,"(48, 212)",3652.515734326388,3825.867881459294,['u'],1,0
NGC628,UGC1176,25.043,15.9054,,"(48, 212)",3587.0566590684552,3167.004549889572,['u'],1,0
NGC628,dw0143p1541,25.9012,15.6937,,"(50, 211)",5790.209137814729,8753.798576177534,['u'],1,0
NGC628,dw0141p1651,25.4173,16.8721,,"(49, 214)",8748.817115703432,2523.345819919906,['u'],1,0
NGC891,dw0221p4221,35.301,42.364,,,,,,0,0
NGC891,UGC1807,35.3058,42.7629,,,,,,0,0
NGC891,dw0222p4242,35.7298,42.7123,,,,,,0,0
NGC891,dw0223p4314,35.8921,43.2395,,,,,,0,0
NGC891,dw0224p4158,36.0968,41.9747,,,,,,0,0
NGC891,dw0225p4153,36.3192,41.8915,,,,,,0,0
NGC891,dw0226p4206,36.669,42.1111,,,,,,0,0
NGC1023,dw0235p3850,38.976,38.8362,,,,,,0,0
NGC1023,IC239,39.1162,38.969,,,,,,0,0
NGC1023,dw0237p3855,39.3276,38.9331,,,,,,0,0
NGC1023,dw0237p3836,39.4144,38.6003,,,,,,0,0
NGC1023,dw0239p3903,39.8432,39.0554,,,,,,0,0
NGC1023,UGC2157,40.1044,38.563,,,,,,0,0
NGC1023,dw0240p3903,40.1544,39.0593,,,,,,0,0
NGC1023,dw0240p3922,40.1649,39.3792,,,,,,0,0
NGC1023,dw0241p3904,40.2512,39.0727,,,,,,0,0
NGC1023,UGC2165,40.3145,38.7441,,,,,,0,0
NGC1023,dw0238p3805,39.6703,38.0849,,,,,,0,0
NGC1023,dw0241p3829,40.4758,38.4983,,,,,,0,0
NGC1023,dw0243p3915,40.979,39.2557,,,,,,0,0
NGC1291,dw0309m4104,47.3549,-41.0826,,,,,,0,0
NGC1291,dw0309m4101,47.4093,-41.0312,,,,,,0,0
NGC1291,dw0310m4000,47.5432,-40.0035,,,,,,0,0
NGC1291,dw0315m4040,48.7908,-40.6674,,,,,,0,0
NGC1291,dw0317m4142,49.256,-41.7001,,,,,,0,0
NGC1291,dw0317m4058,49.3725,-40.9728,,,,,,0,0
NGC1291,dw0317m4141,49.4083,-41.6962,,,,,,0,0
NGC1291,dw0318m4101,49.6796,-41.024,,,,,,0,0
NGC1291,dw0318m4211,49.6961,-42.1993,,,,,,0,0
NGC1291,dw0319m4126,49.9305,-41.448,,,,,,0,0
NGC1291,dw0320m4048,50.1412,-40.8048,,,,,,0,0
NGC1291,dw0321m4159,50.3521,-41.9982,,,,,,0,0
NGC1291,dw0323m4040,50.8173,-40.6777,,,,,,0,0
NGC1291,dw0325m4113,51.4098,-41.2304,,,,,,0,0
NGC1291,dw0312m3955,48.038,-39.9179,,,,,,0,0
NGC1291,dw0315m4112,48.9422,-41.2017,,,,,,0,0
NGC1291,dw0316m4207,49.1818,-42.1284,,,,,,0,0
NGC1291,dw0321m4149,50.4853,-41.8184,,,,,,0,0
NGC1808,NGC1792,76.3077,-37.979,,,,,,0,0
NGC1808,dw0506m3739,76.6002,-37.6499,,,,,,0,0
NGC1808,dw0507m3629,76.7765,-36.4834,,,,,,0,0
NGC1808,dw0507m3739,76.853,-37.6518,,,,,,0,0
NGC1808,dw0507m3744,76.9674,-37.7385,,,,,,0,0
NGC1808,dw0507m3800,76.9808,-38.0125,,,,,,0,0
NGC1808,dw0508m3818,77.0318,-38.3098,,,,,,0,0
NGC1808,dw0508m3617,77.1269,-36.2869,,,,,,0,0
NGC1808,dw0508m3808,77.1369,-38.1405,,,,,,0,0
NGC1808,NGC1827,77.5208,-36.9611,,,,,,0,0
NGC1808,dw0502m3845,75.6394,-38.7649,,,,,,0,0
NGC1808,dw0506m3800,76.5346,-38.0103,,,,,,0,0
NGC1808,dw0507m3733,76.8724,-37.5541,,,,,,0,0
NGC1808,dw0510m3717,77.7102,-37.2859,,,,,,0,0
NGC2683,dw0848p3226,132.166,32.4442,,"(223, 245)",5626.836453015493,3918.7659642618855,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0852p3347,133.2006,33.799,,"(221, 248)",6392.719577381558,1105.3970258492895,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0853p3318,133.3617,33.3052,,"(222, 247)",951.7228008414213,1229.812038712269,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0855p3336,133.7936,33.6155,,"(223, 247)",3672.6449235271702,7238.800781519525,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0855p3333,133.8454,33.5572,,"(223, 247)",2835.221376953548,6109.876899040948,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0856p3155,134.108,31.9172,,"(227, 244)",538.1330983108692,3401.004626897446,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0846p3300,131.5588,32.9974,,"(221, 246)",8207.445739244815,4952.62291125842,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0846p3348,131.6301,33.8106,,"(218, 248)",2547.004066293618,1331.4255709765685,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0852p3249,133.1987,32.8288,,"(223, 246)",925.8193049934307,1687.1340056423392,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0854p3314,133.5854,33.2493,,"(224, 246)",4340.208044768984,9831.334662123943,"['u', 'g', 'r', 'i']",4,0
NGC2903,dw0929p2213,142.4777,22.2181,,,,,,0,0
NGC2903,dw0930p1959,142.554,19.9913,,,,,,0,0
NGC2903,dw0930p2143,142.6666,21.724,,,,,,0,0
NGC2903,dw0932p1952,143.0991,19.8754,,,,,,0,0
NGC2903,UGC5086,143.2034,21.4656,,,,,,0,0
NGC2903,dw0933p2030,143.3069,20.5152,,,,,,0,0
NGC2903,dw0936p2135,144.0891,21.5993,,,,,,0,0
M81,M82,148.9683,69.6797,,"(104, 319)",1737.1137126657136,8495.357815611376,"['g', 'r', 'i', 'z']",4,0
M81,NGC3077,150.8296,68.7339,,"(111, 317)",9233.84250361587,9553.505312581721,"['g', 'r', 'i', 'z']",4,0
M81,NGC2976,146.8146,67.9164,,"(110, 316)",5044.398648969521,3379.9196723956516,"['g', 'i', 'z']",3,0
M81,IC2574,157.1413,68.4328,,"(115, 317)",3202.515931865857,3701.413984527755,"['g', 'r', 'i', 'z']",4,0
M81,ddo82,157.6524,70.6183,,"(105, 321)",2583.0472573040115,7300.012313683553,"['u', 'g', 'r', 'i', 'z']",5,0
M81,kdg61,149.2612,68.5917,,"(109, 317)",1054.8219904206753,6794.929787545275,"['g', 'r', 'i', 'z']",4,0
M81,BK5N,151.1679,68.2556,,"(111, 317)",6895.786156973041,267.81035434932073,"['g', 'r', 'i', 'z']",4,0
M81,IKN,152.0246,68.3992,,"(111, 317)",772.0885449601101,3066.9287123101894,"['g', 'r', 'i', 'z']",4,0
M81,FM1,146.2917,68.765,,"(105, 318)",6444.338941053611,448.3355595400253,"['g', 'r', 'i', 'z']",4,0
M81,kdg64,151.7579,67.8275,,"(114, 316)",7938.0593345526495,1666.6571447083738,"['g', 'i', 'z']",3,0
M81,f8d1,146.1962,67.4386,,"(112, 315)",6032.3915770061185,3811.2863988713025,"['g', 'i', 'z']",3,0
M81,d1014p68,153.7325,68.7575,,"(110, 318)",3181.791570393408,304.4028978292017,"['g', 'r', 'i', 'z']",4,0
M81,KK77,147.5417,67.5067,,"(113, 315)",5740.761309316326,5130.435808180733,"['g', 'i', 'z']",3,0
M81,kdg63,151.2804,66.555,,"(121, 313)",8424.05912321145,6078.017602340609,"['g', 'r', 'i', 'z']",4,0
M81,d0958p66,149.7021,66.8497,,"(117, 314)",5131.217248651439,2087.35320775782,"['g', 'i', 'z']",3,0
M81,ddo78,156.6163,67.6567,,"(120, 315)",6261.647587537516,8038.435150221304,"['g', 'r', 'i', 'z']",4,0
M81,d1028p70,157.1654,70.2336,,"(108, 320)",9718.865831440824,9554.855598921982,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d0955p70,148.8067,70.4081,,"(99, 321)",1638.179707010992,3233.371001090589,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d1041p70,160.32,70.1508,,"(110, 320)",8219.219803378197,7935.282316694994,"['u', 'g', 'r', 'i', 'z']",5,0
M81,HS117,155.355,71.1161,,"(101, 322)",3484.9974633405945,7252.92238283376,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d0944p71,146.1433,71.4825,,"(93, 323)",7483.7350763603745,4669.16226067806,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d0926p70,141.6163,70.5067,,"(95, 321)",9407.337984415444,5154.550277650007,"['r', 'i', 'z']",3,0
M81,HO1,145.1346,71.1864,,"(95, 322)",9775.76011386302,8642.399287250004,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d0934p70,143.5154,70.2158,,"(98, 320)",3366.8131202742516,9185.33929982883,"['g', 'r', 'i', 'z']",4,0
NGC3115,dw1000m0741,150.0039,-7.6875,,,,,,0,0
NGC3115,dw1000m0821,150.0436,-8.3574,,,,,,0,0
NGC3115,dw1000m0831,150.2289,-8.5305,,,,,,0,0
NGC3115,dw1001m0631,150.3901,-6.5249,,,,,,0,0
NGC3115,dw1001m0814,150.4092,-8.2487,,,,,,0,0
NGC3115,dw1002m0818,150.5043,-8.31,,,,,,0,0
NGC3115,dw1002m0642,150.657,-6.7083,,,,,,0,0
NGC3115,dw1004m0737,150.9948,-7.6409,,,,,,0,0
NGC3115,dw1004m0657,151.1572,-6.9585,,,,,,0,0
NGC3115,dw1005m0744,151.3961,-7.7498,,,,,,0,0
NGC3115,dw1005m0758,151.4233,-7.9817,,,,,,0,0
NGC3115,dw1006m0730,151.5528,-7.5001,,,,,,0,0
NGC3115,dw1006m0732,151.6109,-7.549,,,,,,0,0
NGC3115,dw1006m0730-n2,151.6404,-7.5096,,,,,,0,0
NGC3115,dw1007m0835,151.8142,-8.5859,,,,,,0,0
NGC3115,dw1007m0715,151.8343,-7.2632,,,,,,0,0
NGC3115,dw1007m0830,151.9464,-8.5042,,,,,,0,0
NGC3115,dw1006m0630,151.5634,-6.5057,,,,,,0,0
NGC3115,dw1006m0827,151.6488,-8.4648,,,,,,0,0
NGC3344,dw1042p2415,160.5916,24.2505,,"(292, 229)",2434.2471797714943,166.25341782883243,['u'],1,0
NGC3344,dw1042p2501,160.6815,25.025,,"(291, 230)",2541.4093058987105,5485.7448612809585,['u'],1,0
NGC3344,dw1045p2427,161.3793,24.4657,,"(294, 229)",7928.715894886123,4337.058925390978,['u'],1,0
NGC3344,dw1038p2501,159.5427,25.0283,,"(289, 230)",3163.462987197646,5549.133884151922,['u'],1,0
NGC3344,dw1044p2559,161.1198,25.9934,,"(290, 232)",8614.06193942223,4874.966725223102,['u'],1,0
NGC3344,dw1044p2610,161.1213,26.1782,,"(290, 232)",8582.289713178641,8456.183256958862,['u'],1,0
NGC3344,dw1045p2606,161.2758,26.1048,,"(290, 232)",5895.88711846906,7031.094761186083,['u'],1,0
NGC3379,dw1039p1238,159.929,12.6348,,,,,,0,0
NGC3379,UGC5812,160.2355,12.4728,,,,,,0,0
NGC3379,dw1042p1220,160.5015,12.3351,,,,,,0,0
NGC3379,dw1042p1208,160.6431,12.1509,,,,,,0,0
NGC3379,dw1042p1359,160.6886,13.9905,,,,,,0,0
NGC3379,dw1043p1410,160.7948,14.1799,,,,,,0,0
NGC3379,dw1043p1415,160.9572,14.2554,,,,,,0,0
NGC3379,M95,160.9904,11.7037,,,,,,0,0
NGC3379,dw1044p1359,161.1075,13.9988,,,,,,0,0
NGC3379,dw1044p1356,161.1471,13.9396,,,,,,0,0
NGC3379,dw1044p1351,161.1588,13.8591,,,,,,0,0
NGC3379,dw1044p1351b,161.1602,13.8557,,,,,,0,0
NGC3379,dw1044p1154,161.2394,11.9162,,,,,,0,0
NGC3379,M96,161.6907,11.8199,,,,,,0,0
NGC3379,NGC3377,161.9264,13.9858,,,,,,0,0
NGC3379,NGC3384,162.0705,12.6292,,,,,,0,0
NGC3379,dw1048p1154,162.1039,11.9123,,,,,,0,0
NGC3379,dw1048p1259,162.2174,12.9954,,,,,,0,0
NGC3379,dw1048p1407,162.224,14.1245,,,,,,0,0
NGC3379,UGC5944,162.5791,13.2719,,,,,,0,0
NGC3379,dw1050p1236,162.6486,12.6093,,,,,,0,0
NGC3379,NGC3412,162.722,13.4121,,,,,,0,0
NGC3379,dw1051p1320,162.7563,13.3336,,,,,,0,0
NGC3379,dw1051p1250,162.8378,12.849,,,,,,0,0
NGC3379,dw1051p1406,162.8807,14.1149,,,,,,0,0
NGC3379,dw1052p1102,163.0812,11.0433,,,,,,0,0
NGC3379,dw1040p1216,160.1211,12.2728,,,,,,0,0
NGC3379,dw1043p1253,160.9016,12.8988,,,,,,0,0
NGC3379,dw1043p1207,160.9792,12.1333,,,,,,0,0
NGC3379,dw1044p1132,161.0306,11.5344,,,,,,0,0
NGC3379,dw1045p1315,161.2789,13.2652,,,,,,0,0
NGC3379,dw1046p1342,161.6272,13.7011,,,,,,0,0
NGC3379,dw1046p1118,161.7075,11.3037,,,,,,0,0
NGC3379,dw1047p1117,161.7845,11.2853,,,,,,0,0
NGC3379,dw1047p1145,161.949,11.7622,,,,,,0,0
NGC3379,dw1048p1121,162.096,11.3523,,,,,,0,0
NGC3379,dw1049p1121,162.4042,11.3512,,,,,,0,0
NGC3379,dw1049p1057,162.4172,10.9555,,,,,,0,0
NGC3379,dw1051p1101,162.7661,11.02,,,,,,0,0
NGC3379,dw1054p1217,163.7206,12.2967,,,,,,0,0
NGC3521,dw1104p0004,166.1606,0.0815,,,,,,0,0
NGC3521,dw1104p0003,166.1676,0.0581,,,,,,0,0
NGC3521,dw1104p0005,166.1711,0.0936,,,,,,0,0
NGC3521,dw1105p0006,166.4217,0.1163,,,,,,0,0
NGC3521,dw1106m0126,166.5313,-1.4476,,,,,,0,0
NGC3521,dw1106m0052,166.6084,-0.8797,,,,,,0,0
NGC3521,dw1107m0038,166.776,-0.6338,,,,,,0,0
NGC3521,dw110m0011,166.8051,-0.1869,,,,,,0,0
NGC3521,dw1109m0016,167.3283,-0.2771,,,,,,0,0
NGC3521,dw1110p0037,167.6231,0.6169,,,,,,0,0
NGC3521,dw1111p0049,167.8493,0.8315,,,,,,0,0
NGC3521,dw1104p0033,166.2068,0.5506,,,,,,0,0
NGC3556,dw1119p5543,169.9523,55.7224,,"(193, 291)",9585.32000438892,9323.794405179764,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1104p5534,166.1661,55.5745,,"(188, 291)",2726.9819064008057,6447.128292246452,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1108p5520,167.2484,55.3412,,"(189, 291)",514.4192227910917,1935.717951871683,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1109p5447,167.305,54.7856,,"(192, 290)",5736.328805072004,845.4767117349757,"['u', 'g', 'r', 'i', 'z']",5,0
NGC3556,dw1110p5429,167.6471,54.4973,,"(195, 289)",7845.669427123896,4952.788612796354,"['u', 'g', 'r', 'i', 'z']",5,0
NGC3556,dw1111p5631,167.9472,56.532,,"(185, 293)",1199.6779615200967,5629.964827512274,"['g', 'i', 'z']",3,0
NGC3556,dw1111p5547,167.9859,55.7993,,"(188, 292)",6236.503565548839,1111.6391557200163,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1113p5529,168.2805,55.4926,,"(191, 291)",8583.363242646092,4865.006622303216,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1113p5541,168.293,55.6886,,"(191, 291)",8428.983398942764,8662.64431126866,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1113p5644,168.3996,56.7355,,"(186, 293)",6040.590416996627,9564.514978432318,"['g', 'i', 'z']",3,0
NGC3556,dw1116p5551,169.0317,55.8617,,"(189, 292)",4585.223849602669,2319.998375342291,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1116p5537,169.1718,55.6168,,"(192, 291)",8478.588348156884,7271.429301522314,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1122p5515,170.7418,55.262,,"(193, 291)",921.0207608092119,398.5852031071927,"['u', 'g', 'i', 'z']",4,0
NGC3556,dw1123p5602,170.832,56.0487,,"(191, 292)",4457.258236938615,5943.952780702253,"['u', 'g', 'i', 'z']",4,0
NGC3627,NGC3593,168.6539,12.8178,,,,,,0,0
NGC3627,dw1114p1238,168.6877,12.6477,,,,,,0,0
NGC3627,dw1117p1305,169.2544,13.0993,,,,,,0,0
NGC3627,dw1118p1233,169.6759,12.5614,,,,,,0,0
NGC3627,dw1118p1348,169.7234,13.8054,,,,,,0,0
NGC3627,NGC3623,169.733,13.0924,,,,,,0,0
NGC3627,dw1119p1419,169.8029,14.3272,,,,,,0,0
NGC3627,dw1119p1157,169.8098,11.9524,,,,,,0,0
NGC3627,dw1119p1417,169.8161,14.2901,,,,,,0,0
NGC3627,dw1119p1404,169.8397,14.0755,,,,,,0,0
NGC3627,dw1120p1332,170.0666,13.5488,,,,,,0,0
NGC3627,NGC3628,170.0707,13.5897,,,,,,0,0
NGC3627,dw1120p1337,170.2549,13.6072,,,,,,0,0
NGC3627,dw1121p1326,170.4037,13.4471,,,,,,0,0
NGC3627,dw1122p1258,170.6002,12.9795,,,,,,0,0
NGC3627,IC2782,170.7307,13.4413,,,,,,0,0
NGC3627,dw1123p1342,170.806,13.7141,,,,,,0,0
NGC3627,IC2787,170.8296,13.6298,,,,,,0,0
NGC3627,IC2791,170.9066,12.896,,,,,,0,0
NGC3627,dw1124p1240,171.1445,12.6743,,,,,,0,0
NGC3627,dw1114p1307,168.7127,13.1316,,,,,,0,0
NGC3627,dw1116p1356,169.0325,13.9412,,,,,,0,0
NGC3627,dw1116p1324,169.0973,13.4101,,,,,,0,0
NGC3627,dw1117p1250,169.4349,12.8369,,,,,,0,0
NGC3627,dw1118p1330,169.5661,13.5139,,,,,,0,0
NGC3627,dw1119p1210,169.8996,12.177,,,,,,0,0
NGC3627,dw1120p1223,170.2214,12.3918,,,,,,0,0
NGC3627,dw1121p1129,170.2651,11.487,,,,,,0,0
NGC3627,dw1121p1411,170.372,14.1967,,,,,,0,0
NGC3627,dw1123p1346,170.9852,13.7781,,,,,,0,0
NGC3627,dw1125p1316,171.4794,13.269,,,,,,0,0
NGC3627,dw1126p1246,171.5894,12.7713,,,,,,0,0
NGC4258,NGC4248,184.4591,47.4092,,"(249, 275)",2694.5403289440032,3242.9923643739785,"['u', 'g', 'r', 'i']",4,0
NGC4258,LVJ1218+4655,184.5465,46.9172,,"(252, 274)",7709.297090632772,3398.955091804626,"['u', 'g', 'r', 'i']",4,0
NGC4258,dw1219p4743,184.7757,47.7302,,"(250, 275)",8228.785564730924,9466.226175444732,"['u', 'g', 'r', 'i']",4,0
NGC4258,UGC7356,184.7875,47.0899,,"(252, 274)",4520.752814315662,6742.281528729176,"['u', 'g', 'r', 'i']",4,0
NGC4258,dw1220p4729,185.1256,47.4906,,"(250, 275)",3661.7873287446746,4818.7175145441915,"['u', 'g', 'r', 'i']",4,0
NGC4258,dw1220p4649,185.2286,46.8302,,"(253, 274)",8390.408661855228,1714.960375295726,"['u', 'g', 'r', 'i']",4,0
NGC4258,dw1223p4739,185.9424,47.6589,,"(251, 275)",2664.856432746865,8082.0199268779215,"['u', 'g', 'r', 'i']",4,0
NGC4258,dw1223p4644,185.9542,46.7495,,"(256, 273)",4953.232472384915,9835.083053366674,"['u', 'g', 'r', 'i']",4,0
NGC4517,dw1227p0136,186.9438,1.5998,,"(374, 183)",7330.430118097636,6934.090837506623,['u'],1,0
NGC4517,dw1231p0140,187.766,1.6758,,,,,,0,0
NGC4517,dw1232p0015,188.1505,0.2625,,"(376, 181)",2222.1943510717474,397.48567864859433,['u'],1,0
NGC4517,dw1236m0025,189.1755,-0.4305,,,,,,0,0
NGC4517,dw1238p0028,189.5586,0.4771,,"(379, 181)",4004.2626774233013,4556.225425455842,['u'],1,0
NGC4517,dw1238m0035,189.7051,-0.5978,,,,,,0,0
NGC4517,dw1238m0105,189.7086,-1.0868,,,,,,0,0
NGC4517,dw1239m0039,189.7608,-0.6644,,,,,,0,0
NGC4517,NGC4592,189.8273,-0.5318,,,,,,0,0
NGC4565,dw1234p2531,188.6007,25.5221,,"(340, 231)",578.1948718918156,5432.478916378012,['u'],1,0
NGC4565,NGC4562,188.8948,25.8503,,"(340, 232)",9316.913816311633,2103.0284466868184,['u'],1,0
NGC4565,IC3571,189.0835,26.0843,,"(340, 232)",6023.945986788075,6633.878957833908,['u'],1,0
NGC4565,dw1237p2602,189.2549,26.036,,"(340, 232)",3039.886818440542,5698.487972322373,['u'],1,0
NGC4565,dw1234p2618,188.7398,26.3141,,"(338, 233)",6752.123200279945,1398.121672600952,['u'],1,0
NGC4565,dw1235p2616,188.843,26.2706,,"(338, 233)",4959.423949481765,554.4423373039526,['u'],1,0
NGC4565,dw1236p2634,189.2441,26.5786,,"(339, 233)",7690.912101613072,6524.818833705226,['u'],1,0
NGC4565,dw1237p2605,189.3618,26.0855,,"(340, 232)",1180.104859375435,6660.1195702371115,['u'],1,0
NGC4565,dw1237p2637,189.4283,26.6243,,"(339, 233)",4498.729724506978,7408.865689766784,['u'],1,0
M104,dw1237m1125,189.2985,-11.4332,,,,,,0,0
M104,dw1239m1159,189.7877,-11.9867,,,,,,0,0
M104,dw1239m1143,189.8136,-11.7189,,,,,,0,0
M104,dw1239m1113,189.8866,-11.2268,,,,,,0,0
M104,dw1239m1120,189.9645,-11.3413,,,,,,0,0
M104,dw1239m1144,189.9787,-11.746,,,,,,0,0
M104,dw1240m1118,190.0392,-11.3139,,,,,,0,0
M104,dw1240m1140,190.0733,-11.6793,,,,,,0,0
M104,dw1241m1131,190.2617,-11.5288,,,,,,0,0
M104,dw1241m1153,190.3002,-11.8916,,,,,,0,0
M104,dw1241m1155,190.3281,-11.9254,,,,,,0,0
M104,dw1238m1122,189.6402,-11.3681,,,,,,0,0
M104,dw1238m1102,189.7429,-11.036,,,,,,0,0
M104,dw1242m1116,190.6825,-11.2739,,,,,,0,0
M104,dw1242m1129,190.7067,-11.4893,,,,,,0,0
NGC4631,dw1236p3336,189.2059,33.6131,,"(316, 247)",9332.960188383087,7197.383550877236,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1239p3230,189.7713,32.5046,,"(320, 245)",4002.207037097853,5089.428901450015,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1239p3251,189.8317,32.8608,,"(318, 246)",996.5816085614056,2307.1050586085685,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1240p3216,190.2209,32.2822,,"(321, 245)",6346.605944271732,779.7572390804908,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1240p3247,190.2437,32.7904,,"(319, 246)",3993.9415004861403,938.444715525115,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1241p3251,190.4464,32.8577,,"(319, 246)",694.9816308477339,2247.7581730684806,"['u', 'g', 'r', 'i']",4,0
NGC4631,NGC4627,190.4987,32.574,,"(321, 245)",1805.5979850721787,6436.979866610351,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1242p3237,190.5255,32.6219,,"(321, 245)",1369.870532531119,7366.097500059705,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1242p3158,190.6308,31.9692,,"(323, 244)",1819.0886844282622,4405.971594520581,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1243p3228,190.8534,32.4821,,"(322, 245)",5695.359456718035,4653.255157587905,"['u', 'g', 'r', 'i']",4,0
NGC4631,NGC4656,190.9905,32.1681,,"(324, 244)",5597.133679299974,8257.714136328319,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1248p3158,192.2187,31.9702,,"(326, 244)",4792.527669304649,4422.518927778115,"['u', 'g', 'r', 'i']",4,0
NGC4631,dw1247p3313,191.9083,33.2331,,"(322, 246)",6008.079270871308,9517.561199062937,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1231p4205,187.7873,42.0942,,"(279, 264)",3971.333633875826,6825.930492025885,"['u', 'g', 'r', 'i']",4,0
NGC4736,IC3687,190.5626,38.5034,,"(298, 257)",2367.582638692621,5068.37094769149,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1243p4127,190.9798,41.4575,,"(286, 263)",4313.267499064288,4176.581499414027,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1243p4339,190.9898,43.6618,,"(277, 267)",4244.196180810437,8135.770156467741,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1249p4421,192.3797,44.3595,,"(274, 269)",825.270558158214,2284.924866646988,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1251p4138,192.7698,41.6353,,"(289, 263)",7397.11271773933,7624.278875687378,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1255p4035,193.7615,40.5902,,"(295, 261)",8146.778337955451,6751.8045732289775,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1234p3952,188.5929,39.8785,,"(289, 260)",5571.8608161877455,2645.575418625141,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1241p4103,190.254,41.053,,"(287, 262)",3324.747740251208,6028.186025079459,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1242p4115,190.5471,41.2525,,"(288, 262)",8711.885171086069,9898.661677732987,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1303p4222,195.8097,42.3733,,"(289, 265)",7600.994542696199,2547.4604951272026,"['u', 'g', 'r', 'i']",4,0
NGC4736,dw1305p4206,196.499,42.1062,,"(292, 264)",4473.480484439464,7058.161126487735,"['u', 'g', 'r', 'i']",4,0
