ID,HostETG,Dist,f_Dist,Distl,r_Distl,RAdeg,DEdeg,gmag,g-i,g-r,n,n_n,Re,b/a,PA,mu0g,<mueg>,Morph,field1,field2,field3,host_ra,host_dec,host_Vhel,host_D,host_Mk,host_Ab,host_logRe,iso_clean,main_field,r_fov_arcsec
MATLAS-557,NGC2974,20.9,1,0.0, ,145.5466,-3.7082,21.83,0.0,0.48,0.58, ,3.22,0.75,62.66,24.83,25.61,dE  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-558,NGC2974,20.9,1,0.0, ,145.5932,-4.1309,20.01,0.0,0.51,0.8, ,3.42,0.71,71.24,23.14,23.93,dE  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-559,NGC2950,14.5,1,0.0, ,145.6676,58.9131,20.18,0.8,0.49,0.73, ,3.88,0.92,-25.49,23.58,24.36,dE  ,NGC2950,,,145.646317,58.851219,1322.0,14.5,-22.93,0.07,1.19,1.0,NGC2950,1875.84454126073
MATLAS-560,NGC2974,20.9,1,0.0, ,145.696,-3.6624,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-561,NGC2962,34.0,1,27.93,c,145.712,4.8897,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC2962,,,145.224609,5.16582,1967.0,34.0,-24.01,0.25,1.39,0.0,NGC2962,1875.8119799777717
MATLAS-562,NGC2974,20.9,1,0.0, ,145.7694,-3.7309,20.93,0.0,0.48,0.91, ,6.09,0.84,87.9,25.31,26.09,dE  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-563,NGC2974,20.9,1,0.0, ,145.8124,-3.7145,21.06,0.0,0.46,0.88, ,4.39,0.59,36.97,24.73,25.51,dE  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-564,NGC2974,20.9,1,0.0, ,145.8438,-3.1588,21.45,0.0,0.45,0.6, ,3.56,0.63,50.44,25.18,25.96,dE  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-565,NGC2950,14.5,1,19.2,a,145.846,58.5246,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC2950,,,145.646317,58.851219,1322.0,14.5,-22.93,0.07,1.19,1.0,NGC2950,1875.84454126073
MATLAS-566,IC0560,27.2,1,0.0, ,145.973,0.2045,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dIN ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-567,NGC2974,20.9,1,0.0, ,145.9793,-3.1538,19.53,0.0,0.48,0.76, ,4.54,0.71,-53.07,23.28,24.06,dEN ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-568,NGC2950,14.5,1,0.0, ,145.983,58.6887,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC2950,,,145.646317,58.851219,1322.0,14.5,-22.93,0.07,1.19,1.0,NGC2950,1875.84454126073
MATLAS-569,NGC2974,20.9,1,0.0, ,146.017,-3.4501,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0,dI  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-570,IC0560,27.2,1,47.64,a,146.0454,0.1801,17.12,0.0,0.0,1.27, ,3.9,0.59,22.35,20.54,21.32,dEN ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-571,IC0560,27.2,1,0.0, ,146.051,-0.5265,20.2,0.0,0.27,1.05, ,4.45,0.66,-53.6,23.55,24.34,dI  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-572,IC0560,27.2,1,0.0, ,146.0654,0.2154,21.17,0.0,0.8,0.31, ,4.0,0.91,-64.91,24.64,25.42,dEN ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-573,NGC2974,20.9,1,0.0, ,146.0772,-3.8955,19.38,0.0,0.0,1.38, ,4.88,0.81,-87.64,22.93,23.71,dI  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-574,NGC2974,20.9,1,0.0, ,146.115,-3.3048,19.49,0.0,0.74,1.13, ,7.22,0.73,-49.81,24.24,25.02,dE  ,NGC2974,,,145.638611,-3.699116,1887.0,20.9,-23.62,0.23,1.58,1.0,NGC2974,1872.2958465221566
MATLAS-575,IC0560,27.2,1,0.0, ,146.1236,-0.2625,22.5,0.0,0.0,0.03,*,2.55,0.78,-7.99,24.99,25.77,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
MATLAS-576,IC0560,27.2,1,0.0, ,146.191,-0.2418,22.07,0.0,0.47,1.01, ,2.67,0.67,-76.87,24.66,25.45,dE  ,IC0560,,,146.472656,-0.268221,1853.0,27.2,-22.1,0.59,1.11,0.0,IC0560,1869.7300470156708
