host,ID,ra,dec,morph,re,z
NGC5813,MATLAS-1936,225.0535,1.5486,dE  ,4.21,
NGC5813,MATLAS-1937,225.0718,1.9188,dI  ,8.16,
NGC5813,MATLAS-1939,225.1386,1.3804,dE  ,5.24,
NGC5813,MATLAS-1943,225.2283,1.3419,dE  ,3.43,
NGC5813,MATLAS-1946,225.2666,2.0427,dIN ,2.67,
NGC5813,MATLAS-1951,225.321,1.5923,dE  ,3.89,
NGC5813,MATLAS-1953,225.409,1.7572,dI  ,0.0,
NGC5813,MATLAS-1958,225.487,1.2532,dI  ,0.0,
NGC5831,MATLAS-1959,225.5174,1.127,dE  ,7.78,
NGC5813,MATLAS-1960,225.535,2.2903,dI  ,0.0,
NGC5831,MATLAS-1961,225.578,1.3238,dEN ,8.31,
NGC5831,MATLAS-1964,225.6583,0.8137,dE  ,3.36,
NGC5831,MATLAS-1967,225.694,1.4327,dEN ,3.42,
NGC5831,MATLAS-1968,225.7079,1.2742,dE  ,3.58,
NGC5831,MATLAS-1969,225.718,1.4166,dE  ,0.0,
NGC5813,MATLAS-1970,225.7351,1.677,dE  ,6.22,
NGC5831,MATLAS-1971,225.7626,1.0795,dE  ,5.53,
NGC5866,MATLAS-1974,225.7827,55.4832,dE  ,4.52,
NGC5866,MATLAS-1980,225.9495,56.2564,dE  ,3.4,
NGC5831,MATLAS-1981,225.958,0.9771,dI  ,0.0,
NGC5838,MATLAS-1984,226.0015,2.0066,dE  ,12.22,
NGC5838,MATLAS-1986,226.024,1.9501,dE  ,3.99,
NGC5831,MATLAS-1987,226.035,1.5243,dIN ,0.0,
NGC5831,MATLAS-1988,226.0365,0.9636,dE  ,4.15,
NGC5831,MATLAS-1990,226.072,1.3105,dE  ,3.93,
NGC5838,MATLAS-1992,226.0804,1.8849,dEN ,3.66,
NGC5838,MATLAS-1993,226.0842,2.2689,dEN ,3.05,
NGC5831,MATLAS-1995,226.1099,1.5957,dE  ,3.77,
NGC5838,MATLAS-1996,226.109,1.9246,dE  ,14.87,
NGC5838,MATLAS-1997,226.12,2.4122,dE  ,3.07,
NGC5831,MATLAS-1999,226.1388,1.2017,dE  ,5.03,
NGC5831,MATLAS-2003,226.1798,0.9606,dE  ,4.62,
NGC5838,MATLAS-2007,226.2123,2.2131,dEN ,4.8,
NGC5838,MATLAS-2008,226.2224,2.0679,dE  ,5.94,
NGC5831,MATLAS-2010,226.2448,0.873,dEN ,3.73,
NGC5845,MATLAS-2011,226.254,1.6097,dIN ,0.0,
NGC5845,MATLAS-2012,226.2648,1.7719,dEN ,9.14,
NGC5838,MATLAS-2013,226.269,1.9641,dI  ,0.0,
NGC5831,MATLAS-2015,226.304,1.2908,dE  ,0.0,
NGC5845,MATLAS-2016,226.314,1.5621,dEN ,0.0,
NGC5866,MATLAS-2018,226.3326,56.1174,dE  ,7.77,
NGC5845,MATLAS-2020,226.3336,1.3962,dE  ,3.93,
NGC5838,MATLAS-2021,226.34,2.1722,dE  ,17.79,
NGC5831,MATLAS-2024,226.369,1.2922,dI  ,0.0,
NGC5845,MATLAS-2025,226.3777,1.5085,dEN ,3.47,
NGC5838,MATLAS-2028,226.3947,1.9098,dE  ,4.64,
NGC5845,MATLAS-2031,226.4094,1.4406,dE  ,5.52,
NGC5838,MATLAS-2035,226.448,1.9442,dE  ,0.0,
NGC5845,MATLAS-2036,226.4527,1.8044,dE  ,3.78,
NGC5845,MATLAS-2037,226.456,1.4072,dEN ,0.0,
NGC5831,MATLAS-2038,226.4585,0.8594,dE  ,4.69,
NGC5838,MATLAS-2041,226.465,2.1516,dE  ,5.3,
NGC5838,MATLAS-2042,226.465,2.0114,dEN ,3.39,
NGC5866,MATLAS-2043,226.4681,55.5333,dE  ,5.65,
NGC5838,MATLAS-2044,226.472,2.0077,dI  ,0.0,
NGC5845,MATLAS-2047,226.4971,1.5859,dE  ,4.48,
NGC5838,MATLAS-2050,226.5127,2.2616,dE  ,2.92,
NGC5866,MATLAS-2053,226.5253,55.9577,dE  ,6.3,
NGC5845,MATLAS-2056,226.5624,1.8433,dE  ,6.01,
NGC5866,MATLAS-2061,226.5839,56.2992,dE  ,4.41,
NGC5845,MATLAS-2062,226.5977,1.7273,dEN ,4.62,
NGC5838,MATLAS-2066,226.664,2.2857,dI  ,0.0,
NGC5838,MATLAS-2068,226.6656,2.1625,dE  ,3.27,
NGC5838,MATLAS-2072,226.7221,2.1608,dE  ,3.2,
NGC5866,MATLAS-2073,226.727,55.5379,dI  ,0.0,
NGC5845,MATLAS-2075,226.7356,1.7357,dEN ,5.81,
NGC5845,MATLAS-2081,226.7767,1.6393,dE  ,6.53,
NGC5866,MATLAS-2083,226.798,56.005,dI  ,5.7,
NGC5845,MATLAS-2089,226.998,1.6249,dE  ,0.0,
NGC5866,MATLAS-2092,227.019,55.3319,dI  ,0.0,
NGC6010,MATLAS-2094,238.3115,0.7097,dE  ,8.33,
NGC6010,MATLAS-2095,238.384,0.3949,dI  ,0.0,
NGC6010,MATLAS-2096,238.5175,0.6143,dE  ,3.03,
NGC6014,MATLAS-2097,238.661,6.4012,dI  ,0.0,
NGC6010,MATLAS-2098,238.7639,0.4664,dE  ,4.27,
NGC6014,MATLAS-2099,239.01,5.457,dI  ,0.0,
NGC6014,MATLAS-2100,239.011,6.3885,dI  ,0.0,
NGC6014,MATLAS-2101,239.025,5.9546,dE  ,0.0,
NGC6014,MATLAS-2104,239.153,6.1942,dIN ,0.0,
NGC6014,MATLAS-2105,239.503,6.3116,dI  ,0.0,
PGC056772,MATLAS-2106,240.188,6.8583,dI  ,0.0,
PGC056772,MATLAS-2107,240.31,7.101,dI  ,0.0,
PGC056772,MATLAS-2108,240.421,6.9859,dI  ,0.0,
PGC056772,MATLAS-2109,240.452,6.8385,dI  ,0.0,
PGC056772,MATLAS-2110,240.615,7.1055,dI  ,0.0,
PGC056772,MATLAS-2111,240.634,6.9818,dI  ,0.0,
PGC058114,MATLAS-2112,246.362,3.0924,dI  ,0.0,
PGC058114,MATLAS-2113,246.783,3.066,dI  ,0.0,
PGC058114,MATLAS-2114,246.785,3.2922,dE  ,0.0,
NGC6278,MATLAS-2115,254.7279,23.1581,dE  ,2.73,
NGC6278,MATLAS-2116,255.138,22.8661,dI  ,0.0,
NGC6278,MATLAS-2117,255.3575,22.8731,dE  ,3.84,
NGC6278,MATLAS-2118,255.505,23.1632,dI  ,0.0,
NGC6278,MATLAS-2119,255.6,23.4279,dI  ,0.0,
NGC6547,MATLAS-2120,270.7961,25.2896,dE  ,3.42,
NGC6547,MATLAS-2121,271.0585,24.8558,dE  ,2.92,
NGC6548,MATLAS-2122,271.175,18.6965,dI  ,0.0,
NGC6547,MATLAS-2123,271.193,24.852,dI  ,0.0,
NGC6547,MATLAS-2124,271.3416,24.8099,dIN ,5.78,
NGC6547,MATLAS-2125,271.389,25.288,dI  ,0.0,
NGC6548,MATLAS-2126,271.4073,18.5369,dE  ,12.56,
NGC6548,MATLAS-2127,271.4844,18.7628,dE  ,8.69,
NGC6547,MATLAS-2128,271.506,25.5167,dE  ,0.0,
NGC6548,MATLAS-2129,271.592,18.354,dE  ,5.5,
NGC6547,MATLAS-2130,271.622,25.689,dI  ,0.0,
