dw1217p4656    184.497  46.943 NGC4258  7.20 10.63 CFHT     False                      
dw1219p4718    184.864  47.312 NGC4258  7.20 10.11 CFHT     False                      
dw1219p4727    184.888  47.451 NGC4258  7.20 12.69 CFHT     False                      
dw1219p4705-n2 184.900  47.093 NGC4258  7.20 13.08 CFHT     False                      
dw1220p4808    185.073  48.137 NGC4258  7.20 12.69 CFHT     False                      
dw1220p4700    185.167  47.001 NGC4258  7.20 11.50 CFHT     False                      
dw1220p4749    185.204  47.829 NGC4258  7.20 12.67 CFHT     False                      
dw1222p4755    185.729  47.929 NGC4258  7.20 15.36 CFHT     False                      
dw1224p4706    186.048  47.123 NGC4258  7.20  8.46 HSC      False                      
dw1227m0053    186.828  -0.883 NGC4517  8.34 18.21 HSC      False                      
dw1228p0149    187.066   1.829 NGC4517  8.34 13.53 HSC      False                      
dw1229m0100    187.261  -1.000 NGC4517  8.34 13.03 HSC      False                      
dw1229p0006    187.266   0.104 NGC4517  8.34 13.19 HSC      False 1139 S               
dw1229p0144    187.341   1.736 NGC4517  8.34 11.47 HSC      False                      
dw1230m0025    187.538  -0.417 NGC4517  8.34 17.60 HSC      False 2488 S               
dw1230p0052    187.545   0.874 NGC4517  8.34 21.37 HSC      False                      
dw1230p0044    187.668   0.746 NGC4517  8.34 10.77 HSC      False                      
dw1230p0029    187.709   0.499 NGC4517  8.34 12.29 HSC      False                      
dw1230m0059    187.729  -0.997 NGC4517  8.34 13.06 HSC      False                      
dw1231p0203    187.949   2.065 NGC4517  8.34 10.13 HSC      False                      
dw1231m0058    187.977  -0.968 NGC4517  8.34 22.29 HSC      False                      
dw1232p0029    188.064   0.489 NGC4517  8.34 21.07 HSC      False                      
dw1232p0143    188.092   1.729 NGC4517  8.34 10.28 HSC      False                      
dw1232p0022    188.117   0.390 NGC4517  8.34                      1532 S               
dw1232p0142    188.127   1.710 NGC4517  8.34 16.52 HSC      False                      
dw1232m0036    188.173  -0.613 NGC4517  8.34 13.34 HSC      False                      
dw1232p0146    188.183   1.775 NGC4517  8.34 13.14 HSC      False                      
dw1232p0134    188.194   1.569 NGC4517  8.34 11.19 HSC      False 1535 S               
dw1233m0032    188.283  -0.534 NGC4517  8.34 12.75 HSC      False  751 S               
dw1233m0021    188.290  -0.375 NGC4517  8.34 13.24 HSC      False                      
dw1233p0202    188.326   2.046 NGC4517  8.34 11.77 HSC      False                      
dw1233p0023-n2 188.494   0.387 NGC4517  8.34 12.46 HSC      False 1559 S               
dw1234p0134    188.536   1.574 NGC4517  8.34 14.43 HSC      False                      
dw1234m0017    188.724  -0.287 NGC4517  8.34 22.76 HSC      False                      
dw1235p0106    188.762   1.114 NGC4517  8.34 14.01 HSC      False                      
dw1235m0047    188.777  -0.794 NGC4517  8.34 10.89 HSC      False                      
dw1235p0152    188.993   1.886 NGC4517  8.34 11.68 HSC      False                      
dw1236m0059    189.032  -0.988 NGC4517  8.34 15.08 HSC      False  959 S               
dw1236p0043    189.049   0.720 NGC4517  8.34 13.56 HSC      False                      
dw1236p0014    189.091   0.234 NGC4517  8.34 21.71 HSC      False                      
dw1236p0008    189.151   0.145 NGC4517  8.34 18.17 HSC      False                      
dw1236p0136    189.229   1.615 NGC4517  8.34 13.86 HSC      False  579 S               
dw1236p0108    189.236   1.147 NGC4517  8.34 19.83 HSC      False                      
dw1236p0144    189.244   1.739 NGC4517  8.34 13.39 HSC      False                      
dw1237p0113    189.318   1.222 NGC4517  8.34 10.48 HSC      False                      
dw1237p0126    189.327   1.448 NGC4517  8.34 11.67 HSC      False                      
dw1237p0012    189.328   0.213 NGC4517  8.34 12.69 HSC      False  863 S               
dw1237p0047-n2 189.343   0.799 NGC4517  8.34 14.25 HSC      False                      
dw1237p0019    189.452   0.319 NGC4517  8.34 18.53 HSC      False                      
dw1237m0036    189.473  -0.601 NGC4517  8.34 12.37 HSC      False                      
dw1238p0030    189.695   0.502 NGC4517  8.34 14.13 HSC      False                      
dw1239p0008    189.788   0.145 NGC4517  8.34 11.12 HSC      False                      
dw1239p0049    189.915   0.824 NGC4517  8.34 12.83 HSC      False                      
dw1239p0002    189.948   0.042 NGC4517  8.34 12.48 HSC      False                      
dw1240m0021    190.037  -0.351 NGC4517  8.34 14.50 HSC      False 1710 S               
dw1240p0026    190.202   0.449 NGC4517  8.34 14.33 HSC      False 1667 S               
dw1235p2606    188.985  26.115 NGC4565 11.90  7.03 CFHT     True                       
dw1238p2536    189.727  25.616 NGC4565 11.90 16.40 CFHT     False                      
dw1237m1110    189.425 -11.169 M104     9.55 10.55 CFHT     False                      
dw1240m1155    190.248 -11.930 M104     9.55 16.95 CFHT     False                      
dw1241m1210    190.263 -12.180 M104     9.55 12.52 CFHT     False                      
dw1237p3305    189.260  33.084 NGC4631  7.40 10.90 GEMINI   False                      
dw1237p3330    189.365  33.513 NGC4631  7.40  8.18 GEMINI   False                      
dw1238p3337    189.574  33.634 NGC4631  7.40 11.57 GEMINI   False                      
UGCA292        189.668  32.765 NGC4631  7.40                       307 S     3.80 c    
dw1240p3239    190.041  32.659 NGC4631  7.40 10.21 CFHT     False                      
dw1242p3224    190.507  32.402 NGC4631  7.40  9.57 CFHT     False                      
dw1242p3231    190.618  32.531 NGC4631  7.40                                           
dw1242p3227    190.721  32.456 NGC4631  7.40 10.54 HSC      False                      
dw1243p3229    190.779  32.491 NGC4631  7.40  8.65 CFHT     False                      
dw1243p3232    190.937  32.534 NGC4631  7.40 11.92 CFHT     False                      
UGC7690        188.112  42.705 NGC4736  4.20                       536 a               
UGCA290        189.341  38.744 NGC4736  4.20                       458 S     6.14 a    
dw1240p3800    190.010  38.000 NGC4736  4.20                       446 a               
dw1249p2155    192.403  21.918 NGC4826  5.30                       519 S     6.31 a    
dw1254p1943    193.605  19.726 NGC4826  5.30  6.11 CFHT     False                      
dw1301p2103    195.252  21.066 NGC4826  5.30 14.12 HSC      False                      
dw1327p4654    201.906  46.915 NGC5194  8.58 14.91 HSC      False                      
dw1327p4626    201.971  46.441 NGC5194  8.58 12.44 HSC      False                      
dw1328p4718    202.091  47.304 NGC5194  8.58 11.74 HSC      False                      
dw1329p4634    202.463  46.583 NGC5194  8.58 22.21 HSC      False                      
dw1329p4622    202.474  46.372 NGC5194  8.58  8.85 HSC      False 5600 d               
dw1330p4708    202.634  47.138 NGC5194  8.58                                           
dw1330p4720    202.685  47.345 NGC5194  8.58 17.27 HSC      False                      
dw1331p4648    202.798  46.816 NGC5194  8.58 11.66 HSC      False                      
dw1332p4703    203.191  47.051 NGC5194  8.58 14.10 HSC      False                      
dw1333p4725    203.438  47.427 NGC5194  8.58 13.14 CFHT     False                      
dw1401p5421    210.324  54.354 NGC5457  6.50 19.71 CFHT     False                      
dw1401p5410    210.395  54.174 NGC5457  6.50  9.49 CFHT     False                      
dw1402p5539    210.583  55.655 NGC5457  6.50 10.60 CFHT     False                      
dw1403p5557    210.920  55.961 NGC5457  6.50 18.63 CFHT     False                      
dw1404p5506    211.104  55.104 NGC5457  6.50 12.67 CFHT     False                      
dw1404p5316    211.104  53.270 NGC5457  6.50 15.17 CFHT     False                      
dw1404p5537    211.113  55.621 NGC5457  6.50 20.28 CFHT     False                      
dw1405p5519    211.419  55.324 NGC5457  6.50 17.66 CFHT     False                      
dw1405p5202    211.440  52.042 NGC5457  6.50 16.64 CFHT     False                      
dw1406p5550    211.657  55.838 NGC5457  6.50 11.42 CFHT     False                      
dw1407p5458    211.777  54.977 NGC5457  6.50 11.03 CFHT     False                      
dw1407p5449    211.813  54.831 NGC5457  6.50  9.21 CFHT     False                      
dw1407p5504    211.868  55.083 NGC5457  6.50 11.64 CFHT     False                      
dw1407p5442    211.892  54.711 NGC5457  6.50 11.68 CFHT     False                      
dw1407p5452    211.901  54.874 NGC5457  6.50  8.37 CFHT     False                      
dw1407p5400    211.943  54.001 NGC5457  6.50 11.26 CFHT     False                      
dw1407p5415    211.943  54.257 NGC5457  6.50  8.09 CFHT     False                      
dw1407p5528    211.972  55.476 NGC5457  6.50  9.61 CFHT     False                      
dw1408p5420    212.005  54.375 NGC5457  6.50  7.97 CFHT     False                      
dw1408p5453    212.128  54.880 NGC5457  6.50 12.05 CFHT     False                      
dw1408p5452    212.128  54.880 NGC5457  6.50 13.97 CFHT     False                      
dw1408p5526    212.141  55.447 NGC5457  6.50 13.36 CFHT     False                      
dw1408p5517    212.191  55.287 NGC5457  6.50 14.06 CFHT     False                      
dw1408p5421    212.195  54.357 NGC5457  6.50  9.13 CFHT     False                      
dw1409p5504    212.257  55.069 NGC5457  6.50 10.19 CFHT     False                      
dw1409p5452    212.258  54.863 NGC5457  6.50  9.85 CFHT     False                      
dw1410p5522    212.551  55.373 NGC5457  6.50 16.37 CFHT     False                      
dw1410p5426    212.554  54.446 NGC5457  6.50 11.09 CFHT     False                      
dw1410p5445    212.584  54.764 NGC5457  6.50  8.70 CFHT     False                      
dw1410p5553    212.749  55.891 NGC5457  6.50  7.72 CFHT     False                      
dw1412p5608    213.049  56.142 NGC5457  6.50 10.57 CFHT     False                      
dw1413p5511    213.257  55.188 NGC5457  6.50 14.06 CFHT     False                      
dw1416p5529    214.089  55.490 NGC5457  6.50 15.01 CFHT     False                      
dw1912m6351    288.097 -63.855 NGC6744  8.95 10.62 DECAM    False                      
dw1912m6339    288.198 -63.665 NGC6744  8.95  9.67 DECAM    False                      
dw1912m6445    288.248 -64.764 NGC6744  8.95  9.49 DECAM    False                      
dw1913m6449    288.352 -64.817 NGC6744  8.95 12.06 DECAM    False                      

