host,ID,ra,dec,re,tile,x,y,bands,n_bands,cutout
NGC5457,[MVA2014] DF 1,210.9375,53.9444,14,"(248, 288)",5272.605978908489,3922.5752461594193,ugriz,5,0
NGC5457,[MVA2014] DF 2,212.1562,54.3253,10,"(246, 289)",1112.8468490735154,1623.9625182097107,ugriz,5,0
NGC5457,[MVA2014] DF 3,210.7737,53.6156,30,"(251, 287)",7454.425703716308,7243.892888604144,ugriz,5,0
NGC5457,[MVA2014] DF 4,211.89083,54.71089,28,"(246, 289)",4120.276396012283,9087.340521854443,ugriz,5,0
NGC5457,[MVA2014] DF 5,211.1171,55.6167,38,"(239, 291)",3492.105869601455,7263.024499588791,ugriz,5,0
NGC5457,[MVA2014] DF 6,212.07792,55.19183,22,"(243, 290)",2244.0341953593047,8722.400178895885,ugriz,5,0
NGC5457,[MVA2014] DF 7,211.44792,55.13258,20,"(243, 290)",9219.451933662118,7580.774125962493,ugriz,5,0
