host,ID,ra,dec,morph,re,zspec,tile,x,y,bands,n_bands,cutout
M81,IC2574,157.1413,68.4328,,187.786679283021,,"(115, 317)",3202.515931865857,3701.413984527755,griz,4,1
M81,ddo82,157.6524,70.6183,,60.3138862810069,,"(105, 321)",2583.0472573040115,7300.012313683553,ugriz,5,1
M81,IKN,152.0246,68.3992,,65.416226225014,,"(111, 317)",772.0885449601101,3066.9287123101894,griz,4,1
M81,FM1,146.2917,68.765,,42.8185168425413,,"(105, 318)",6444.338941053611,448.3355595400253,griz,4,1
M81,kdg64,151.7579,67.8275,,54.6516030956642,,"(114, 316)",7938.0593345526495,1666.6571447083738,giz,3,1
M81,f8d1,146.1962,67.4386,,58.2626656316244,,"(112, 315)",6032.3915770061185,3811.2863988713025,giz,3,1
M81,d1014p68,153.7325,68.7575,,19.7008601645426,,"(110, 318)",3181.791570393408,304.4028978292017,griz,4,1
M81,KK77,147.5417,67.5067,,54.5201878451466,,"(113, 315)",5740.761309316326,5130.435808180733,giz,3,1
M81,kdg63,151.2804,66.555,,40.9215662698533,,"(121, 313)",8424.05912321145,6078.017602340609,griz,4,1
M81,d0958p66,149.7021,66.8497,,13.0729605732232,,"(117, 314)",5131.217248651439,2087.35320775782,giz,3,1
M81,ddo78,156.6163,67.6567,,79.7576296510587,,"(120, 315)",6261.647587537516,8038.435150221304,griz,4,1
M81,d1028p70,157.1654,70.2336,,17.3125308290499,,"(108, 320)",9718.865831440824,9554.855598921982,ugriz,5,1
M81,d0955p70,148.8067,70.4081,,18.5981148015041,,"(99, 321)",1638.179707010992,3233.371001090589,ugriz,5,1
M81,d1041p70,160.32,70.1508,,10.9017520864116,,"(110, 320)",8219.219803378197,7935.282316694994,ugriz,5,1
M81,HS117,155.355,71.1161,,31.9224784626739,,"(101, 322)",3484.9974633405945,7252.92238283376,ugriz,5,1
M81,d0926p70,141.6163,70.5067,,14.301407480235,,"(95, 321)",9407.337984415444,5154.550277650007,griz,4,1
M81,HO1,145.1346,71.1864,,84.0086273199739,,"(95, 322)",9775.76011386302,8642.399287250004,ugriz,5,1
M81,d0934p70,143.5154,70.2158,,27.9514524144265,,"(98, 320)",3366.8131202742516,9185.33929982883,griz,4,1
NGC3115,dw1000m0741,150.0039,-7.6875,,12.3657773549117,,,,,,0,0
NGC3115,dw1000m0831,150.2289,-8.5305,,8.46899028002784,,,,,,0,0
NGC3115,dw1001m0631,150.3901,-6.5249,,18.4303670993729,,,,,,0,0
NGC3115,dw1001m0814,150.4092,-8.2487,,28.7638294515559,,,,,,0,0
NGC3115,dw1002m0818,150.5043,-8.31,,5.4862394053762,,,,,,0,0
NGC3115,dw1002m0642,150.657,-6.7083,,6.56002972025079,,,,,,0,0
NGC3115,dw1005m0758,151.4233,-7.9817,,30.0964618762307,,,,,,0,0
NGC3115,dw1007m0835,151.8142,-8.5859,,5.00495485746631,,,,,,0,0
NGC3115,dw1007m0830,151.9464,-8.5042,,7.94928385644447,,,,,,0,0
