host,ID,ra,dec,morph,re,zspec
PGC41361,121913+073139,184.807,7.5277,dE,5.51,
PGC39568,121913+663446,184.8083,66.5794,dE,4.98,
PGC41361,121917+061906,184.8232,6.3186,dE,4.45,
PGC41361,121919+051322,184.8299,5.2228,dE,4.54,
PGC39791,121922+753812,184.8418,75.6368,dE,4.24,
PGC39791,121922+762850,184.8421,76.4807,dE,6.32,
PGC41361,121923+054741,184.8462,5.7948,dE,1.59,0.0068
PGC41361,121928+064531,184.8705,6.7587,dE,3.8,
PGC39600,121933+472705,184.8885,47.4514,dE,8.84,
PGC41361,121935+062710,184.8962,6.453,dE,4.39,
PGC39724,121935+290500,184.8978,29.0835,dE,7.91,0.0031
PGC39791,121937+754352,184.9077,75.7313,dE,6.27,
PGC39724,121938+295259,184.9115,29.8831,BC,12.68,0.0008
PGC41361,121941+055901,184.9237,5.9838,dE,2.75,
PGC39724,121943+293931,184.9315,29.6588,dE,8.22,0.0019
PGC41361,121945+053012,184.9399,5.5035,dE,3.09,
PGC41361,121950+052857,184.9616,5.4826,dE,6.98,
PGC39791,121952+753541,184.9698,75.595,dE,3.5,
PGC41361,121953+062031,184.9732,6.3421,dE,3.49,
PGC39724,121955+292517,184.9801,29.4216,dE,7.26,
PGC41361,121955+052440,184.9819,5.4111,dE,2.64,0.0104
PGC39724,121959+292929,184.9972,29.4915,dE,6.68,
PGC39791,121959+754236,184.9977,75.7101,dE,2.88,
PGC39791,122004+752951,185.018,75.4976,dE,7.36,0.0053
PGC39568,122005+655049,185.0224,65.8471,dE,4.45,
PGC39568,122005+655049,185.0225,65.8472,dE,4.33,
PGC41361,122005+051903,185.0243,5.3177,dE,5.94,
PGC41361,122007+055738,185.0326,5.9607,dE,4.65,
PGC41361,122008+055234,185.0357,5.8764,dE,7.69,
PGC41361,122014+062522,185.062,6.4229,dE,3.91,
PGC39724,122015+302136,185.0648,30.3602,dE,8.24,0.0024
PGC41361,122015+093334,185.066,9.5597,dE,1.5,
PGC39724,122017+290608,185.0729,29.1024,BC,12.06,0.0022
PGC39791,122018+753100,185.0755,75.5168,dE,8.11,
PGC41361,122018+053318,185.0786,5.5551,dE,3.38,
PGC41361,122025+053905,185.1073,5.6516,dE,7.94,
PGC41361,122026+113123,185.1106,11.5233,dE,9.08,
PGC39724,122026+295043,185.1124,29.8453,dE,5.35,
PGC41361,122027+060208,185.1156,6.0358,dE,3.79,
PGC41361,122031+073551,185.1327,7.5977,dE,3.42,
PGC39791,122037+750705,185.1579,75.1182,dE,10.39,
PGC39600,122040+470002,185.1677,47.0006,dE,9.3,
PGC41361,122042+145617,185.1754,14.9381,dE,6.71,
PGC41361,122048+054654,185.2006,5.7817,dE,4.4,
PGC40228,122054+464948,185.2289,46.8302,dE,9.92,
PGC39724,122055+292718,185.2306,29.4551,dE,3.58,
PGC39791,122057+754445,185.239,75.7461,UDG,9.44,
PGC39568,122057+655649,185.2403,65.947,dE,11.58,0.0091
PGC41361,122100+050132,185.2528,5.0258,dE,3.73,
PGC39492,122101+275355,185.2554,27.8988,dE,9.55,
PGC41361,122109+133524,185.2884,13.5902,dE,12.2,
PGC41361,122115+044622,185.3153,4.7729,dE,6.23,
PGC39724,122116+290220,185.3193,29.039,BC,4.91,0.0021
PGC39791,122118+754205,185.327,75.7016,dE,3.69,
PGC39724,122120+294255,185.3342,29.7154,dE,13.02,
PGC41361,122120+143349,185.3355,14.5636,dE,5.22,
PGC41361,122122+055651,185.3438,5.9478,dE,3.19,0.0059
PGC41361,122125+063255,185.3557,6.5488,dE,1.67,
PGC41361,122126+062926,185.3585,6.4908,dE,3.45,
PGC41361,122131+080209,185.3816,8.0358,dE,2.54,
PGC41361,122134+044646,185.392,4.7795,dE,9.02,0.0072
PGC41361,122136+054556,185.404,5.7657,dE,10.77,0.0078
PGC41361,122139+071513,185.4137,7.2537,BC,6.66,0.0087
PGC41361,122143+124632,185.4319,12.7757,dE,3.26,
PGC39724,122145+290500,185.4413,29.0836,dE,8.42,
PGC41361,122151+043313,185.4632,4.5538,dE,5.73,
PGC41361,122152+052808,185.4688,5.4691,dE,6.82,
PGC41361,122155+052943,185.4814,5.4953,dE,3.76,
PGC39791,122155+750402,185.4833,75.0674,dE,6.55,
PGC39791,122159+755551,185.4978,75.931,dE,5.26,
PGC41361,122207+035736,185.5292,3.9602,dE,4.89,
PGC39568,122212+654257,185.5533,65.7159,BC,4.2,0.009
PGC39791,122213+755649,185.5581,75.9471,dE,3.66,
PGC39791,122213+755649,185.5582,75.9471,dE,3.68,
PGC41361,122214+072048,185.5592,7.3467,dE,3.39,
PGC41361,122214+071001,185.5614,7.167,dE,3.82,0.0014
PGC41361,122215+151305,185.5651,15.2181,dE,3.22,
PGC40692,122216+305323,185.5698,30.8898,dE,10.34,0.0018
PGC41361,122222+054045,185.5935,5.6793,dE,6.43,
PGC41361,122227+072114,185.615,7.354,dE,3.24,
PGC41361,122236+151646,185.6538,15.2797,dE,5.04,
PGC41361,122239+061250,185.6656,6.214,dE,3.52,
PGC39492,122242+280326,185.6751,28.0573,dE,8.65,
PGC39791,122245+760106,185.6902,76.0185,dE,3.32,
PGC41361,122247+051413,185.6995,5.237,dE,2.71,
PGC41361,122251+085044,185.7153,8.8456,dE,6.5,
PGC41361,122251+074458,185.7164,7.7496,dE,12.83,
PGC40228,122254+475542,185.7286,47.9285,dE,3.6,
PGC41361,122256+031137,185.7371,3.1937,dE,3.74,
PGC39791,122259+752751,185.7464,75.4642,dE,3.96,
PGC39791,122300+771439,185.7518,77.2444,BC,6.99,
PGC41361,122304+120054,185.7695,12.0151,UDG,19.37,
PGC41361,122306+070558,185.7752,7.0997,dE,7.09,
PGC39724,122309+292059,185.7905,29.3497,dE,11.34,0.0018
PGC39791,122313+760605,185.8049,76.1014,dE,4.96,
PGC39724,122317+290718,185.8245,29.1219,dE,8.32,
PGC40692,122322+310140,185.8436,31.0279,dE,13.46,
PGC41361,122326+080559,185.8615,8.0997,dE,8.7,
PGC40692,122331+310348,185.8792,31.0634,dE,6.35,
PGC41361,122332+092655,185.8873,9.4489,dE,4.09,
PGC41361,122333+132802,185.8889,13.4674,dE,8.79,
PGC40692,122338+303207,185.9118,30.5353,dE,6.67,
PGC41361,122339+074746,185.9127,7.7962,dE,4.89,
PGC41361,122343+070628,185.9304,7.1079,dE,2.35,
PGC40228,122346+473932,185.9422,47.6589,dE,10.31,
PGC41361,122346+060108,185.9428,6.0191,dE,4.15,
PGC41361,122347+133614,185.9465,13.604,dE,12.62,
PGC41361,122352+074910,185.9667,7.8195,dE,2.99,
PGC41361,122352+124621,185.9702,12.7727,dE,9.69,
PGC41361,122354+112925,185.9779,11.4905,BC,9.54,
PGC41361,122355+100202,185.9809,10.0341,dE,9.76,
PGC41361,122355+074858,185.9814,7.8161,dE,2.11,
PGC39724,122357+293547,185.989,29.5966,dE,11.85,0.0025
PGC41361,122357+084242,185.99,8.7118,dE,3.2,
PGC41361,122359+173905,185.9995,17.6515,dE,3.59,
PGC41361,122410+071853,186.0457,7.3148,dE,3.12,
PGC41333,122411+413451,186.0469,41.5811,BC,3.12,0.0026
PGC40228,122411+470721,186.048,47.1228,dE,11.15,
PGC41361,122430+184644,186.1291,18.779,dE,3.33,
PGC41361,122448+073212,186.2006,7.5367,dE,6.87,
PGC41361,122457+073341,186.2389,7.5614,dE,2.72,
PGC41361,122459+181811,186.2476,18.3032,dE,4.12,
PGC41361,122503+111855,186.265,11.3155,dE,10.21,
PGC41361,122511+175337,186.2983,17.8936,dE,2.82,
PGC40692,122519+304144,186.3313,30.6956,dE,3.15,
PGC41361,122523+123314,186.3458,12.554,dE,3.2,
PGC41361,122523+131600,186.3463,13.2669,dE,7.98,
PGC41361,122523+123229,186.3488,12.5415,dE,4.75,
PGC41361,122525+144855,186.3553,14.8153,dE,3.48,
PGC40692,122526+311646,186.3602,31.2796,dE,7.26,
PGC41361,122536+125058,186.4022,12.8496,dE,9.73,
PGC41361,122555+085024,186.4801,8.8402,dE,4.27,
PGC41361,122612+190412,186.5526,19.07,dE,6.02,
PGC41361,122619+191213,186.5794,19.2038,dE,10.3,
PGC41361,122623+044924,186.5983,4.8235,dE,5.67,
PGC39791,122627+750528,186.6126,75.0911,dE,3.1,
PGC41361,122628+102002,186.62,10.334,dE,4.48,
PGC41361,122638+112723,186.6595,11.4564,dE,10.74,
PGC41361,122639+100102,186.6666,10.0173,dE,3.62,
PGC41361,122643+051639,186.6809,5.2776,dE,3.13,
PGC39791,122645+751059,186.6892,75.1831,dE,6.26,
PGC41361,122647+074017,186.6997,7.6715,dE,3.76,0.0021
PGC41361,122649+101439,186.7053,10.2442,dE,5.14,
PGC41361,122649+103004,186.707,10.5013,dE,6.3,
PGC39791,122658+750055,186.7424,75.0153,dE,4.06,
PGC41361,122717+030852,186.8227,3.1478,dE,3.35,
PGC40762,122718-005301,186.8276,-0.8837,dE,2.36,
PGC40692,122728+304242,186.8697,30.7119,dE,2.66,
PGC41361,122728+184430,186.8707,18.7417,dE,9.51,
PGC40894,122731-082045,186.8812,-8.346,dE,3.55,
PGC41361,122735+041624,186.8987,4.2733,dE,2.95,
PGC41361,122744+075639,186.9362,7.9444,dE,10.79,
PGC41361,122747+191259,186.9492,19.2166,dE,10.29,
PGC41361,122756+112018,186.9872,11.3385,dE,4.48,
PGC41361,122806+080343,187.0262,8.0621,dE,9.91,
PGC41789,122810+015905,187.0422,1.9848,dE,4.1,
PGC41361,122811+074858,187.0462,7.8162,dE,2.75,
PGC41361,122814+061840,187.0596,6.3112,dE,3.19,
PGC41361,122814+085950,187.0603,8.9974,dE,8.08,
PGC41361,122820+061143,187.0861,6.1954,dE,4.73,
PGC39791,122823+745840,187.0988,74.9779,dE,4.19,
PGC39791,122823+745840,187.0988,74.9779,dE,4.2,
PGC41361,122825+095313,187.108,9.8872,dE,6.46,
PGC41361,122828+154208,187.1191,15.7025,dE,3.37,
PGC40762,122829-015209,187.1238,-1.8694,dE,12.33,
PGC41361,122833+182758,187.1393,18.4664,dE,5.2,
PGC41361,122837+075405,187.1566,7.9015,dE,8.87,
PGC40973,122845+435751,187.1889,43.9644,dE,33.91,
PGC42139,122850+744533,187.209,74.7593,dE,5.77,
PGC42139,122850+744533,187.2101,74.7592,dE,5.86,
PGC41361,122850+054452,187.2123,5.748,dE,4.35,
PGC41361,122855+084117,187.2296,8.6882,dE,3.11,
PGC41361,122901+094522,187.2552,9.7561,dE,4.96,
PGC41361,122918+080111,187.3291,8.0198,dE,2.51,
PGC41789,122921+014410,187.3413,1.7363,dE,22.4,
PGC41361,122923+164634,187.3484,16.7764,dE,8.12,
PGC41361,122930+075934,187.376,7.9928,dE,3.85,0.0047
PGC41361,122931+133942,187.3813,13.6619,dE,4.14,
PGC41361,122934+080328,187.3958,8.058,dE,1.4,0.0047
PGC40988,122935+284819,187.398,28.8054,dE,5.9,
PGC41361,122938+052427,187.4083,5.4077,dE,3.75,
PGC40692,122941+305639,187.4209,30.9443,dE,7.17,
PGC41361,122943+033146,187.4325,3.5296,dE,2.99,
PGC41361,122945+074332,187.4383,7.7258,dE,5.59,
PGC41361,122948+150212,187.4523,15.0367,dE,3.44,
PGC41361,122957+191344,187.4893,19.229,dE,9.53,
PGC39791,123001+755150,187.5045,75.8641,dE,4.09,
PGC40836,123004+642507,187.5191,64.4187,dE,3.42,0.0086
PGC41361,123008+081729,187.5371,8.2914,dE,2.8,
PGC41361,123016+081717,187.5697,8.2882,dE,4.54,
PGC41361,123016+090507,187.5702,9.0854,BC,10.61,0.0065
PGC41361,123020+140824,187.5848,14.14,dE,5.84,0.0023
PGC41361,123022+071916,187.5927,7.3213,dE,9.9,
PGC42139,123022+735419,187.5942,73.9055,dE,7.25,
PGC41361,123028+171834,187.6175,17.3097,dE,10.51,
PGC41361,123029+194022,187.6247,19.673,HD,5.25,0.0029
PGC41361,123036+063449,187.6531,6.5803,dE,7.67,
PGC41361,123043+073604,187.6794,7.6011,dE,3.19,
PGC41361,123050+053306,187.7109,5.5519,dE,2.22,
PGC41361,123111+150858,187.7995,15.1495,dE,6.12,
PGC41361,123120+112625,187.8366,11.4404,dE,3.55,
PGC41361,123123+091426,187.8495,9.2406,dE,12.67,
PGC41361,123128+093905,187.8686,9.6516,dE,3.07,
PGC41361,123129+082126,187.874,8.3573,dE,4.86,
PGC42139,123130+750041,187.8759,75.0115,dE,3.74,
PGC41361,123140+182041,187.9192,18.3448,dE,11.38,
PGC41361,123146+090502,187.9444,9.0839,dE,6.91,
PGC41789,123147+020354,187.9491,2.065,dE,3.41,
PGC42139,123155+743623,187.9819,74.6066,dE,7.97,
PGC42139,123155+743624,187.9823,74.6067,dE,10.3,
PGC42139,123159+745244,187.9985,74.8791,dE,5.77,
PGC40692,123208+313050,188.0358,31.5139,dE,7.09,
PGC41361,123209+132946,188.0389,13.4962,dE,6.86,
PGC41361,123212+133520,188.0513,13.5891,dE,5.01,
PGC41361,123214+101504,188.0591,10.2514,dE,16.13,0.004
PGC41621,123221+635857,188.0916,63.9826,dE,3.88,
PGC41618,123225+002725,188.1071,0.4571,dE,2.97,
PGC40988,123226+285025,188.1107,28.8404,dE,4.85,
PGC41361,123233+152455,188.1392,15.4153,dE,5.37,0.001
PGC41618,123241-003645,188.1727,-0.6127,dE,7.48,
PGC41361,123244+135206,188.1868,13.8686,dE,4.51,
PGC41361,123247+190056,188.1989,19.0156,dE,5.33,
PGC41361,123251+135641,188.2132,13.945,dE,4.14,
PGC41361,123300+133707,188.2504,13.6188,dE,2.36,
PGC41618,123309-002231,188.2903,-0.3753,dE,8.29,
PGC40692,123316+302518,188.3203,30.4218,dE,7.27,0.003
PGC41361,123321+102225,188.3394,10.3737,dE,4.81,
PGC41939,123351-041355,188.4659,-4.2321,dE,11.2,
PGC41361,123403+060237,188.5143,6.0436,dE,2.64,
PGC41361,123414+133528,188.5586,13.5913,dE,2.23,
PGC41361,123418+141122,188.5787,14.1896,dE,3.91,
PGC42139,123423+764330,188.5968,76.7252,UDG,11.81,
PGC42038,123424+253119,188.6007,25.5222,dE,11.81,0.0017
PGC41361,123425+180051,188.6076,18.0142,dE,12.37,
PGC41361,123432+153651,188.6343,15.6142,dE,3.25,
PGC41361,123435+130836,188.6487,13.1436,dE,9.45,
PGC41361,123440+133215,188.6686,13.5376,dE,4.62,
PGC42038,123457+261850,188.7397,26.314,dE,3.39,
PGC41361,123502+052529,188.7605,5.425,BC,10.65,0.0024
PGC41361,123502+061233,188.7612,6.2093,dE,6.87,
PGC41361,123508+081402,188.7849,8.234,dE,3.21,
PGC41361,123510+133041,188.7942,13.5115,dE,3.8,
PGC41361,123513+132703,188.8072,13.4509,dE,3.58,
PGC41361,123518+082025,188.827,8.3404,dE,5.12,
PGC41361,123527+124501,188.8634,12.7503,dE,7.4,0.0021
PGC41361,123529+071617,188.8727,7.2714,dE,3.01,
PGC41361,123537+110342,188.9043,11.0619,dE,2.61,
PGC41361,123537+122255,188.9052,12.382,dE,2.88,0.0005
PGC41361,123546+153856,188.944,15.6489,dE,3.84,
PGC41361,123550+133609,188.959,13.6027,dE,6.42,
PGC41939,123550-034558,188.9623,-3.7662,dE,11.19,0.0028
PGC41361,123608+103725,189.0357,10.6236,dE,3.5,
PGC42375,123610-053002,189.0454,-5.5008,dE,6.93,
PGC41361,123612+071237,189.0514,7.2104,dE,2.49,
PGC41939,123616-021140,189.0693,-2.1945,dE,5.08,
PGC41789,123617+022602,189.0719,2.4341,dE,3.55,
PGC41361,123620+131734,189.084,13.2929,dE,11.34,
PGC41361,123626+133056,189.1109,13.5156,dE,3.41,
PGC42139,123647+741555,189.1992,74.2656,dE,8.3,
PGC41361,123651+125731,189.2129,12.9586,dE,6.57,0.0019
PGC42139,123658+745329,189.2419,74.8914,dE,6.55,
PGC42139,123658+745328,189.242,74.8914,dE,6.48,
PGC41361,123659+191700,189.2462,19.2834,dE,3.92,
PGC41361,123659+123302,189.2489,12.5506,dE,3.42,
PGC42637,123702+330501,189.2597,33.0838,dE,6.48,
PGC41361,123702+090032,189.2604,9.009,dE,9.2,
PGC41361,123713+055539,189.3076,5.9276,dE,4.71,
PGC41361,123718+090018,189.3261,9.0051,dE,2.63,
PGC41361,123727+125358,189.3652,12.8995,dE,4.11,
PGC41361,123748+165207,189.4509,16.8688,dE,6.46,
PGC42797,123807+012808,189.5298,1.469,dE,5.58,
PGC41361,123807+152605,189.5312,15.4349,dE,7.15,
PGC42139,123810+740157,189.5427,74.0327,dE,9.26,
PGC42038,123819+273935,189.5831,27.6599,dE,8.19,0.004
PGC41361,123829+152112,189.6249,15.3535,dE,5.85,
PGC41361,123915+061035,189.8131,6.1765,dE,3.83,
PGC41939,123943-025938,189.9328,-2.9939,dE,8.2,
PGC41361,123948+094946,189.9518,9.8295,dE,5.81,
PGC41361,123952+174932,189.9704,17.8257,dE,10.08,
PGC41361,123953+133829,189.9717,13.6416,dE,6.54,
PGC41361,123955+172045,189.982,17.3461,dE,9.05,
PGC41361,124009+024720,190.0414,2.7891,dE,7.48,
PGC42038,124014+261835,190.0619,26.3099,dE,11.53,0.0032
PGC41361,124019+155607,190.082,15.9353,dE,6.73,0.0061
PGC41361,124023+162624,190.0971,16.44,dE,10.28,
PGC41361,124029+094322,190.1217,9.7229,dE,3.81,
PGC42038,124038+224729,190.1599,22.7916,BC,4.5,
PGC42595,124044+743718,190.1868,74.6217,dE,7.91,
PGC42797,124053+013254,190.2209,1.5485,dE,3.22,
PGC42797,124056+015446,190.2371,1.9129,dE,11.42,
PGC42637,124058+324724,190.2456,32.7901,dE,24.89,
PGC41361,124100+104317,190.2502,10.7215,dE,8.97,
PGC41361,124101+121651,190.255,12.2811,dE,9.37,
PGC42375,124103-050330,190.2659,-5.0586,dE,3.46,
PGC43202,124112-021503,190.3012,-2.2509,dE,6.28,
PGC41361,124115+112313,190.3155,11.3872,dE,5.68,0.0016
PGC42375,124139-045744,190.4142,-4.9622,BC,7.37,
PGC41361,124146+111500,190.4417,11.2501,dE,14.36,
PGC42637,124206+323707,190.5277,32.6187,dE,12.73,
PGC42637,124206+323713,190.5285,32.6203,dE,12.39,
PGC42797,124208+015855,190.5357,1.982,dE,2.45,
PGC41361,124231+025724,190.6293,2.9568,dE,10.49,
PGC41361,124251+095853,190.7129,9.9816,dE,8.66,
PGC42734,124254+023117,190.726,2.5216,dE,6.3,
PGC42797,124254+020713,190.726,2.1204,dE,3.59,
PGC41361,124256+132055,190.7371,13.3488,dE,13.46,
PGC42595,124257+740945,190.7397,74.1627,dE,6.94,
PGC42595,124257+740945,190.7405,74.1627,dE,6.45,
PGC42797,124258+021412,190.7458,2.2367,dE,5.39,
PGC42797,124321+015329,190.8408,1.8914,dE,4.14,
PGC42637,124324+322855,190.8537,32.482,dE,12.23,0.0022
PGC42797,124336+020140,190.9002,2.028,UDG,16.66,
PGC41361,124336+104624,190.9008,10.7733,dE,2.61,
PGC42734,124342+025343,190.925,2.8956,dE,11.4,
PGC42734,124412+025752,191.0503,2.9647,dE,3.24,
PGC41361,124419+111622,191.0797,11.273,dE,9.12,
PGC41361,124423+084728,191.0997,8.7912,dE,7.4,
PGC41361,124425+033130,191.1067,3.5251,dE,10.29,0.0015
PGC41361,124428+172757,191.1199,17.4659,dE,8.94,
PGC41361,124443+032606,191.1804,3.435,dE,3.74,
PGC42797,124455+021745,191.2316,2.2959,dE,9.76,
PGC41361,124458+162254,191.2438,16.3818,dE,10.57,
PGC41361,124510+163142,191.2943,16.5286,dE,5.85,
PGC41361,124527+181800,191.3655,18.3002,dE,18.48,
PGC41361,124530+171307,191.3786,17.2188,dE,6.17,
PGC42797,124604+022535,191.5207,2.4266,dE,10.48,
PGC43276,124607-053328,191.5298,-5.5579,dE,10.07,
PGC42595,124609+743455,191.5393,74.5822,BC,3.83,
PGC42734,124617+030817,191.573,3.1382,dE,18.81,
PGC42797,124626+013618,191.612,1.605,dE,8.1,
PGC42797,124627+021543,191.6161,2.2622,dE,4.08,
PGC41361,124641+051403,191.6719,5.2344,dE,6.23,
PGC41361,124656+034746,191.7344,3.7962,dE,8.68,
PGC41361,124703+091633,191.7662,9.2759,dE,2.08,
PGC43276,124704-071412,191.7704,-7.2369,dE,6.52,
PGC41361,124710+194440,191.7937,19.7447,dE,5.74,
PGC43276,124713-052824,191.8073,-5.4734,dE,11.27,
PGC41361,124715+101213,191.8137,10.2037,dE,11.23,0.0036
PGC41361,124719+043439,191.8306,4.5775,BC,8.47,
PGC43276,124730-071737,191.8777,-7.2937,dE,3.41,
PGC43276,124738-055202,191.9092,-5.8673,dE,13.16,0.0039
PGC43754,124743-092644,191.9313,-9.4456,dE,5.01,
PGC43202,124743-015655,191.932,-1.9488,dE,5.91,
PGC43238,124808-042013,192.0334,-4.337,dE,5.37,
PGC41361,124825+103815,192.1046,10.6376,dE,14.67,
PGC41361,124827+103328,192.1128,10.558,BC,4.85,0.0039
PGC43202,124827-014002,192.1132,-1.6674,dE,4.14,
PGC43754,124838-091515,192.161,-9.2544,UDG,12.49,
PGC41361,124849+083527,192.2073,8.5911,dE,5.96,
PGC43202,124857-004656,192.2391,-0.7824,UDG,8.97,
PGC41361,124900+090042,192.2529,9.0118,dE,3.83,
PGC43276,124903-055255,192.2632,-5.8822,dE,3.77,
PGC43798,124906+015724,192.2766,1.9568,dE,9.02,
PGC43754,124908-090133,192.2859,-9.026,dE,7.09,
PGC41361,124910+100456,192.2926,10.0824,dE,7.07,
PGC43276,124922-054826,192.3417,-5.8074,dE,13.15,
PGC43798,124929+033119,192.3716,3.522,dE,5.29,
PGC43754,124929-090647,192.3733,-9.1131,dE,5.22,
PGC43798,124930+030628,192.376,3.108,UDG,12.37,
PGC43276,124936-054727,192.4019,-5.7911,dE,11.39,
PGC43276,124952-060727,192.47,-6.1243,dE,2.27,
PGC41361,124952+104255,192.4704,10.7153,dE,5.44,
PGC43754,124958-090651,192.4942,-9.1143,dE,4.49,
PGC43276,125004-064322,192.5208,-6.7229,BC,6.44,
PGC43276,125006-054850,192.5263,-5.8139,dE,9.72,
PGC41361,125006+051806,192.5274,5.3018,dE,3.02,
PGC43276,125013-053143,192.5558,-5.5286,dE,10.31,
PGC43451,125033+252432,192.6406,25.4092,dE,6.32,0.0042
PGC41361,125041+131924,192.6719,13.3234,dE,4.92,
PGC43671,125042-010317,192.6779,-1.055,dE,3.0,
PGC43754,125044-091926,192.6866,-9.3241,dE,4.39,
PGC43754,125048-081255,192.7009,-8.2154,UDG,7.56,
PGC43754,125053-081154,192.7234,-8.1984,dE,1.91,
PGC43238,125058-041351,192.7424,-4.2311,dE,5.19,
PGC43754,125108-092203,192.7848,-9.3675,dE,3.75,
PGC43754,125115-085946,192.8147,-8.9963,dE,5.79,
PGC43754,125125-082232,192.8579,-8.3757,dE,4.24,
PGC41361,125136+121715,192.9014,12.2876,dE,3.49,
PGC43754,125137-090050,192.9075,-9.014,dE,3.66,
PGC41361,125148+121636,192.952,12.2767,dE,3.66,
PGC43276,125151-043522,192.9639,-4.5895,BC,6.45,
PGC43754,125156-083552,192.9874,-8.598,dE,3.9,
PGC43754,125216-090057,193.0701,-9.0159,dE,2.58,
PGC43754,125220-092136,193.0847,-9.3601,dE,5.06,
PGC43798,125223+021719,193.0965,2.2889,dE,8.74,
PGC43754,125227-075752,193.1144,-7.9645,dE,5.04,
PGC43754,125233-085044,193.1378,-8.8457,dE,4.56,
PGC43754,125234-090246,193.1455,-9.0461,dE,3.63,
PGC43754,125241-090756,193.1719,-9.1324,dE,3.45,
PGC43754,125245-091807,193.1913,-9.302,dE,3.53,
PGC43671,125248-005626,193.2027,-0.9406,dE,5.57,
PGC43754,125248-091323,193.2029,-9.2231,dE,2.63,
PGC43754,125249-090254,193.2045,-9.0485,dE,3.61,
PGC43754,125249-091652,193.2075,-9.2812,dE,5.54,
PGC43754,125252-090720,193.2177,-9.1223,dE,3.91,
PGC43754,125252-084914,193.2193,-8.8206,dE,4.52,
PGC43754,125254-090829,193.2253,-9.1415,dE,2.62,
PGC43754,125301-090748,193.2553,-9.1301,dE,2.58,
PGC43754,125302-091814,193.2601,-9.3039,dE,3.08,
PGC43754,125307-090657,193.281,-9.116,dE,2.01,
PGC43754,125309-081831,193.289,-8.3087,dE,3.8,
PGC43754,125311-093321,193.299,-9.5559,dE,2.63,
PGC43754,125315-081741,193.3129,-8.2949,dE,3.54,
PGC43754,125319-091850,193.3313,-9.314,dE,2.57,
PGC43754,125324-092645,193.3504,-9.4459,dE,2.83,
PGC43754,125326-091834,193.3595,-9.3097,UDG,6.99,
PGC43754,125327-091546,193.3663,-9.2629,dE,3.08,
PGC43754,125328-091647,193.3675,-9.2798,dE,3.44,
PGC43754,125332-091920,193.3834,-9.3222,dE,1.97,
PGC43754,125335-072639,193.396,-7.4442,BC,13.19,
PGC43754,125335-072637,193.396,-7.4439,BC,13.6,
PGC43754,125337-093402,193.4061,-9.5674,dE,3.49,
PGC43754,125339-093058,193.4129,-9.5163,dE,3.09,
PGC43754,125341-091858,193.423,-9.3162,dE,4.78,
PGC43798,125353+020159,193.4713,2.0331,dE,8.73,
PGC43754,125354-090540,193.4773,-9.0945,dE,3.45,
PGC43671,125401-013030,193.5079,-1.5083,dE,3.72,0.0038
PGC43754,125405-091842,193.5235,-9.3119,dE,2.93,
PGC43754,125407-090437,193.5301,-9.077,dE,1.77,
PGC43754,125413-091923,193.5548,-9.3233,dE,4.51,
PGC43939,125417+290116,193.5741,29.0213,dE,4.88,
PGC43798,125426+020115,193.6116,2.0209,dE,11.32,
PGC44025,125426+582348,193.6119,58.3968,dE,5.2,
PGC41361,125439+074116,193.6647,7.6879,dE,7.4,
PGC43754,125440-090914,193.6692,-9.1541,dE,4.26,
PGC43754,125446-091747,193.694,-9.2965,dE,3.96,
PGC43754,125450-090815,193.7106,-9.1377,dE,2.06,
PGC43754,125451-090751,193.7166,-9.1309,dE,3.94,
PGC43939,125454+290126,193.7258,29.0239,dE,4.1,
PGC41361,125455+103858,193.73,10.6496,dE,8.25,
PGC43798,125457+015843,193.7407,1.9786,BC,11.68,
PGC43798,125504+014059,193.7679,1.6832,dE,10.74,
PGC43754,125513-090617,193.806,-9.1048,dE,2.14,
PGC43754,125514-083906,193.8085,-8.6519,dE,3.22,
PGC43754,125517-084611,193.8211,-8.7698,dE,2.98,
PGC43754,125519-090733,193.8332,-9.126,dE,3.81,
PGC43798,125528+025743,193.8691,2.9621,dE,4.66,
PGC41361,125530+154403,193.8783,15.7343,dE,7.4,
PGC43754,125542-090942,193.929,-9.1618,dE,3.39,
PGC43754,125549-090653,193.9575,-9.1148,dE,2.15,
PGC41361,125607+110423,194.0323,11.0731,dE,11.06,
PGC43939,125619+290733,194.0812,29.1259,dE,3.07,
PGC41361,125730+083238,194.3781,8.5441,dE,4.39,
PGC41361,125840+095211,194.6681,9.8699,dE,4.58,
PGC44891,130013-042914,195.0544,-4.4873,dE,2.78,
PGC41361,130031+184309,195.1304,18.7194,UDG,23.35,
PGC44891,130040-043124,195.1688,-4.5235,dE,3.13,
PGC44891,130103-042938,195.2651,-4.4941,dE,2.72,
PGC44891,130121-042634,195.3397,-4.4429,BC,5.7,
PGC44891,130124-042921,195.35,-4.4893,dE,3.8,
PGC44891,130159-042912,195.4988,-4.4867,dE,7.16,
PGC45643,130200-081944,195.501,-8.329,dE,2.64,
PGC44891,130213-043347,195.5568,-4.5632,dE,7.48,
PGC44891,130224-044417,195.6023,-4.7383,dE,8.25,
PGC44891,130229-041748,195.6246,-4.2968,dE,3.71,
PGC41361,130254+075749,195.7281,7.9637,dE,4.98,
PGC41361,130301+075107,195.7545,7.8521,TS,3.95,0.0096
PGC45643,130314-081400,195.8113,-8.2334,BC,7.54,
PGC44797,130328+023555,195.869,2.5989,dE,11.44,
