host,ID,ra,dec,morph,re,zspec
NGC3344,dw1045p2606,161.2758,26.1048,,4.32483947110765,
NGC3379,UGC5812,160.2355,12.4728,,28.1059894867539,
NGC3379,dw1042p1220,160.5015,12.3351,,20.4934687403073,
NGC3379,dw1043p1410,160.7948,14.1799,,6.18987189588249,
NGC3379,M95,160.9904,11.7037,,,
NGC3379,dw1044p1154,161.2394,11.9162,,10.9069745209913,
NGC3379,M96,161.6907,11.8199,,,
NGC3379,NGC3377,161.9264,13.9858,,,
NGC3379,NGC3384,162.0705,12.6292,,,
NGC3379,dw1048p1154,162.1039,11.9123,,24.7517767496516,
NGC3379,dw1048p1259,162.2174,12.9954,,13.3802244874869,
NGC3379,NGC3412,162.722,13.4121,,,
NGC3379,dw1044p1132,161.0306,11.5344,,7.50649678061863,
NGC3379,dw1046p1342,161.6272,13.7011,,4.5725244898889,
NGC3379,dw1047p1145,161.949,11.7622,,7.92095410158242,
NGC3379,dw1048p1121,162.096,11.3523,,11.0052876529409,
NGC3379,dw1049p1057,162.4172,10.9555,,4.61878949315928,
NGC3379,dw1054p1217,163.7206,12.2967,,7.26746093038835,
NGC3521,dw1104p0005,166.1711,0.0936,,11.8307599583156,
NGC3521,dw1105p0006,166.4217,0.1163,,62.8702496041373,
NGC3521,dw1109m0016,167.3283,-0.2771,,16.6006336027797,
NGC3521,dw1110p0037,167.6231,0.6169,,14.652167843767,
NGC3521,dw1111p0049,167.8493,0.8315,,15.5251099702056,
NGC3521,dw1104p0033,166.2068,0.5506,,6.22846048864,
NGC3556,dw1119p5543,169.9523,55.7224,,9.35643079227666,
NGC3556,dw1104p5534,166.1661,55.5745,,5.45791796216139,
NGC3556,dw1110p5429,167.6471,54.4973,,5.05618755418275,
NGC3556,dw1113p5529,168.2805,55.4926,,7.10371673033194,
NGC3556,dw1113p5644,168.3996,56.7355,,4.91579789548054,
NGC3556,dw1116p5537,169.1718,55.6168,,4.95899471354276,
NGC3556,dw1123p5602,170.832,56.0487,,5.11666309946986,
NGC3627,NGC3593,168.6539,12.8178,,56.2690391442079,
NGC3627,dw1114p1238,168.6877,12.6477,,7.20944608501756,
NGC3627,dw1117p1305,169.2544,13.0993,,14.2342360577758,
NGC3627,NGC3623,169.733,13.0924,,,
NGC3627,dw1119p1419,169.8029,14.3272,,24.6948083745928,
NGC3627,dw1119p1157,169.8098,11.9524,,18.4165005577765,
NGC3627,dw1119p1417,169.8161,14.2901,,7.17801525739895,
NGC3627,NGC3628,170.0707,13.5897,,,
NGC3627,dw1123p1342,170.806,13.7141,,30.5900529798075,
NGC3627,dw1116p1356,169.0325,13.9412,,8.03843416345827,
NGC3627,dw1116p1324,169.0973,13.4101,,42.7400322811245,
NGC3627,dw1119p1210,169.8996,12.177,,4.79123678511112,
NGC3627,dw1121p1129,170.2651,11.487,,6.84995599412976,
NGC4258,NGC4248,184.4591,47.4092,,53.7778186509791,
NGC4258,LVJ1218+4655,184.5465,46.9172,,16.1058436211274,
NGC4258,dw1220p4729,185.1256,47.4906,,12.315727806337,
NGC4258,dw1223p4644,185.9542,46.7495,,3.39763972512578,
NGC4517,dw1236m0025,189.1755,-0.4305,,9.91505525473153,
NGC4517,dw1238p0028,189.5586,0.4771,,11.3198323524336,
NGC4517,NGC4592,189.8273,-0.5318,,50.2158348446169,
NGC4565,NGC4562,188.8948,25.8503,,34.7408866521895,
NGC4565,IC3571,189.0835,26.0843,,8.77925414824826,
NGC4565,dw1237p2602,189.2549,26.036,,7.93512842856477,
NGC4565,dw1235p2616,188.843,26.2706,,4.32982761348947,
NGC4565,dw1236p2634,189.2441,26.5786,,6.40634221755688,
NGC4565,dw1237p2605,189.3618,26.0855,,12.6566858421538,
NGC4565,dw1237p2637,189.4283,26.6243,,5.23288613495785,
M104,dw1237m1125,189.2985,-11.4332,,7.56160300179146,
M104,dw1239m1159,189.7877,-11.9867,,12.127506670968,
M104,dw1239m1143,189.8136,-11.7189,,13.0907957137555,
M104,dw1239m1113,189.8866,-11.2268,,14.7668322545696,
M104,dw1239m1120,189.9645,-11.3413,,6.76678154944663,
M104,dw1239m1144,189.9787,-11.746,,22.5228209376411,
M104,dw1240m1118,190.0392,-11.3139,,14.2657491650479,
M104,dw1240m1140,190.0733,-11.6793,,30.9656390279018,
M104,dw1241m1131,190.2617,-11.5288,,7.43633222941102,
M104,dw1241m1153,190.3002,-11.8916,,15.5292560933678,
M104,dw1241m1155,190.3281,-11.9254,,16.3348767502282,
M104,dw1238m1122,189.6402,-11.3681,,14.0756831655741,
M104,dw1238m1102,189.7429,-11.036,,4.93091678180231,
M104,dw1242m1116,190.6825,-11.2739,,28.0671325359269,
M104,dw1242m1129,190.7067,-11.4893,,3.30455658175976,
NGC4631,dw1236p3336,189.2059,33.6131,,11.8044791142764,
NGC4631,dw1239p3251,189.8317,32.8608,,12.5542795586071,
NGC4631,dw1241p3251,190.4464,32.8577,,18.168027123224,
NGC4631,NGC4627,190.4987,32.574,,26.4297688220942,
NGC4631,NGC4656,190.9905,32.1681,,,
NGC4736,dw1231p4205,187.7873,42.0942,,8.03450531000594,
NGC4736,IC3687,190.5626,38.5034,,53.8891361654616,
NGC4736,dw1243p4339,190.9898,43.6618,,14.3845147023273,
NGC4736,dw1249p4421,192.3797,44.3595,,8.27023651714548,
NGC4736,dw1255p4035,193.7615,40.5902,,25.5277253064859,
NGC4736,dw1303p4222,195.8097,42.3733,,12.1156018336092,
NGC4736,dw1305p4206,196.499,42.1062,,13.8688526867095,
NGC4736,dw1311p4051,197.9217,40.863,,7.27820102043326,
NGC4826,dw1255p1912,193.921,19.2096,,34.4306554880766,
NGC4826,dw1258p2329,194.7139,23.4899,,21.9496888157287,
NGC4826,dw1245p2309,191.2591,23.1657,,6.07508231229656,
NGC4826,dw1251p2324,192.8683,23.4009,,5.15662015617741,
NGC5055,dw1312p4158,198.0772,41.9755,,12.6828438925779,
NGC5055,dw1312p4032,198.2159,40.5432,,11.2689881744468,
NGC5055,UGCA337,198.244,41.7864,,26.3400390119601,
NGC5055,UGC8313,198.4754,42.2092,,31.1606358930224,
NGC5055,dw1315p4123,198.8158,41.3967,,7.89945374094009,
NGC5055,dw1321p4226,200.3708,42.4334,,4.70897669278884,
NGC5055,dw1305p4206-n2,196.499,42.1062,,13.8711338135731,
NGC5055,dw1311p4051-n2,197.9217,40.8631,,7.26926476131255,
NGC5055,dw1315p4304,198.7521,43.0849,,36.7393198861091,
NGC5055,dw1323p4058,200.935,40.9728,,4.39969575444765,
CENA,KK189,198.1875,-41.8319,,15.8699916500498,
CENA,ESO269-066,198.2875,-44.89,,42.2110218248839,
CENA,NGC5011C,198.2958,-43.2656,,25.3998765507012,
CENA,KK196,200.4458,-45.0633,,15.9996116102597,
CENA,KK197,200.5042,-42.5356,,52.5580760399022,
CENA,KKS55,200.55,-42.7308,,32.6304160702374,
CENA,CENA-MM-DW4,200.7583,-41.7861,,17.295811212359,
CENA,dw1323-40b,201.0,-40.8367,,24.3572812185779,
CENA,dw1323-40,201.2421,-40.7622,,15.6558369331813,
CENA,CENA-MM-DW6,201.4875,-41.0942,,15.5994804287422,
CENA,CENA-MM-DW7,201.6167,-43.5567,,29.9985673129315,
CENA,ESO324-024,201.9042,-41.4806,,,
CENA,KK203,201.8667,-45.3525,,,
CENA,dw1329-45,202.3121,-45.1767,,9.90183782994941,
CENA,CENA-MM-DW1,202.5583,-41.8933,,47.6719671050325,
CENA,CENA-MM-DW3,202.5875,-42.1925,,132.601219294752,
CENA,CENA-MM-DW9,203.2542,-42.53,,21.6972542090525,
CENA,CENA-MM-DW8,203.3917,-41.6078,,34.6761571813766,
CENA,dw1336-44,204.2033,-43.8578,,8.07025143567874,
CENA,NGC5237,204.4127,-42.8469,,,
CENA,KKS57,205.4083,-42.5819,,11.9982997950838,
CENA,dw1341-43,205.4025,-43.8554,,20.1981711909725,
NGC5194,NGC5195,202.4983,47.2661,,,
NGC5194,dw1330p4731,202.6411,47.5257,,11.7171872453187,
NGC5236,dw1335-29,203.9417,-29.7067,,24.8527148463257,
NGC5236,dw1340-30,205.0792,-30.3597,,14.7325735015213,
NGC5236,KK200,201.15,-30.9717,,16.3124741451161,
NGC5236,IC4247,201.6875,-30.3625,,21.416430946507,
NGC5236,ESO444-84,204.3333,-28.0442,,23.8038363634947,
NGC5236,IC4316,205.075,-28.8947,,39.8398278959817,
NGC5236,ESO444-78,204.1292,-29.2342,,26.5949941671788,
NGC5236,KK208,204.15,-29.5708,,178.814032564637,
NGC5236,NGC5264,205.4042,-29.9131,,46.1243215671698,
NGC5236,KK218,206.6667,-29.9781,,14.3990389212069,
NGC5236,HIJ1337-33,204.2542,-33.3631,,5.24000380125602,
NGC5457,dw1350p5441,207.7431,54.6892,,22.8255807897748,
NGC5457,UGC8837,208.6892,53.9043,,78.2854272325518,
