host,ID,ra,dec,morph,re,z,tile,x,y,bands,n_bands,cutout
NGC1808,dw0507m3733,76.8724,-37.5541,,7.489033277410722,,,,,,0,0
NGC1808,dw0510m3717,77.7102,-37.2859,,6.334483231678857,,,,,,0,0
NGC2683,dw0848p3226,132.166,32.4442,,16.400246403093597,,"(223, 245)",5626.836453015493,3918.7659642618855,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0856p3155,134.108,31.9172,,9.60009071628773,,"(227, 244)",538.1330983108692,3401.004626897446,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0846p3300,131.5588,32.9974,,38.34989381681387,,"(221, 246)",8207.445739244815,4952.62291125842,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0846p3348,131.6301,33.8106,,19.972577302777356,,"(218, 248)",2547.004066293618,1331.4255709765685,"['u', 'g', 'r', 'i']",4,0
NGC2683,dw0852p3249,133.1987,32.8288,,7.741513153614425,,"(223, 246)",925.8193049934307,1687.1340056423392,"['u', 'g', 'r', 'i']",4,0
NGC2903,dw0929p2213,142.4777,22.2181,,9.531725879796376,,,,,,0,0
NGC2903,dw0930p1959,142.554,19.9913,,12.754040519612126,,,,,,0,0
NGC2903,dw0930p2143,142.6666,21.724,,6.199403343315508,,,,,,0,0
NGC2903,dw0932p1952,143.0991,19.8754,,7.081758347816975,,,,,,0,0
NGC2903,dw0933p2030,143.3069,20.5152,,10.173438610342895,,,,,,0,0
NGC2903,dw0936p2135,144.0891,21.5993,,7.824311650306521,,,,,,0,0
M81,M82,148.9683,69.6797,,,,"(104, 319)",1737.1137126657136,8495.357815611376,"['g', 'r', 'i', 'z']",4,0
M81,NGC3077,150.8296,68.7339,,65.41051251846979,,"(111, 317)",9233.84250361587,9553.505312581721,"['g', 'r', 'i', 'z']",4,0
M81,NGC2976,146.8146,67.9164,,72.34695226317822,,"(110, 316)",5044.398648969521,3379.9196723956516,"['g', 'i', 'z']",3,0
M81,IC2574,157.1413,68.4328,,187.78667928302133,,"(115, 317)",3202.515931865857,3701.413984527755,"['g', 'r', 'i', 'z']",4,0
M81,ddo82,157.6524,70.6183,,60.3138862810069,,"(105, 321)",2583.0472573040115,7300.012313683553,"['u', 'g', 'r', 'i', 'z']",5,0
M81,IKN,152.0246,68.3992,,65.41622622501403,,"(111, 317)",772.0885449601101,3066.9287123101894,"['g', 'r', 'i', 'z']",4,0
M81,FM1,146.2917,68.765,,42.81851684254127,,"(105, 318)",6444.338941053611,448.3355595400253,"['g', 'r', 'i', 'z']",4,0
M81,kdg64,151.7579,67.8275,,54.65160309566418,,"(114, 316)",7938.0593345526495,1666.6571447083738,"['g', 'i', 'z']",3,0
M81,f8d1,146.1962,67.4386,,58.26266563162442,,"(112, 315)",6032.3915770061185,3811.2863988713025,"['g', 'i', 'z']",3,0
M81,d1014p68,153.7325,68.7575,,19.700860164542608,,"(110, 318)",3181.791570393408,304.4028978292017,"['g', 'r', 'i', 'z']",4,0
M81,KK77,147.5417,67.5067,,54.52018784514663,,"(113, 315)",5740.761309316326,5130.435808180733,"['g', 'i', 'z']",3,0
M81,kdg63,151.2804,66.555,,40.9215662698533,,"(121, 313)",8424.05912321145,6078.017602340609,"['g', 'r', 'i', 'z']",4,0
M81,d0958p66,149.7021,66.8497,,13.07296057322317,,"(117, 314)",5131.217248651439,2087.35320775782,"['g', 'i', 'z']",3,0
M81,ddo78,156.6163,67.6567,,79.75762965105868,,"(120, 315)",6261.647587537516,8038.435150221304,"['g', 'r', 'i', 'z']",4,0
M81,d1028p70,157.1654,70.2336,,17.312530829049916,,"(108, 320)",9718.865831440824,9554.855598921982,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d0955p70,148.8067,70.4081,,18.59811480150412,,"(99, 321)",1638.179707010992,3233.371001090589,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d1041p70,160.32,70.1508,,10.901752086411634,,"(110, 320)",8219.219803378197,7935.282316694994,"['u', 'g', 'r', 'i', 'z']",5,0
M81,HS117,155.355,71.1161,,31.922478462673894,,"(101, 322)",3484.9974633405945,7252.92238283376,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d0926p70,141.6163,70.5067,,14.301407480234964,,"(95, 321)",9407.337984415444,5154.550277650007,"['r', 'i', 'z']",3,0
M81,HO1,145.1346,71.1864,,84.0086273199739,,"(95, 322)",9775.76011386302,8642.399287250004,"['u', 'g', 'r', 'i', 'z']",5,0
M81,d0934p70,143.5154,70.2158,,27.951452414426463,,"(98, 320)",3366.8131202742516,9185.33929982883,"['g', 'r', 'i', 'z']",4,0
NGC3115,dw1000m0741,150.0039,-7.6875,,12.36577735491171,,,,,,0,0
NGC3115,dw1000m0831,150.2289,-8.5305,,8.468990280027839,,,,,,0,0
NGC3115,dw1001m0631,150.3901,-6.5249,,18.430367099372905,,,,,,0,0
NGC3115,dw1001m0814,150.4092,-8.2487,,28.76382945155587,,,,,,0,0
NGC3115,dw1002m0818,150.5043,-8.31,,5.4862394053762,,,,,,0,0
NGC3115,dw1002m0642,150.657,-6.7083,,6.56002972025079,,,,,,0,0
NGC3115,dw1005m0758,151.4233,-7.9817,,30.09646187623073,,,,,,0,0
NGC3115,dw1007m0835,151.8142,-8.5859,,5.004954857466309,,,,,,0,0
NGC3115,dw1007m0830,151.9464,-8.5042,,7.949283856444467,,,,,,0,0
NGC3115,dw1006m0630,151.5634,-6.5057,,4.222361916117031,,,,,,0,0
NGC3115,dw1006m0827,151.6488,-8.4648,,7.688419542661376,,,,,,0,0
NGC3344,dw1042p2415,160.5916,24.2505,,14.65068252111504,,"(292, 229)",2434.2471797714943,166.25341782883243,['u'],1,0
