host,ID,ra,dec,re
NGC5457,[MVA2014] DF 1,210.9375,53.9444,14
NGC5457,[MVA2014] DF 2,212.1562,54.3253,10
NGC5457,[MVA2014] DF 3,210.7737,53.6156,30
NGC5457,[MVA2014] DF 4,211.89083,54.71089,28
NGC5457,[MVA2014] DF 5,211.1171,55.6167,38
NGC5457,[MVA2014] DF 6,212.07792,55.19183,22
NGC5457,[MVA2014] DF 7,211.44792,55.13258,20
