---,ID,ra,dec,re,E_Re,Re-bias,e_Re,f_Re,b/a,E_b/a,b/a-bias,e_b/a,f_b/a,n,E_n,n-bias,e_n,f_n,PA,E_PA,PA-bias,e_PA,f_PA,mu0g,E_mu0g,mu0g-bias,e_mu0g,f_mu0g,mu0r,E_mu0r,mu0r-bias,e_mu0r,f_mu0r,mu0z,E_mu0z,mu0z-bias,e_mu0z,f_mu0z,gmag,E_gmag,gmag-bias,e_gmag,f_gmag,rmag,E_rmag,rmag-bias,e_rmag,f_rmag,zmag,E_zmag,zmag-bias,e_zmag,f_zmag,VC,SFD,Ag,Ar,Az,comp,f_comp,cz,n_cz,sigma,MassTot,sigEnv,Nenv,Ref
SMDG,0000017+325141,0.00704,32.86149,5.82,-0.32,-0.28,1.34,0,0.83,-0.07,-0.01,0.07,0,0.66,-0.06,-0.05,0.25,0,48.19,-19.41,0,20.99,0,25.77,-0.38,0.1,0.08,0,25.49,-0.49,0.14,0.08,0,25.04,-0.44,0.15,0.09,0,20.72,-0.39,0.1,0.06,0,20.44,-0.57,0.16,0.03,0,20,-0.48,0.15,0.06,0,0,0.05,0.16,0.11,0.06,0.42,0,0,none  ,0,0,0,0,D 
SMDG,0000202-402435,0.08434,-40.40966,7.23,-0.24,0.05,0.2,0,0.59,-0.02,0.01,0.02,0,0.7,-0.04,0.01,0.03,0,-88.44,-1.36,0,1.38,0,24.12,-0.18,0.01,0.04,0,23.75,-0.16,0.01,0.05,0,23.62,-0.17,0.02,0.08,0,19.04,-0.17,0,0.05,0,18.67,-0.15,0,0.07,0,18.54,-0.16,-0.01,0.1,0,0,0.01,0.03,0.02,0.01,0.58,0,0,none  ,0,0,0,0,D 
SMDG,0000334+165424,0.13901,16.90655,8.74,-0.27,0.05,0.24,0,0.69,-0.02,0,0.02,0,0.61,-0.04,0.01,0.03,0,-86.38,-2.07,0,2.02,0,24.45,-0.15,0.01,0.04,0,23.87,-0.14,0.01,0.05,0,23.57,-0.14,0.01,0.06,0,18.66,-0.16,0,0.05,0,18.08,-0.14,0,0.05,0,17.78,-0.15,0,0.07,0,0,0.04,0.12,0.08,0.04,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0000453+305356,0.18884,30.89897,5.83,-0.25,0.05,0.21,0,0.53,-0.03,0.01,0.03,0,0.64,-0.06,0.02,0.03,0,57.31,-1.47,0,1.48,0,24.33,-0.18,0.01,0.06,0,24.04,-0.19,0.02,0.07,0,23.9,-0.2,0.02,0.12,0,19.74,-0.13,-0.01,0.07,0,19.46,-0.15,-0.02,0.09,0,19.31,-0.15,-0.01,0.13,0,0,0.04,0.14,0.1,0.05,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0000473-040432,0.19697,-4.07552,13.9,-0.57,-1.81,4.47,0,0.45,-0.05,0,0.05,0,0.89,-0.11,-0.08,0.24,0,7.83,-3.48,0,3.57,0,26.33,-0.48,0.18,0.03,0,25.47,-0.34,0.13,0.07,0,24.93,-0.4,0.17,0.03,0,20.43,-0.58,0.3,-0.04,0,19.57,-0.43,0.2,0.02,0,19.03,-0.48,0.22,0,0,0,0.04,0.14,0.1,0.05,0.14,0,0,none  ,0,0,0,0,D 
SMDG,0000500-040035,0.20818,-4.00959,8.88,-0.45,-0.17,1.15,0,0.37,-0.04,0.01,0.04,0,0.58,-0.07,-0.01,0.13,0,31.3,-1.88,0,1.78,0,25.68,-0.26,0.06,0.09,0,24.97,-0.22,0.04,0.1,0,24.53,-0.22,0.05,0.12,0,20.48,-0.24,0.03,0.09,0,19.77,-0.2,0.01,0.1,0,19.33,-0.19,0.02,0.12,0,0,0.04,0.13,0.09,0.05,0.37,0,0,none  ,0,0,0,0,D 
SMDG,0000588-410921,0.24511,-41.15575,10.77,-0.16,0.02,0.09,0,0.62,-0.01,0,0.01,0,0.26,-0.02,0.01,0,0,64.52,-1,0,0.9,0,24.09,-0.11,-0.01,0.04,0,23.81,-0.12,-0.02,0.05,0,23.64,-0.12,-0.01,0.07,0,17.53,-0.09,-0.02,0.04,0,17.25,-0.1,-0.02,0.05,0,17.08,-0.11,-0.02,0.07,0,0,0.01,0.04,0.03,0.02,0.54,0,0,none  ,0,0,0,0,D 
SMDG,0001278-553133,0.36599,-55.52573,7.62,-0.18,0.06,0.05,0,0.73,-0.02,0,0.02,0,0.5,-0.04,0.02,0,0,70.98,-1.42,0,1.53,0,24,-0.14,0,0.03,0,23.63,-0.13,0,0.04,0,-99.99,-99.99,-99.99,-99.99,1,18.29,-0.13,-0.01,0.04,0,17.92,-0.13,-0.01,0.05,0,-99.99,-99.99,-99.99,-99.99,1,0,0.01,0.04,0.03,0.01,0.56,0,0,none  ,0,0,0,0,D 
SMDG,0001293-441647,0.37193,-44.27973,6.06,0.49,-3.4,8.96,1,0.62,-0.1,-0.02,0.1,1,0.97,0.03,-0.47,1.08,1,49.09,-14.67,0,13.68,1,26.14,-1.3,0.57,-0.05,1,25.42,-1.18,0.51,-0.01,0,24.67,-0.82,0.31,0.04,0,21.83,-1.26,0.65,-0.17,1,21.11,-1.18,0.54,-0.11,1,20.36,-0.82,0.29,0.02,0,0,0.01,0.04,0.03,0.01,0.12,2,0,none  ,0,0,0,0,D 
SMDG,0001295-560102,0.37296,-56.01729,6.09,-0.32,-0.22,1.33,0,0.51,-0.06,0.01,0.06,0,0.64,-0.08,-0.04,0.24,0,-41.65,-3.76,0,3.91,0,25.58,-0.36,0.08,0.1,0,25.05,-0.33,0.08,0.11,0,24.73,-0.35,0.09,0.14,0,20.96,-0.32,0.05,0.1,0,20.42,-0.3,0.04,0.1,0,20.1,-0.34,0.06,0.13,0,0,0.01,0.04,0.03,0.02,0.39,0,0,none  ,0,0,0,0,D 
SMDG,0001301-072434,0.37554,-7.40943,9.21,-0.43,-0.15,1.05,0,0.45,-0.04,0.01,0.04,0,0.55,-0.06,-0.01,0.11,0,-80.83,-2.18,0,2.16,0,25.66,-0.22,0.04,0.09,0,25.06,-0.21,0.03,0.1,0,24.65,-0.22,0.05,0.12,0,20.13,-0.22,0.03,0.09,0,19.53,-0.2,0.01,0.09,0,19.13,-0.2,0.03,0.11,0,0,0.04,0.13,0.09,0.05,0.42,0,0,none  ,0,0,0,0,D 
SMDG,0001310-432737,0.37904,-43.46036,5.66,0.25,-2.95,7.87,1,0.78,-0.09,-0.02,0.09,1,1.54,0.02,-0.54,1.1,1,-38.69,-26.33,0,20.21,1,24.73,-1.18,0.57,0.07,0,24,-1.14,0.54,0.01,0,23.86,-1.2,0.6,-0.03,0,21.33,-0.97,0.47,-0.08,0,20.6,-0.85,0.38,-0.03,0,20.46,-0.97,0.46,-0.06,0,0,0.01,0.03,0.02,0.01,0.18,1,0,none  ,0,0,0,0,D 
SMDG,0001416-511406,0.42335,-51.23488,10.24,-0.06,-1.92,5.52,1,0.64,-0.08,-0.02,0.08,1,0.7,-0.08,-0.14,0.39,1,-82.66,-8.97,0,10.1,1,26.92,-0.77,0.38,-0.06,1,26.11,-0.67,0.3,-0.02,0,25.89,-0.83,0.48,-0.19,0,21,-1.06,0.6,-0.24,1,20.19,-0.96,0.46,-0.14,1,19.98,-1.03,0.59,-0.28,0,0,0.01,0.03,0.02,0.01,0.09,2,0,none  ,0,0,0,0,D 
SMDG,0002131+160947,0.55451,16.16306,6.63,-0.18,-1.15,5.33,0,0.67,-0.06,0,0.06,0,1.26,-0.02,-0.21,0.71,0,-77.49,-6.07,0,6.3,0,24.51,-0.74,0.25,0.02,0,24.01,-0.73,0.25,0.03,0,22.68,-0.33,0.09,0.03,1,20.42,-0.6,0.17,0.05,0,19.91,-0.58,0.17,0.05,0,18.59,-0.17,0.01,0.09,0,0,0.05,0.15,0.1,0.06,0.45,0,0,none  ,0,0,0,0,D 
SMDG,0002158-543748,0.5658,-54.63005,10.4,-0.39,-0.37,2.01,0,0.61,-0.03,0.01,0.03,0,1.16,-0.03,-0.05,0.2,0,-40.19,-2.15,0,2.14,0,24.09,-0.29,0.08,0.03,0,23.43,-0.26,0.07,0.03,0,23.02,-0.23,0.06,0.03,0,18.95,-0.28,0.05,0.06,0,18.29,-0.23,0.04,0.06,0,17.88,-0.21,0.03,0.07,0,0,0.01,0.05,0.03,0.02,0.56,0,0,none  ,0,0,0,0,D 
SMDG,0002267-094709,0.61125,-9.7858,7.69,-0.24,-1.08,4.15,0,0.47,-0.06,0.02,0.06,0,1.21,-0.05,-0.16,0.55,0,74.34,-2.77,0,2.87,0,24.63,-0.61,0.21,0.05,0,23.89,-0.52,0.16,0.05,0,23.42,-0.44,0.14,0.06,0,20.5,-0.45,0.12,0.07,0,19.77,-0.37,0.07,0.09,0,19.3,-0.29,0.05,0.12,0,0,0.04,0.12,0.08,0.05,0.42,0,0,none  ,0,0,0,0,D 
SMDG,0002490+163547,0.70412,16.59652,9.17,-0.37,-0.19,1.09,0,0.92,-0.03,-0.01,0.03,0,0.79,-0.04,-0.03,0.11,0,50.06,-21.48,0,20.86,0,25.04,-0.2,0.06,0.04,0,24.46,-0.2,0.05,0.03,0,24.11,-0.2,0.06,0.04,0,19.1,-0.28,0.08,0.04,0,18.52,-0.25,0.06,0.04,0,18.17,-0.24,0.07,0.05,0,0,0.04,0.12,0.08,0.04,0.52,0,6184,z_est ,36.4,10.93,224,5,D 
SMDG,0003013-341530,0.75532,-34.25839,5.57,-0.33,0,0.52,0,0.84,-0.06,0,0.06,0,0.62,-0.06,-0.01,0.12,0,-48.36,-12.96,0,13.21,0,25.4,-0.25,0.05,0.07,0,24.86,-0.25,0.05,0.07,0,24.64,-0.28,0.07,0.11,0,20.38,-0.25,0.03,0.07,0,19.85,-0.23,0.03,0.07,0,19.63,-0.26,0.05,0.11,0,0,0.01,0.05,0.03,0.02,0.48,0,0,none  ,0,0,0,0,D 
SMDG,0003053-530717,0.77227,-53.12148,5.78,-0.05,-1.41,5.87,0,0.61,-0.09,0,0.09,0,0.88,-0.02,-0.27,0.87,0,-26.61,-10.46,0,9.85,0,25.74,-0.9,0.3,0.04,0,25.1,-0.82,0.27,0.06,0,24.79,-0.78,0.28,0.05,0,21.39,-0.9,0.31,0,0,20.75,-0.8,0.26,0.03,0,20.45,-0.78,0.27,0.04,0,0,0.01,0.05,0.03,0.02,0.26,0,10293,z_est ,51.4,0,609,13,D 
SMDG,0003098-550740,0.79092,-55.12787,5.33,-0.3,0.01,0.47,0,0.52,-0.05,0.01,0.05,0,0.69,-0.08,0,0.11,0,-88.93,-2.63,0,2.49,0,24.83,-0.26,0.04,0.09,0,24.37,-0.24,0.04,0.09,0,24.16,-0.26,0.05,0.14,0,20.53,-0.18,0.01,0.1,0,20.07,-0.17,-0.01,0.11,0,19.87,-0.2,0,0.16,0,0,0.01,0.05,0.03,0.02,0.49,0,0,none  ,0,0,0,0,D 
SMDG,0003193+173804,0.83027,17.63454,5.86,-0.22,-0.5,2.61,0,0.49,-0.07,0.01,0.07,0,0.83,-0.06,-0.11,0.49,0,-65.22,-4.28,0,4.59,0,25.4,-0.57,0.17,0.09,0,24.68,-0.46,0.12,0.1,0,24.16,-0.36,0.09,0.13,0,21.17,-0.5,0.12,0.07,0,20.45,-0.35,0.06,0.1,0,19.93,-0.27,0.04,0.15,0,0,0.02,0.08,0.06,0.03,0.33,0,0,none  ,0,0,0,0,D 
SMDG,0003241+161111,0.8506,16.18649,14.93,-0.64,-0.13,1.24,0,0.81,-0.02,0,0.02,0,0.49,-0.04,0,0.05,0,42.66,-5.3,0,5.38,0,25.65,-0.23,0.03,0.06,0,24.99,-0.19,0.02,0.06,0,24.52,-0.19,0.04,0.05,0,18.36,-0.31,0.06,0.07,0,17.69,-0.28,0.05,0.08,0,17.22,-0.27,0.06,0.07,0,0,0.04,0.15,0.1,0.06,0.39,0,0,none  ,0,0,0,0,D 
SMDG,0003278-022157,0.86598,-2.36582,7.83,-0.31,-0.23,1.38,0,0.65,-0.04,0.01,0.04,0,1.1,-0.03,-0.05,0.21,0,-9.55,-2.72,0,2.82,0,24.14,-0.33,0.08,0.03,0,23.68,-0.31,0.07,0.04,0,23.33,-0.3,0.08,0.05,0,19.44,-0.27,0.04,0.06,0,18.98,-0.26,0.04,0.06,0,18.63,-0.24,0.04,0.08,0,0,0.03,0.11,0.08,0.04,0.55,0,0,none  ,0,0,0,0,D 
SMDG,0004077-140701,1.03188,-14.11707,6.59,-0.34,0.01,0.55,0,0.53,-0.04,0.01,0.04,0,0.52,-0.07,0,0.08,0,5.52,-2.71,0,2.67,0,25.41,-0.21,0.03,0.09,0,24.9,-0.2,0.02,0.11,0,24.77,-0.26,0.06,0.15,0,20.39,-0.19,0.01,0.1,0,19.88,-0.18,0,0.1,0,19.76,-0.24,0.04,0.14,0,0,0.04,0.12,0.08,0.05,0.5,0,0,none  ,0,0,0,0,D 
SMDG,0004118+163159,1.04902,16.53296,12.1,-0.47,-0.1,0.99,0,0.55,-0.02,0,0.02,0,0.77,-0.04,-0.01,0.07,0,33.33,-1.63,0,1.54,0,24.73,-0.17,0.03,0.05,0,24.14,-0.17,0.02,0.05,0,23.76,-0.17,0.03,0.06,0,18.72,-0.19,0.02,0.07,0,18.13,-0.18,0.01,0.07,0,17.74,-0.17,0.01,0.08,0,0,0.04,0.14,0.1,0.05,0.53,0,0,none  ,0,0,0,0,D 
SMDG,0004165+165200,1.06878,16.8664,8.47,-0.38,-0.35,1.52,0,0.65,-0.05,0,0.05,0,0.7,-0.05,-0.04,0.18,0,8.9,-4.82,0,4.85,0,25.47,-0.28,0.06,0.08,0,24.91,-0.27,0.06,0.08,0,24.68,-0.3,0.08,0.1,0,19.94,-0.31,0.07,0.06,0,19.39,-0.3,0.06,0.07,0,19.16,-0.34,0.09,0.09,0,0,0.03,0.11,0.08,0.04,0.47,0,0,none  ,0,0,0,0,D 
SMDG,0004214-540755,1.08933,-54.13183,5.42,-0.17,-0.74,3.55,0,0.8,-0.06,0,0.06,0,1.34,-0.01,-0.21,0.74,0,54.09,-12.25,0,13.34,0,24.18,-0.82,0.29,0,0,23.63,-0.77,0.26,0.02,0,23.32,-0.75,0.26,0.04,0,20.48,-0.53,0.15,0.05,0,19.93,-0.48,0.12,0.06,0,19.62,-0.45,0.11,0.07,0,0,0.01,0.04,0.03,0.02,0.42,0,0,none  ,0,0,0,0,D 
SMDG,0004253-523754,1.10524,-52.63176,7.81,-0.18,-0.94,3.81,0,0.81,-0.07,-0.02,0.07,0,0.62,-0.05,-0.1,0.36,0,-59.2,-22.36,0,22.2,0,26.49,-0.58,0.2,0.02,0,25.91,-0.55,0.19,0.05,0,25.43,-0.54,0.22,0.02,0,20.77,-0.8,0.31,-0.05,0,20.2,-0.72,0.27,-0.02,0,19.71,-0.63,0.28,-0.03,0,0,0.02,0.05,0.03,0.02,0.22,0,10121,z_est ,58,0,398,9,D 
SMDG,0004279+265746,1.11625,26.96276,5.38,-0.34,-0.12,1.11,0,0.62,-0.07,0,0.07,0,0.5,-0.07,-0.02,0.2,0,-12.12,-6.53,0,6.45,0,25.92,-0.36,0.07,0.11,0,25.61,-0.48,0.12,0.09,0,24.88,-0.29,0.06,0.15,0,21.15,-0.4,0.07,0.09,0,20.83,-0.51,0.12,0.07,0,20.1,-0.3,0.05,0.13,0,0,0.05,0.17,0.11,0.06,0.36,0,0,none  ,0,0,0,0,D 
SMDG,0004301+165012,1.12541,16.83654,10.8,-0.26,-0.62,2.41,0,0.95,-0.04,0,0.04,0,0.84,-0.03,-0.05,0.16,0,-82.75,-31.13,0,33.61,0,25.14,-0.21,0.07,0.02,0,24.48,-0.21,0.06,0.02,0,23.98,-0.2,0.05,0.03,0,18.89,-0.37,0.13,0.02,0,18.23,-0.33,0.09,0.02,0,17.73,-0.27,0.08,0.04,0,0,0.04,0.12,0.08,0.05,0.5,0,0,none  ,0,0,0,0,D 
SMDG,0004371-330904,1.15462,-33.15106,7,-0.29,0.04,0.24,0,0.46,-0.03,0.01,0.03,0,0.71,-0.05,0.01,0.03,0,-53.89,-0.99,0,1.01,0,24.15,-0.17,0.02,0.05,0,24.02,-0.19,0.03,0.07,0,23.89,-0.2,0.03,0.11,0,19.44,-0.14,-0.01,0.07,0,19.31,-0.15,-0.01,0.09,0,19.17,-0.15,-0.01,0.14,0,0,0.01,0.04,0.03,0.01,0.58,0,0,none  ,0,0,0,0,D 
SMDG,0004466-043513,1.1943,-4.5869,8.57,-0.39,-0.18,1.06,0,0.67,-0.05,0,0.05,0,0.44,-0.06,-0.01,0.11,0,-43.06,-5.69,0,5.69,0,26.19,-0.3,0.06,0.1,0,25.34,-0.21,0.03,0.09,0,24.91,-0.22,0.05,0.1,0,20.25,-0.33,0.07,0.06,0,19.39,-0.22,0.03,0.08,0,18.97,-0.24,0.05,0.1,0,1,0.03,0.1,0.07,0.04,0.36,0,0,none  ,0,0,0,0,D 
SMDG,0004530+053332,1.2209,5.55875,5.82,-0.29,-0.07,0.75,0,0.57,-0.05,0.01,0.05,0,0.88,-0.06,-0.02,0.17,0,19.78,-2.76,0,2.66,0,24.53,-0.29,0.06,0.07,0,24.14,-0.32,0.07,0.07,0,23.84,-0.32,0.07,0.11,0,20.25,-0.21,0.01,0.09,0,19.86,-0.21,0.01,0.1,0,19.56,-0.22,0.02,0.14,0,0,0.03,0.11,0.07,0.04,0.51,0,0,none  ,0,0,0,0,D 
SMDG,0005108-522542,1.29509,-52.42829,5.48,-0.24,-0.35,1.82,0,0.92,-0.05,0,0.05,0,1.19,-0.03,-0.12,0.4,0,-71.45,-28.79,0,30.35,0,24.34,-0.54,0.18,0,0,23.74,-0.5,0.16,0.01,0,23.35,-0.44,0.15,0.03,0,20.2,-0.4,0.11,0.04,0,19.59,-0.35,0.09,0.04,0,19.2,-0.31,0.07,0.06,0,0,0.02,0.05,0.03,0.02,0.49,0,10222,z_est ,36.8,10.94,402,9,D 
SMDG,0005158+155132,1.31594,15.85897,6.84,-0.24,-0.68,2.65,1,0.57,-0.08,-0.01,0.08,1,0.46,-0.07,-0.11,0.46,1,-52.75,-9.17,0,9,1,26.88,-0.83,0.31,-0.01,1,26.15,-0.63,0.22,0.04,1,-99.99,-99.99,-99.99,-99.99,1,21.61,-0.92,0.37,-0.08,1,20.88,-0.78,0.28,-0.01,0,-99.99,-99.99,-99.99,-99.99,1,0,0.05,0.16,0.11,0.06,0.16,2,0,none  ,0,0,0,0,D 
SMDG,0005174-600821,1.32253,-60.13914,7.71,-0.25,0.05,0.12,0,0.48,-0.02,0.01,0.02,0,0.64,-0.05,0.02,0.01,0,56.13,-0.86,0,0.85,0,24.03,-0.15,0.01,0.04,0,23.92,-0.15,0.01,0.06,0,23.6,-0.16,0.01,0.08,0,18.95,-0.13,-0.01,0.06,0,18.84,-0.13,-0.01,0.07,0,18.52,-0.14,-0.01,0.1,0,0,0.01,0.04,0.02,0.01,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0005367-442226,1.40275,-44.37396,6.8,-0.25,0.05,0.19,0,0.73,-0.02,0,0.02,0,0.74,-0.04,0.01,0.03,0,-85.86,-2.36,0,2.32,0,24.09,-0.17,0.01,0.04,0,23.6,-0.16,0.02,0.04,0,23.33,-0.16,0.02,0.06,0,18.98,-0.16,0,0.05,0,18.5,-0.15,0,0.05,0,18.23,-0.14,0,0.07,0,0,0.01,0.04,0.03,0.01,0.58,0,11877,z_est ,47.3,11.33,189,5,D 
SMDG,0005453-034258,1.43874,-3.71612,9.93,-0.29,-0.56,2.53,0,0.65,-0.03,0.01,0.03,0,1.25,-0.02,-0.07,0.27,0,70.76,-2.68,0,2.78,0,24.03,-0.35,0.11,0.02,0,23.44,-0.33,0.1,0.03,0,23.04,-0.29,0.09,0.02,0,19.07,-0.33,0.08,0.05,0,18.49,-0.29,0.06,0.05,0,18.09,-0.26,0.06,0.06,0,0,0.04,0.12,0.08,0.05,0.56,0,0,none  ,0,0,0,0,D 
SMDG,0005512-500020,1.46346,-50.00562,8.22,-0.35,0.03,0.31,0,0.41,-0.02,0.01,0.02,0,0.7,-0.05,0.01,0.04,0,26.95,-0.99,0,0.96,0,24.43,-0.18,0.02,0.06,0,24.09,-0.18,0.02,0.07,0,23.93,-0.2,0.03,0.1,0,19.47,-0.14,-0.01,0.08,0,19.14,-0.14,-0.01,0.09,0,18.98,-0.16,0,0.12,0,0,0.01,0.04,0.03,0.02,0.55,0,10045,z_est ,48,11.37,246,10,D 
SMDG,0006084-132723,1.53507,-13.45652,6.21,-0.34,0.02,0.55,0,0.68,-0.05,0,0.05,0,0.7,-0.06,-0.01,0.1,0,67.09,-4.21,0,4.02,0,24.93,-0.25,0.04,0.07,0,24.39,-0.22,0.03,0.07,0,24.17,-0.25,0.04,0.11,0,20.02,-0.21,0.02,0.08,0,19.49,-0.19,0.01,0.09,0,19.27,-0.21,0.01,0.12,0,0,0.03,0.1,0.07,0.04,0.53,0,0,none  ,0,0,0,0,D 
SMDG,0006323+043126,1.63442,4.52396,7.95,0.14,-2.32,6.96,0,0.54,-0.08,0,0.08,0,0.88,-0.02,-0.28,0.67,0,-69.43,-6.93,0,7.46,0,26.15,-0.79,0.33,0.01,0,25.48,-0.7,0.29,0.03,0,25.32,-0.87,0.41,-0.05,0,21.24,-0.94,0.45,-0.09,0,20.57,-0.85,0.36,-0.06,0,20.41,-0.99,0.51,-0.14,0,0,0.03,0.1,0.07,0.04,0.17,0,0,none  ,0,0,0,0,D 
SMDG,0006347-122815,1.6445,-12.47077,5.52,-0.26,-0.19,1.46,1,0.45,-0.07,0,0.07,1,0.14,-0.09,-0.03,0.26,1,45.48,-8.61,0,5.9,1,27.33,-1.05,0.37,-0.04,1,26.5,-0.77,0.23,-0.02,1,-99.99,-99.99,-99.99,-99.99,1,22.5,-0.98,0.44,-0.19,1,21.67,-0.95,0.31,-0.05,1,-99.99,-99.99,-99.99,-99.99,1,0,0.04,0.12,0.08,0.04,0.05,2,0,none  ,0,0,0,0,D 
SMDG,0006418+180541,1.67435,18.0947,5.86,-0.08,-1.56,6.24,0,0.62,-0.08,0.01,0.08,0,1.31,-0.02,-0.31,0.97,0,-75.97,-7.03,0,7.13,0,24.6,-1.04,0.37,0.04,0,23.95,-0.93,0.31,0.05,0,23.46,-0.79,0.26,0.06,0,20.94,-0.72,0.23,0.04,0,20.3,-0.61,0.18,0.05,0,19.81,-0.48,0.12,0.1,0,0,0.04,0.12,0.09,0.05,0.34,0,0,none  ,0,0,0,0,D 
SMDG,0006427+043419,1.67787,4.57196,9.44,-0.34,-0.06,0.75,0,0.77,-0.02,0,0.02,0,0.97,-0.03,-0.01,0.08,0,-68.19,-2.95,0,3.2,0,24.03,-0.2,0.04,0.03,0,23.67,-0.19,0.04,0.03,0,23.43,-0.21,0.05,0.05,0,18.52,-0.2,0.02,0.05,0,18.16,-0.21,0.03,0.05,0,17.92,-0.22,0.03,0.06,0,0,0.03,0.09,0.06,0.04,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0006494-105502,1.70563,-10.9173,7.63,-0.31,0.03,0.39,0,0.87,-0.02,0,0.02,0,0.88,-0.04,0,0.05,0,-31.62,-6.08,0,6.1,0,24.09,-0.18,0.03,0.03,0,23.76,-0.17,0.03,0.03,0,23.46,-0.19,0.04,0.04,0,18.76,-0.17,0.01,0.05,0,18.43,-0.18,0.01,0.05,0,18.13,-0.18,0.02,0.07,0,0,0.04,0.13,0.09,0.05,0.57,0,0,none  ,0,0,0,0,D 
SMDG,0006580+050308,1.74147,5.05226,7.23,-0.24,0.04,0.24,0,0.63,-0.02,0.01,0.02,0,0.77,-0.04,0,0.04,0,-38.65,-1.67,0,1.67,0,24.05,-0.19,0.02,0.04,0,23.62,-0.17,0.02,0.04,0,23.25,-0.16,0.02,0.07,0,19.01,-0.17,0,0.05,0,18.58,-0.15,0,0.06,0,18.21,-0.16,0,0.07,0,0,0.03,0.09,0.07,0.04,0.58,0,0,none  ,0,0,0,0,D 
SMDG,0007386+022905,1.91081,2.48482,5.43,-0.22,0.04,0.21,0,0.58,-0.03,0.01,0.03,0,0.7,-0.06,0.01,0.05,0,48.4,-1.91,0,1.87,0,24.27,-0.19,0.02,0.06,0,23.85,-0.2,0.02,0.07,0,23.67,-0.2,0.02,0.1,0,19.82,-0.15,-0.01,0.07,0,19.4,-0.15,-0.02,0.09,0,19.22,-0.15,-0.01,0.12,0,0,0.02,0.06,0.04,0.02,0.56,0,0,none  ,0,0,0,0,D 
SMDG,0007445-500956,1.93543,-50.16563,5.93,-0.28,-0.39,2.33,0,0.72,-0.06,0,0.06,0,0.97,-0.04,-0.1,0.41,0,80.86,-7.59,0,7.58,0,24.86,-0.5,0.13,0.06,0,24.07,-0.37,0.09,0.05,0,23.63,-0.33,0.08,0.08,0,20.42,-0.43,0.09,0.07,0,19.63,-0.3,0.04,0.08,0,19.19,-0.24,0.02,0.1,0,0,0.01,0.05,0.03,0.02,0.47,0,10306,z_est ,40.2,11.08,366,23,D 
SMDG,0008065+325420,2.02717,32.90564,5.41,-0.31,-0.03,0.64,0,0.72,-0.05,0,0.05,0,0.77,-0.06,-0.02,0.16,0,42.9,-6.02,0,5.57,0,24.9,-0.29,0.06,0.07,0,24.34,-0.28,0.06,0.07,0,23.98,-0.27,0.05,0.1,0,20.33,-0.24,0.02,0.08,0,19.77,-0.22,0.02,0.09,0,19.42,-0.21,0.01,0.12,0,0,0.04,0.14,0.1,0.05,0.5,0,4886,z_est ,20.2,10.04,114,6,D 
SMDG,0008440-064947,2.18331,-6.82966,7.99,-0.2,0.02,0.11,0,0.56,-0.02,0,0.02,0,0.3,-0.05,0.02,0,0,86.82,-1.25,0,1.31,0,24.94,-0.15,0,0.06,0,24.6,-0.14,0,0.08,0,24.14,-0.14,0,0.09,0,19.18,-0.14,0,0.06,0,18.84,-0.14,0,0.07,0,18.37,-0.13,-0.01,0.08,0,0,0.03,0.1,0.07,0.04,0.56,0,0,none  ,0,0,0,0,D 
SMDG,0008583-564252,2.24309,-56.71432,6.47,-0.18,0.05,0.09,0,0.49,-0.02,0.01,0.02,0,0.55,-0.05,0.02,0,0,-71.91,-0.87,0,0.88,0,24.04,-0.14,0,0.05,0,23.72,-0.14,0,0.06,0,23.55,-0.14,0,0.09,0,19.19,-0.11,-0.01,0.06,0,18.87,-0.12,-0.01,0.07,0,18.69,-0.12,-0.01,0.1,0,0,0.01,0.04,0.03,0.02,0.57,0,9677,z_est ,38.6,11.04,850,15,D 
SMDG,0008589-532717,2.24551,-53.45467,6.2,-0.13,-1.17,5.3,0,0.76,-0.07,-0.01,0.07,0,1.08,-0.01,-0.23,0.7,0,-87.99,-12.74,0,13.77,0,25.08,-0.75,0.24,0.04,0,24.36,-0.61,0.2,0.05,0,24.05,-0.6,0.19,0.07,0,20.69,-0.69,0.22,0.02,0,19.97,-0.57,0.15,0.05,0,19.65,-0.53,0.14,0.07,0,0,0.01,0.05,0.03,0.02,0.4,0,10679,z_est ,49.1,11.44,558,7,D 
SMDG,0009126+033137,2.30248,3.52705,5.38,-0.29,0.01,0.5,0,0.55,-0.04,0.01,0.04,0,0.82,-0.07,-0.01,0.12,0,-10.43,-2.39,0,2.29,0,24.41,-0.26,0.05,0.07,0,23.98,-0.26,0.05,0.08,0,23.79,-0.28,0.05,0.12,0,20.25,-0.18,0,0.09,0,19.82,-0.17,-0.01,0.1,0,19.63,-0.19,0,0.15,0,0,0.02,0.08,0.06,0.03,0.52,0,0,none  ,0,0,0,0,D 
