---,ID,ra,dec,re,E_Re,Re-bias,e_Re,f_Re,b/a,E_b/a,b/a-bias,e_b/a,f_b/a,n,E_n,n-bias,e_n,f_n,PA,E_PA,PA-bias,e_PA,f_PA,mu0g,E_mu0g,mu0g-bias,e_mu0g,f_mu0g,mu0r,E_mu0r,mu0r-bias,e_mu0r,f_mu0r,mu0z,E_mu0z,mu0z-bias,e_mu0z,f_mu0z,gmag,E_gmag,gmag-bias,e_gmag,f_gmag,rmag,E_rmag,rmag-bias,e_rmag,f_rmag,zmag,E_zmag,zmag-bias,e_zmag,f_zmag,VC,SFD,Ag,Ar,Az,comp,f_comp,cz,n_cz,sigma,MassTot,sigEnv,Nenv,Ref
SMDG,0237555-061523,39.48125,-6.25649,11.27,-0.38,-0.04,0.66,0,0.74,-0.02,0,0.02,0,0.85,-0.03,-0.01,0.05,0,53.76,-2.28,0,2.25,0,24.13,-0.16,0.02,0.04,0,23.67,-0.16,0.02,0.04,0,23.36,-0.16,0.02,0.05,0,18.08,-0.18,0.01,0.05,0,17.62,-0.19,0.01,0.06,0,17.31,-0.17,0.02,0.06,0,0,0.03,0.1,0.07,0.04,0.57,0,1737,specz ,16.6,9.76,0,0,D 
SMDG,0237592-012039,39.49671,-1.34426,6.52,-0.25,0.03,0.31,0,0.59,-0.03,0.01,0.03,0,0.81,-0.05,0,0.06,0,58.49,-1.8,0,1.77,0,24.13,-0.2,0.03,0.05,0,23.57,-0.19,0.03,0.05,0,23.24,-0.18,0.02,0.07,0,19.45,-0.17,-0.01,0.07,0,18.89,-0.15,-0.01,0.07,0,18.56,-0.15,-0.01,0.09,0,0,0.03,0.1,0.07,0.04,0.58,0,0,none  ,0,0,0,0,D 
SMDG,0238220-011927,39.59152,-1.32421,10.3,-0.41,-0.08,0.84,0,0.68,-0.02,0,0.02,0,0.84,-0.04,-0.01,0.08,0,-39.3,-2.41,0,2.37,0,24.48,-0.19,0.03,0.04,0,23.87,-0.17,0.03,0.04,0,23.48,-0.17,0.03,0.06,0,18.71,-0.21,0.02,0.06,0,18.1,-0.19,0.01,0.06,0,17.71,-0.17,0.01,0.07,0,0,0.03,0.1,0.07,0.04,0.56,0,0,none  ,0,0,0,0,D 
SMDG,0238236-081318,39.59815,-8.22159,5.86,0.37,-2.88,8.64,1,0.52,-0.1,0,0.1,1,1.07,0.01,-0.5,1.16,1,-73.1,-9.3,0,8.62,1,25.92,-1.42,0.63,-0.03,1,25.2,-1.28,0.57,-0.02,1,24.81,-1.19,0.54,-0.04,1,22.05,-1.22,0.63,-0.18,1,21.32,-1.13,0.53,-0.1,1,20.93,-1.07,0.49,-0.09,0,0,0.03,0.09,0.06,0.03,0.09,2,0,none  ,0,0,0,0,D 
SMDG,0238296+015114,39.62342,1.85393,5.73,-0.32,-0.09,0.71,0,0.46,-0.05,0.01,0.05,0,0.7,-0.08,-0.01,0.16,0,-12.42,-2.59,0,2.52,0,25.08,-0.29,0.05,0.09,0,24.51,-0.27,0.05,0.1,0,24.16,-0.26,0.05,0.14,0,20.78,-0.22,0.01,0.11,0,20.21,-0.19,0,0.12,0,19.86,-0.2,0,0.16,0,0,0.03,0.1,0.07,0.04,0.44,0,0,none  ,0,0,0,0,D 
SMDG,0238298-075533,39.62405,-7.9257,14.85,-0.68,-1.1,3.18,0,0.5,-0.04,0,0.04,0,0.78,-0.06,-0.04,0.16,0,-42.99,-2.66,0,2.68,0,25.91,-0.27,0.08,0.07,0,25.37,-0.25,0.07,0.07,0,24.98,-0.36,0.14,0.04,0,19.58,-0.37,0.14,0.05,0,19.04,-0.36,0.13,0.05,0,18.64,-0.44,0.19,0.02,0,0,0.03,0.08,0.06,0.03,0.29,0,0,none  ,0,0,0,0,D 
SMDG,0238356-003801,39.64815,-0.63348,8.38,-0.39,-0.28,1.3,0,0.68,-0.05,0,0.05,0,0.65,-0.05,-0.03,0.15,0,1.76,-5.21,0,5.38,0,25.55,-0.26,0.06,0.08,0,25.04,-0.26,0.05,0.08,0,24.73,-0.27,0.07,0.1,0,19.93,-0.3,0.06,0.07,0,19.41,-0.3,0.06,0.07,0,19.1,-0.32,0.08,0.09,0,0,0.03,0.1,0.07,0.04,0.46,0,0,none  ,0,0,0,0,D 
SMDG,0238405+020326,39.66882,2.05732,8.13,-0.31,-0.66,2.82,0,0.62,-0.06,0,0.06,0,0.63,-0.06,-0.07,0.3,0,-68.85,-6.38,0,6.51,0,26.11,-0.43,0.13,0.08,0,25.64,-0.45,0.13,0.07,0,25.71,-0.77,0.39,-0.08,0,20.63,-0.52,0.16,0.04,0,20.16,-0.55,0.17,0.03,0,20.23,-0.87,0.45,-0.14,0,0,0.03,0.1,0.07,0.04,0.32,0,0,none  ,0,0,0,0,D 
SMDG,0238419-631024,39.67465,-63.17342,5.34,0.37,-2.74,8.42,0,0.67,-0.1,-0.02,0.1,0,0.98,0.02,-0.46,1.16,0,14.34,-17.29,0,17.37,1,25.9,-1.29,0.55,-0.02,0,25.22,-1.16,0.48,0,0,24.85,-1.07,0.44,-0.01,0,21.8,-1.23,0.59,-0.12,1,21.12,-1.14,0.47,-0.07,0,20.74,-1.06,0.44,-0.05,0,0,0.03,0.1,0.07,0.04,0.16,0,0,none  ,0,0,0,0,D 
SMDG,0238468-061412,39.69507,-6.23655,6.68,-0.32,-0.03,0.7,0,0.83,-0.04,0,0.04,0,0.9,-0.05,-0.02,0.13,0,30.5,-7.43,0,7.59,0,24.52,-0.26,0.06,0.04,0,23.78,-0.2,0.04,0.04,0,23.32,-0.2,0.04,0.05,0,19.55,-0.23,0.03,0.06,0,18.82,-0.19,0.01,0.06,0,18.35,-0.17,0.01,0.07,0,0,0.03,0.09,0.06,0.03,0.55,0,0,none  ,0,0,0,0,D 
SMDG,0238550-165742,39.72898,-16.96169,38.26,-99.99,-99.99,-99.99,1,0.61,-99.99,-99.99,-99.99,1,1.34,-99.99,-99.99,-99.99,1,-72.82,-99.99,-99.99,-99.99,1,26.5,-99.99,-99.99,-99.99,1,26,-99.99,-99.99,-99.99,1,25.93,-99.99,-99.99,-99.99,1,18.85,-99.99,-99.99,-99.99,1,18.35,-99.99,-99.99,-99.99,1,18.28,-99.99,-99.99,-99.99,1,1,0.03,0.11,0.08,0.04,-99.99,1,0,none  ,0,0,0,0,D 
SMDG,0239078-072705,39.78269,-7.45143,5.77,-0.18,-0.9,4.53,0,0.46,-0.08,0.01,0.08,0,0.64,-0.07,-0.16,0.73,0,46.2,-7.25,0,6.06,0,26.22,-0.96,0.33,0.04,1,25.67,-0.96,0.3,0.04,0,25.49,-0.98,0.41,-0.06,0,21.81,-0.85,0.27,0.01,1,21.26,-0.81,0.28,0.02,1,21.08,-0.92,0.39,-0.08,1,0,0.02,0.08,0.05,0.03,0.18,2,0,none  ,0,0,0,0,D 
SMDG,0239104+015450,39.79321,1.91391,7.07,-0.26,-0.09,0.64,0,0.98,-0.04,0.02,0.04,0,0.85,-0.05,-0.02,0.09,0,-68.35,-42.64,0,40.55,0,24.66,-0.22,0.06,0.03,0,23.98,-0.17,0.05,0.02,0,23.56,-0.2,0.04,0.03,0,19.31,-0.22,0.04,0.03,0,18.64,-0.18,0.03,0.04,0,18.21,-0.19,0.02,0.05,0,0,0.04,0.12,0.08,0.04,0.55,0,0,none  ,0,0,0,0,D 
SMDG,0239126-080826,39.80269,-8.14044,11.72,-0.43,-0.6,2.62,0,0.8,-0.04,-0.01,0.04,0,0.62,-0.05,-0.04,0.15,0,-68.98,-8.5,0,8.68,0,25.94,-0.29,0.08,0.05,0,25.45,-0.27,0.08,0.05,0,25.2,-0.4,0.17,0.01,0,19.36,-0.45,0.15,0.03,0,18.88,-0.46,0.15,0.03,0,18.63,-0.55,0.23,-0.01,0,0,0.03,0.08,0.06,0.03,0.38,0,0,none  ,0,0,0,0,D 
SMDG,0239150-080657,39.8127,-8.11589,13.46,-0.39,-0.02,0.75,0,0.87,-0.02,0,0.02,0,0.65,-0.02,0,0.04,0,-77.61,-4.24,0,4.39,0,24.35,-0.15,0.01,0.03,0,23.78,-0.17,0.01,0.03,0,23.34,-0.15,0.01,0.04,0,17.42,-0.21,0.02,0.04,0,16.85,-0.23,0.02,0.05,0,16.42,-0.19,0.01,0.05,1,0,0.03,0.08,0.06,0.03,0.56,0,1451,specz ,16.9,9.76,0,0,D 
