SMDG0001301-072434   0.37554  -7.40943   9.21  -0.43  -0.15   1.05 0 0.45  -0.04   0.01   0.04 0 0.55  -0.06  -0.01   0.11 0 -80.83  -2.18   0.00   2.16 0  25.66  -0.22   0.04   0.09 0  25.06  -0.21   0.03   0.10 0  24.65  -0.22   0.05   0.12 0  20.13  -0.22   0.03   0.09 0  19.53  -0.20   0.01   0.09 0  19.13  -0.20   0.03   0.11 0 0 0.04 0.13 0.09 0.05   0.42 0     0 none     0.0  0.00    0   0 D
SMDG0001310-432737   0.37904 -43.46036   5.66   0.25  -2.95   7.87 1 0.78  -0.09  -0.02   0.09 1 1.54   0.02  -0.54   1.10 1 -38.69 -26.33   0.00  20.21 1  24.73  -1.18   0.57   0.07 0  24.00  -1.14   0.54   0.01 0  23.86  -1.20   0.60  -0.03 0  21.33  -0.97   0.47  -0.08 0  20.60  -0.85   0.38  -0.03 0  20.46  -0.97   0.46  -0.06 0 0 0.01 0.03 0.02 0.01   0.18 1     0 none     0.0  0.00    0   0 D
SMDG0001416-511406   0.42335 -51.23488  10.24  -0.06  -1.92   5.52 1 0.64  -0.08  -0.02   0.08 1 0.70  -0.08  -0.14   0.39 1 -82.66  -8.97   0.00  10.10 1  26.92  -0.77   0.38  -0.06 1  26.11  -0.67   0.30  -0.02 0  25.89  -0.83   0.48  -0.19 0  21.00  -1.06   0.60  -0.24 1  20.19  -0.96   0.46  -0.14 1  19.98  -1.03   0.59  -0.28 0 0 0.01 0.03 0.02 0.01   0.09 2     0 none     0.0  0.00    0   0 D
SMDG0002131+160947   0.55451  16.16306   6.63  -0.18  -1.15   5.33 0 0.67  -0.06   0.00   0.06 0 1.26  -0.02  -0.21   0.71 0 -77.49  -6.07   0.00   6.30 0  24.51  -0.74   0.25   0.02 0  24.01  -0.73   0.25   0.03 0  22.68  -0.33   0.09   0.03 1  20.42  -0.60   0.17   0.05 0  19.91  -0.58   0.17   0.05 0  18.59  -0.17   0.01   0.09 0 0 0.05 0.15 0.10 0.06   0.45 0     0 none     0.0  0.00    0   0 D
SMDG0002158-543748   0.56580 -54.63005  10.40  -0.39  -0.37   2.01 0 0.61  -0.03   0.01   0.03 0 1.16  -0.03  -0.05   0.20 0 -40.19  -2.15   0.00   2.14 0  24.09  -0.29   0.08   0.03 0  23.43  -0.26   0.07   0.03 0  23.02  -0.23   0.06   0.03 0  18.95  -0.28   0.05   0.06 0  18.29  -0.23   0.04   0.06 0  17.88  -0.21   0.03   0.07 0 0 0.01 0.05 0.03 0.02   0.56 0     0 none     0.0  0.00    0   0 D
SMDG0002267-094709   0.61125  -9.78580   7.69  -0.24  -1.08   4.15 0 0.47  -0.06   0.02   0.06 0 1.21  -0.05  -0.16   0.55 0  74.34  -2.77   0.00   2.87 0  24.63  -0.61   0.21   0.05 0  23.89  -0.52   0.16   0.05 0  23.42  -0.44   0.14   0.06 0  20.50  -0.45   0.12   0.07 0  19.77  -0.37   0.07   0.09 0  19.30  -0.29   0.05   0.12 0 0 0.04 0.12 0.08 0.05   0.42 0     0 none     0.0  0.00    0   0 D
SMDG0002490+163547   0.70412  16.59652   9.17  -0.37  -0.19   1.09 0 0.92  -0.03  -0.01   0.03 0 0.79  -0.04  -0.03   0.11 0  50.06 -21.48   0.00  20.86 0  25.04  -0.20   0.06   0.04 0  24.46  -0.20   0.05   0.03 0  24.11  -0.20   0.06   0.04 0  19.10  -0.28   0.08   0.04 0  18.52  -0.25   0.06   0.04 0  18.17  -0.24   0.07   0.05 0 0 0.04 0.12 0.08 0.04   0.52 0  6184 z_est   36.4 10.93  224   5 D
SMDG0003013-341530   0.75532 -34.25839   5.57  -0.33   0.00   0.52 0 0.84  -0.06  -0.00   0.06 0 0.62  -0.06  -0.01   0.12 0 -48.36 -12.96   0.00  13.21 0  25.40  -0.25   0.05   0.07 0  24.86  -0.25   0.05   0.07 0  24.64  -0.28   0.07   0.11 0  20.38  -0.25   0.03   0.07 0  19.85  -0.23   0.03   0.07 0  19.63  -0.26   0.05   0.11 0 0 0.01 0.05 0.03 0.02   0.48 0     0 none     0.0  0.00    0   0 D
SMDG0003053-530717   0.77227 -53.12148   5.78  -0.05  -1.41   5.87 0 0.61  -0.09  -0.00   0.09 0 0.88  -0.02  -0.27   0.87 0 -26.61 -10.46   0.00   9.85 0  25.74  -0.90   0.30   0.04 0  25.10  -0.82   0.27   0.06 0  24.79  -0.78   0.28   0.05 0  21.39  -0.90   0.31  -0.00 0  20.75  -0.80   0.26   0.03 0  20.45  -0.78   0.27   0.04 0 0 0.01 0.05 0.03 0.02   0.26 0 10293 z_est   51.4  0.00  609  13 D
SMDG0003098-550740   0.79092 -55.12787   5.33  -0.30   0.01   0.47 0 0.52  -0.05   0.01   0.05 0 0.69  -0.08   0.00   0.11 0 -88.93  -2.63   0.00   2.49 0  24.83  -0.26   0.04   0.09 0  24.37  -0.24   0.04   0.09 0  24.16  -0.26   0.05   0.14 0  20.53  -0.18   0.01   0.10 0  20.07  -0.17  -0.01   0.11 0  19.87  -0.20   0.00   0.16 0 0 0.01 0.05 0.03 0.02   0.49 0     0 none     0.0  0.00    0   0 D
