tile,bands,u_n_valid_pixels,u_sum_pixel_values,u_sum_pixel_values_squared,u_min,u_max,u_frac_zeros,u_kurtosis,g_n_valid_pixels,g_sum_pixel_values,g_sum_pixel_values_squared,g_min,g_max,g_frac_zeros,g_kurtosis,r_n_valid_pixels,r_sum_pixel_values,r_sum_pixel_values_squared,r_min,r_max,r_frac_zeros,r_kurtosis,i_n_valid_pixels,i_sum_pixel_values,i_sum_pixel_values_squared,i_min,i_max,i_frac_zeros,i_kurtosis,z_n_valid_pixels,z_sum_pixel_values,z_sum_pixel_values_squared,z_min,z_max,z_frac_zeros,z_kurtosis
"(146, 324)",ugriz,100000000.0,167622469.99328938,2723434193781.8,-5556.5869140625,49112.71875,0.00302228,41420.44333014933,100000000.0,7600176.860740752,1189099119.6588786,-109.18598175048828,1660.8621826171875,0.0,44515.8522540615,100000000.0,387371964.07747465,2402964453231.2637,-2478.17822265625,13659.130859375,0.0021766,3113.8851960795905,100000000.0,36570154668.493996,1.62927590567051e+16,-111777.1953125,628890.0625,0.0,1258.6210173025206,100000000.0,16938333.853130504,4287089042.2869263,-47.258506774902344,2553.643310546875,0.0,20706.86216117257
"(314, 280)",ugriz,100000000.0,140992120.79003966,2187997515836.796,-7739.94677734375,57084.12109375,1.78e-05,67634.6030003668,100000000.0,6023263.750122528,744262955.1118516,-60.826053619384766,1519.6654052734375,0.0,46795.61800753143,100000000.0,298093112.59014225,1707720785496.8574,-2419.17138671875,13949.47265625,1.252e-05,4529.664673535665,100000000.0,25110135208.533993,1.2007618880368278e+16,-129153.890625,622627.375,0.0,1959.494936077478,100000000.0,8816899.650131619,63079296811.480446,-526.5040283203125,2144.5654296875,0.0,202.07321714317365
"(167, 267)",ugriz,100000000.0,209470348.16286993,2661679075026.269,-4239.71728515625,38167.6484375,1.742e-05,26966.132587096934,100000000.0,5395127795.503725,10418678006508.902,-87.327392578125,5390.67529296875,0.0,82.32248450809426,100000000.0,488982678.2325612,2325185858497.2993,-1867.064697265625,11089.4326171875,0.00011366,1978.8413512245477,100000000.0,71921563903.79802,5.9962810871116664e+16,-281114.21875,1168210.5,0.01961906,1180.4223065014273,100000000.0,30278621.283680975,9152771493.516148,-20.2374267578125,2710.54443359375,0.0,10187.47049776803
"(387, 270)",ugriz,100000000.0,544196404.1075974,2182072869620.179,-4532.16796875,47886.86328125,0.142663,29029.22748346496,100000000.0,18330096.330293063,2665508471.9698386,-32.24123764038086,1584.454833984375,0.0,9200.97467167728,100000000.0,948913409.4771916,4639756424363.24,-2424.7314453125,13597.1337890625,0.00013434,1410.6181682103768,100000000.0,99455267439.72969,6.87155975248994e+16,-225688.5,1037176.375,0.00376444,715.3792530447015,100000000.0,26813870.974262957,18727023419.711124,-118.71723937988281,2831.460693359375,0.0,3090.1116999510377
"(197, 289)",ugriz,100000000.0,86218054.04110213,1011777712739.9669,-441.2607116699219,46928.50390625,7.43e-05,115430.34098224099,100000000.0,5264472.594186675,542695086.1739222,-16.541542053222656,1156.093017578125,0.0,52235.80748556149,100000000.0,-11021160.413861904,565883593572.3362,-1189.4244384765625,9868.890625,0.03279529,2685.7027099739876,100000000.0,32532547104.042534,2.655387101511321e+16,-256395.78125,1241044.0,0.0,2599.602692101093,100000000.0,12156612.611053389,1619048772.202175,-13.321532249450684,2243.78125,0.0,50131.334345328796
"(170, 272)",ugriz,100000000.0,156360003.65915957,2172909191842.555,-4485.8095703125,41343.9453125,4.325e-05,37993.77517600632,100000000.0,63820901.106488734,4190821606.5263286,-72.89033508300781,1132.3856201171875,0.0,875.2203219865315,100000000.0,414756303.6289157,1991951806304.7236,-2104.18115234375,12399.6591796875,5.26e-06,2559.29550119482,100000000.0,73648627754.87747,5.802249904350954e+16,-214172.109375,1084081.125,0.0,1090.879888684869,100000000.0,19689519.975709915,4097883572.9419527,-19.002479553222656,2286.934326171875,0.0,18607.44900406294
"(323, 285)",ugriz,100000000.0,167050260.53711462,2437297847564.8325,-8933.4814453125,61116.3125,8e-06,48976.49088844543,100000000.0,13651111.46609239,3075288964.118353,-35.69794845581055,2142.506103515625,0.0,21511.76587805618,100000000.0,431150630.4984653,1533343806952.8962,-1664.2064208984375,11614.9072265625,4.544e-05,2266.2801857671466,100000000.0,24075510804.30349,7867187802685718.0,-83502.71875,472811.71875,0.0,1427.0962510163085,100000000.0,-1251324448.5278194,3233792729250.843,-4218.32080078125,2356.052490234375,0.0,180.04963085119306
"(315, 281)",ugriz,100000000.0,102754213.97943978,1075810329324.5305,-559.4920043945312,49271.6796875,6.85e-06,112925.45176311219,100000000.0,7004558.52010301,849582955.2858063,-7.7227654457092285,1345.1796875,0.0,26151.211662739563,100000000.0,221037987.52416286,1162488062084.7717,-1552.8824462890625,12735.2138671875,9.48e-06,5628.40836240619,100000000.0,11782756334.994062,5406648692394232.0,-141527.234375,680983.0,0.0,4163.691799631082,100000000.0,15160875.607105548,4919523167.516201,-55.512447357177734,2370.963134765625,0.0,10929.751009320727
"(147, 288)",ugriz,100000000.0,106433070.70809293,1315904757951.7627,-7293.77490234375,39605.796875,4.58e-06,61505.10797870668,100000000.0,6866000.0696376795,954163723.9947525,-33.76763916015625,1332.340576171875,0.0,30201.320406958283,100000000.0,342993429.1130572,1532229544079.8604,-1858.3656005859375,12206.3349609375,1.622e-05,3493.1259776994443,100000000.0,52249364083.79804,4.119653612003032e+16,-253645.21875,1439606.0,0.0,1649.9828568837866,100000000.0,15603284.485576361,3052837767.2658443,-25.516847610473633,2035.6807861328125,0.0,14725.529277779799
"(171, 273)",ugriz,100000000.0,142103821.34622663,2330370408427.5435,-7390.701171875,53730.453125,7.32e-06,46260.67619275459,100000000.0,7537318.951826959,831839750.6036186,-15.999053001403809,1152.8515625,0.0,23239.915806478723,100000000.0,478022415.4818649,2726002402924.561,-2252.20068359375,14061.9931640625,3.677e-05,2517.8169995688827,100000000.0,76224302792.76773,6.580226897492079e+16,-253447.484375,1314967.75,0.0,1145.7984577770928,100000000.0,18613713.34376287,3854729789.4228706,-18.452518463134766,2432.306396484375,0.0,19641.005712956565
"(163, 269)",ugriz,100000000.0,290678686.2364548,4862288038761.116,-5420.39111328125,39204.18359375,0.00018544,16784.966749957588,100000000.0,12533106.932593413,1068174673.915596,-10.616872787475586,1282.4503173828125,0.0,17910.411891610238,100000000.0,529052468.72499007,3037129204016.6616,-2077.59716796875,13717.9697265625,3.71e-06,2480.0261982445695,100000000.0,99671162992.9675,9.00626405397529e+16,-241175.046875,1261023.125,0.0,922.3253498673331,100000000.0,30370198.150370207,8632000289.159359,-118.34495544433594,2255.329345703125,0.0,10830.195868610841
"(215, 279)",ugriz,100000000.0,99798972.35864404,1751782954629.0493,-4382.0009765625,50438.359375,2.04e-06,83940.83541833668,100000000.0,4859760.274705573,564807070.5587611,-4.585636138916016,1391.5604248046875,0.0,56250.47921077381,100000000.0,256122486.8001477,1417010463166.6016,-1568.0404052734375,13898.904296875,5.21e-06,4829.6204682401285,100000000.0,48615842888.99784,3.7610724840943784e+16,-241072.453125,1049644.875,0.0,1615.227377784908,100000000.0,-162311588.21698117,61352253457.75105,-286.51214599609375,2284.533935546875,0.0,43.76360311070506
"(148, 289)",ugriz,100000000.0,142166479.92668024,2236405379695.4443,-5797.99755859375,40140.70703125,5.26e-06,39153.100573902084,100000000.0,7819078.050543257,800731195.0417202,-15.748260498046875,1173.425048828125,0.0,22470.066236013616,100000000.0,463507159.7584413,1990276077502.7803,-1725.4207763671875,14165.7255859375,6.9e-06,2179.0978260787006,100000000.0,95466155326.51538,9.007566562088307e+16,-324417.25,1451920.375,0.0,1035.950982884713,100000000.0,16682502.85626599,2580425900.9426417,-170.23165893554688,2127.8896484375,0.0,19341.70046751097
