,ID,ra,dec,re,morph1,morph2,morph3,morph4
69,8,188.208333333333,11.4208333333333,7.88311831752177,TBD,TBD,TBD,TBD
70,9,189.533333333333,11.2902777777778,7.88311831752177,TBD,TBD,TBD,TBD
71,10,189.370833333333,11.3166666666667,7.88311831752177,TBD,TBD,TBD,TBD
72,11,190.941666666667,11.2647222222222,7.88311831752177,TBD,TBD,TBD,TBD
73,12,192.5375,11.2291666666667,7.88311831752177,TBD,TBD,TBD,TBD
74,13,192.333333333333,11.4297222222222,7.88311831752177,TBD,TBD,TBD,TBD
75,14,189.416666666667,11.7527777777778,7.88311831752177,TBD,TBD,TBD,TBD
76,16,191.579166666667,11.81,7.88311831752177,TBD,TBD,TBD,TBD
77,17,191.583333333333,11.7797222222222,7.88311831752177,TBD,TBD,TBD,TBD
78,18,187.320833333333,11.9777777777778,7.88311831752177,TBD,TBD,TBD,TBD
79,19,187.925,11.9713888888889,7.88311831752177,TBD,TBD,TBD,TBD
80,20,187.666666666667,11.95,7.88311831752177,TBD,TBD,TBD,TBD
81,30,187.7375,11.0877777777778,7.88311831752177,TBD,TBD,TBD,TBD
82,32,188.4375,10.8725,7.88311831752177,TBD,TBD,TBD,TBD
83,34,188.183333333333,11.0183333333333,7.88311831752177,TBD,TBD,TBD,TBD
84,35,188.175,11.0758333333333,7.88311831752177,TBD,TBD,TBD,TBD
85,37,188.258333333333,10.9208333333333,7.88311831752177,TBD,TBD,TBD,TBD
86,41,189.058333333333,10.8688888888889,7.88311831752177,TBD,TBD,TBD,TBD
87,47,189.725,11.1266666666667,7.88311831752177,TBD,TBD,TBD,TBD
88,48,190.154166666667,11.1238888888889,7.88311831752177,TBD,TBD,TBD,TBD
89,51,190.783333333333,11.0986111111111,7.88311831752177,TBD,TBD,TBD,TBD
90,53,190.841666666667,11.0052777777778,7.88311831752177,TBD,TBD,TBD,TBD
91,55,192.35,11.2019444444444,7.88311831752177,TBD,TBD,TBD,TBD
